ItemId	ItemName	Dropbox
10155002	『大五行灭绝神针』	16161
10156001	『太清兜率火(内)』	16157
10156002	『灭度雷音椎(外)』	16158
10156003	『太清兜率火(内)』	16159
10156004	『灭度雷音椎(外)』	16160
10470000	#e0000ff#gFF00FF神武☆屠龙刀	16120
10470001	#e0000ff#gFF00FF神武☆八荒戟	16121
10470002	#e0000ff#gFF00FF神武☆倚天剑	16122
10470003	#e0000ff#gFF00FF神武☆离别钩	16123
10470004	#e0000ff#gFF00FF神武☆逍遥扇	16124
10470005	#e0000ff#gFF00FF神武☆宝相轮	16125
10470006	#e0000ff#gFF00FF神武头盔	16126
10470007	#e0000ff#gFF00FF神武战靴	16127
10470008	#e0000ff#gFF00FF神武护手	16128
10470009	#e0000ff#gFF00FF神武天战甲	16129
10470010	#e0000ff#gFF00FF神武手镯	16130
10470011	#e0000ff#gFF00FF神武护肩	16131
10470012	#e0000ff#gFF00FF神武项链	16132
10470013	#e0000ff#gFF00FF神武腰带	16133
10470014	#e0000ff#gFF00FF神武战戒	16134
10470015	#e0000ff#gFF00FF神武破符	16135
10470016	#e0000ff#gFF00FF 紫郢剑	16136
10470017	#e0000ff#gFF00FF 青索剑	16137
10470018	#e0000ff#gFF00FF 太乙五烟罗	16138
10470021	#e000000#gFFFFE0昊天魔罩	16141
10470022	#e000000#gFFFFE0昊天跑靴	16142
10470023	#e000000#gFFFFE0昊天护手	16143
10470024	#e000000#gFFFFE0昊天逐浪铠	16144
10470025	#e000000#gFFFFE0昊天战镯	16145
10470026	#e000000#gFFFFE0昊天披肩	16146
10470027	#e000000#gFFFFE0昊天邪链	16147
10470028	#e000000#gFFFFE0昊天蟒带	16148
10470029	#e000000#gFFFFE0昊天绝戒	16149
10470030	#e000000#gFFFFE0昊天神符	16150
10470031	#e0000ff#gFF00FF昊天斩将刀	16151
10470032	#e0000ff#gFF00FF昊天索魂枪	16152
10470033	#e0000ff#gFF00FF昊天烈火剑	16153
10470034	#e0000ff#gFF00FF昊天姻缘配	16154
10470035	#e0000ff#gFF00FF昊天轻羽扇	16155
10470036	#e0000ff#gFF00FF昊天明月环	16156
