INT	STRING	INT	INT	STRING	INT	INT	INT	FLOAT	INT	INT	STRING	INT	STRING	INT	STRING	INT	INT	INT	INT	INT
ID	名称$1$	所需等级	最高等级	升级需求和消耗表	操作时间基数	工具ID	工具ID2	辅助平台的有效距离	辅助平台ID	操作动作ID	图标	对应动作表现工具编号（Itemvisuallocator)	技能说明$1$	是否有合成界面	进度条显示的字$1$	消耗活力还是精力（0表示不消耗活力精力，1表示消耗活力，2表示消耗精力，3表示消耗活力和精力）	开始时播放的声音	是否循环 0：不循环 1：循环	成功时播放的声音	失败时播放的声音
1	烹饪	-1	10	pengren.txt	5000	-1	-1	5	-1	118	CommonLiveSkill_6	-1	民以食为天，食物是恢复体力和内力的主要手段。鱼，肉，粮食都可以用来制作美味。	1	烹饪	1	250	0	-1	-1
2	制药	15	10	zhiyao.txt	5000	-1	-1	5	1	118	CommonLiveSkill_10	-1	不想生病？想变得强壮？拿上药草到炼丹炉旁炼一炉丹药吧。	1	制药	1	252	0	-1	-1
3	镶嵌	-1	10	putongshenghuo.txt	5000	-1	-1	-1	-1	118	CommonLiveSkill_4	-1	为你的装备附加上绚丽又实用的宝石，能提高你的战斗力哦。	2	镶嵌	2	253	1	-1	-1
4	铸造	20	10	zhuzao.txt	5000	-1	-1	5	2	118	CommonLiveSkill_7	-1	工欲善其事，必先利其器，用矿石在打造台上打造出你喜爱的利刃吧。	1	铸造	1	253	1	-1	-1
5	缝纫	25	10	fengren.txt	5000	-1	-1	5	4	118	CommonLiveSkill_5	-1	羽衣霓裳，银甲金铠，只要你喜欢就拿上纺织品去制衣台上动手吧。	1	缝纫	1	254	0	-1	-1
6	工艺	25	10	gongyi.txt	5000	-1	-1	5	5	118	CommonLiveSkill_11	-1	各种精美的饰品，小巧的玩意，你都可以做，不过你最好先找一个工艺台。	1	工艺	2	252	1	-1	-1
7	采矿	20	10	caikuang.txt	6000	10102012	-1	3	-1	142	CommonLiveSkill_3	363	闪亮的矿石在野外埋藏，用你的矿锄去挖掘吧。	-1	采矿	1	248	1	-1	-1
8	采药	15	10	caiyao.txt	6000	10102013	-1	3	-1	121	CommonLiveSkill_2	361	在野外你会发现很多药草，拿上你的采药镰去采集吧。	-1	采药	1	249	1	-1	-1
9	钓鱼	10	10	diaoyu.txt	41000	10100031	10100032	3	-1	119	CommonLiveSkill_9	362	拿上你的鱼竿到水边去吧，鱼在等你。	-1	钓鱼	0	251	0	-1	-1
10	种植	10	10	zhongzhi.txt	5000	-1	-1	3	-1	120	CommonLiveSkill_1	-1	在农田中可以播种和收获。	-1	收割	1	249	1	-1	-1
11	开光	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill_1	-1	药材可以在佛印的加持下变得神奇。	1	开光	1	252	0	-1	-1
12	圣火术	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill_2	-1	火丹可以将药草熔炼成更加强烈的物品。	1	圣火术	1	252	0	-1	-1
13	酿酒	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill_3	-1	以酒为原料，加入草药和虫子制成药酒。	1	酿酒	1	252	0	-1	-1
