STRING	INT	INT	FLOAT	INT	INT
对象名称$1$	基础熟练度	对应技能等级	损耗比例	AbilityId	编号（对象的编号）
铜矿脉	1	1	0	8	20003001
锡矿	2	10	0.2	8	20003002
铁矿	4	15	0.4	8	20003003
玄铁矿	8	20	0.8	8	20003004
银矿	16	25	1.6	8	20003005
血滴银矿	32	30	3.2	8	20003006
金矿	64	35	6.4	8	20003007
白金矿	128	40	12.8	8	20003008
黑石矿	256	45	25.6	8	20003009
金刚石矿	512	50	51.2	8	20003010
草鱼	1	1	0	10	20002001
鲍鱼	2	10	0.2	10	20002002
鲤鱼	4	15	0.4	10	20002003
鲟龙鱼	8	20	0.8	10	20002004
桂鱼	16	25	1.6	10	20002005
甲鱼	32	30	3.2	10	20002006
螃蟹	64	35	6.4	10	20002007
武昌鱼	128	40	12.8	10	20002008
河豚	256	45	25.6	10	20002009
金龙鱼	512	50	51.2	10	20002010
