INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
学习等级	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验	消耗金钱	消耗经验
888	0	0	1	1	2	2	3	3	4	4	5	5	6	6	7	7	8	8	9	9	10	10	11	11	12	12	13	13	14	14	15	15	16	16	17	17	18	18	19	19	20	20	21	21	22	22	23	23	24	24	25	25	26	26	27	27	28	28	29	29	30	30	31	31	32	32	33	33	34	34	35	35	36	36	37	37	38	38	39	39	40	40	41	41	42	42	43	43	44	44	45	45	46	46	47	47	48	48	49	49	50	50	51	51	52	52	53	53	54	54	55	55	56	56	57	57	58	58	59	59	60	60	61	61	62	62	63	63
999	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1
1	10	20	5	8	28	23	28	23	8	11	8	11	28	23	5	8	28	23	28	23	8	11	8	11	28	23	5	8	28	23	28	23	8	11	8	11	28	23	5	8	28	23	28	23	8	11	8	11	28	23	5	8	28	23	28	23	8	11	8	11	28	23	5	8	28	23	28	23	8	11	8	11	28	23	5	8	28	23	28	23	8	11	8	11	28	23	5	8	28	23	28	23	8	11	8	11	28	23	5	8	28	23	28	23	8	11	8	11	28	23	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30
2	20	40	10	27	56	81	56	81	15	41	15	41	56	81	10	27	56	81	56	81	15	41	15	41	56	81	10	27	56	81	56	81	15	41	15	41	56	81	10	27	56	81	56	81	15	41	15	41	56	81	10	27	56	81	56	81	15	41	15	41	56	81	10	27	56	81	56	81	15	41	15	41	56	81	10	27	56	81	56	81	15	41	15	41	56	81	10	27	56	81	56	81	15	41	15	41	56	81	10	27	56	81	56	81	15	41	15	41	56	81	60	108	60	108	60	108	60	108	60	108	60	108	60	108	60	108	60	108
3	30	80	15	53	84	158	84	158	23	79	23	79	84	158	15	53	84	158	84	158	23	79	23	79	84	158	15	53	84	158	84	158	23	79	23	79	84	158	15	53	84	158	84	158	23	79	23	79	84	158	15	53	84	158	84	158	23	79	23	79	84	158	15	53	84	158	84	158	23	79	23	79	84	158	15	53	84	158	84	158	23	79	23	79	84	158	15	53	84	158	84	158	23	79	23	79	84	158	15	53	84	158	84	158	23	79	23	79	84	158	90	210	90	210	90	210	90	210	90	210	90	210	90	210	90	210	90	210
4	40	120	20	96	112	288	112	288	30	144	30	144	112	288	20	96	112	288	112	288	30	144	30	144	112	288	20	96	112	288	112	288	30	144	30	144	112	288	20	96	112	288	112	288	30	144	30	144	112	288	20	96	112	288	112	288	30	144	30	144	112	288	20	96	112	288	112	288	30	144	30	144	112	288	20	96	112	288	112	288	30	144	30	144	112	288	20	96	112	288	112	288	30	144	30	144	112	288	20	96	112	288	112	288	30	144	30	144	112	288	120	384	120	384	120	384	120	384	120	384	120	384	120	384	120	384	120	384
5	50	160	25	149	140	446	140	446	38	223	38	223	140	446	25	149	140	446	140	446	38	223	38	223	140	446	25	149	140	446	140	446	38	223	38	223	140	446	25	149	140	446	140	446	38	223	38	223	140	446	25	149	140	446	140	446	38	223	38	223	140	446	25	149	140	446	140	446	38	223	38	223	140	446	25	149	140	446	140	446	38	223	38	223	140	446	25	149	140	446	140	446	38	223	38	223	140	446	25	149	140	446	140	446	38	223	38	223	140	446	150	594	150	594	150	594	150	594	150	594	150	594	150	594	150	594	150	594
6	60	240	30	218	168	653	168	653	45	326	45	326	168	653	30	218	168	653	168	653	45	326	45	326	168	653	30	218	168	653	168	653	45	326	45	326	168	653	30	218	168	653	168	653	45	326	45	326	168	653	30	218	168	653	168	653	45	326	45	326	168	653	30	218	168	653	168	653	45	326	45	326	168	653	30	218	168	653	168	653	45	326	45	326	168	653	30	218	168	653	168	653	45	326	45	326	168	653	30	218	168	653	168	653	45	326	45	326	168	653	180	870	180	870	180	870	180	870	180	870	180	870	180	870	180	870	180	870
7	70	264	35	306	196	917	196	917	53	458	53	458	196	917	35	306	196	917	196	917	53	458	53	458	196	917	35	306	196	917	196	917	53	458	53	458	196	917	35	306	196	917	196	917	53	458	53	458	196	917	35	306	196	917	196	917	53	458	53	458	196	917	35	306	196	917	196	917	53	458	53	458	196	917	35	306	196	917	196	917	53	458	53	458	196	917	35	306	196	917	196	917	53	458	53	458	196	917	35	306	196	917	196	917	53	458	53	458	196	917	210	1222	210	1222	210	1222	210	1222	210	1222	210	1222	210	1222	210	1222	210	1222
