INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
级别	名称	需求金钱	需求经验	技能熟练度限制	技能熟练度限制(客户端显示)	本级熟练度的上限	等级限制	NPC名称	NPC需求金钱	NPC需求经验
1	辅助(等级1)	114	38	0	0	0	1	空	0	0
2	辅助(等级2)	133	135	0	0	0	1	空	0	0
3	辅助(等级3)	152	263	0	0	0	1	空	0	0
4	辅助(等级4)	171	480	0	0	0	1	空	0	0
5	辅助(等级5)	190	743	0	0	0	1	空	0	0
6	辅助(等级6)	209	1088	0	0	0	1	空	0	0
7	辅助(等级7)	228	1528	0	0	0	1	空	0	0
8	辅助(等级8)	247	2070	0	0	0	1	空	0	0
9	辅助(等级9)	266	2340	0	0	0	1	空	0	0
10	辅助(等级10)	285	2625	0	0	0	1	空	0	0
11	辅助(等级11)	319	2925	0	0	0	1	空	0	0
12	辅助(等级12)	409	3240	0	0	0	1	空	0	0
13	辅助(等级13)	513	3698	0	0	0	1	空	0	0
14	辅助(等级14)	638	4185	0	0	0	1	空	0	0
15	辅助(等级15)	1087	4845	0	0	0	1	空	0	0
16	辅助(等级16)	1337	5550	0	0	0	1	空	0	0
17	辅助(等级17)	1631	6458	0	0	0	1	空	0	0
18	辅助(等级18)	1973	7590	0	0	0	1	空	0	0
19	辅助(等级19)	2370	8970	0	0	0	1	空	0	0
20	辅助(等级20)	2827	10620	0	0	0	1	空	0	0
21	辅助(等级21)	3348	12563	0	0	0	1	空	0	0
22	辅助(等级22)	3943	14820	0	0	0	1	空	0	0
23	辅助(等级23)	4612	17415	0	0	0	1	空	0	0
24	辅助(等级24)	5368	20370	0	0	0	1	空	0	0
25	辅助(等级25)	7185	23925	0	0	0	1	空	0	0
26	辅助(等级26)	8004	28125	0	0	0	1	空	0	0
27	辅助(等级27)	8888	32783	0	0	0	1	空	0	0
28	辅助(等级28)	9845	37920	0	0	0	1	空	0	0
29	辅助(等级29)	10878	43560	0	0	0	1	空	0	0
30	辅助(等级30)	11989	51510	0	0	0	1	空	0	0
31	辅助(等级31)	13184	60113	0	0	0	1	空	0	0
32	辅助(等级32)	14465	69390	0	0	0	1	空	0	0
33	辅助(等级33)	15836	79365	0	0	0	1	空	0	0
34	辅助(等级34)	17303	90060	0	0	0	1	空	0	0
35	辅助(等级35)	18870	101498	0	0	0	1	空	0	0
36	辅助(等级36)	20541	113700	0	0	0	1	空	0	0
37	辅助(等级37)	22318	126690	0	0	0	1	空	0	0
38	辅助(等级38)	24210	140490	0	0	0	1	空	0	0
39	辅助(等级39)	26217	155123	0	0	0	1	空	0	0
40	辅助(等级40)	28347	170775	0	0	0	1	空	0	0
41	辅助(等级41)	30604	187483	0	0	0	1	空	0	0
42	辅助(等级42)	32993	205275	0	0	0	1	空	0	0
43	辅助(等级43)	35517	224190	0	0	0	1	空	0	0
44	辅助(等级44)	38182	244260	0	0	0	1	空	0	0
45	辅助(等级45)	43223	265520	0	0	0	1	空	0	0
46	辅助(等级46)	46207	288000	0	0	0	1	空	0	0
47	辅助(等级47)	48557	311738	0	0	0	1	空	0	0
48	辅助(等级48)	51223	336765	0	0	0	1	空	0	0
49	辅助(等级49)	53254	363118	0	0	0	1	空	0	0
50	辅助(等级50)	55601	390825	0	0	0	1	空	0	0
51	辅助(等级51)	58263	419925	0	0	0	1	空	0	0
52	辅助(等级52)	61241	450450	0	0	0	1	空	0	0
53	辅助(等级53)	64535	482435	0	0	0	1	空	0	0
54	辅助(等级54)	68144	515910	0	0	0	1	空	0	0
55	辅助(等级55)	72069	550913	0	0	0	1	空	0	0
56	辅助(等级56)	76309	587475	0	0	0	1	空	0	0
57	辅助(等级57)	80866	625633	0	0	0	1	空	0	0
58	辅助(等级58)	85738	665415	0	0	0	1	空	0	0
59	辅助(等级59)	90925	706860	0	0	0	1	空	0	0
60	辅助(等级60)	96428	750000	0	0	0	1	空	0	0
61	辅助(等级61)	102247	794870	0	0	0	1	空	0	0
62	辅助(等级62)	108382	841500	0	0	0	1	空	0	0
63	辅助(等级63)	114832	889928	0	0	0	1	空	0	0
64	辅助(等级64)	121597	940185	0	0	0	1	空	0	0
65	辅助(等级65)	128679	992308	0	0	0	1	空	0	0
66	辅助(等级66)	136076	1048688	0	0	0	1	空	0	0
67	辅助(等级67)	143788	1111595	0	0	0	1	空	0	0
68	辅助(等级68)	151817	1181250	0	0	0	1	空	0	0
69	辅助(等级69)	160160	1257883	0	0	0	1	空	0	0
70	辅助(等级70)	168820	1341713	0	0	0	1	空	0	0
71	辅助(等级71)	177795	1432970	0	0	0	1	空	0	0
72	辅助(等级72)	187086	1531875	0	0	0	1	空	0	0
73	辅助(等级73)	196692	1638658	0	0	0	1	空	0	0
74	辅助(等级74)	206615	1753538	0	0	0	1	空	0	0
