INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
级别	名称	需求金钱	需求经验	技能熟练度限制	技能熟练度限制(客户端显示)	本级熟练度的上限	等级限制	NPC名称	NPC需求金钱	NPC需求经验
1	门派辅助(等级1)	114	29	0	0	0	1	空	0	0
2	门派辅助(等级2)	133	103	0	0	0	1	空	0	0
3	门派辅助(等级3)	152	200	0	0	0	1	空	0	0
4	门派辅助(等级4)	171	365	0	0	0	1	空	0	0
5	门派辅助(等级5)	190	564	0	0	0	1	空	0	0
6	门派辅助(等级6)	209	827	0	0	0	1	空	0	0
7	门派辅助(等级7)	228	1161	0	0	0	1	空	0	0
8	门派辅助(等级8)	247	1573	0	0	0	1	空	0	0
9	门派辅助(等级9)	266	1778	0	0	0	1	空	0	0
10	门派辅助(等级10)	285	1995	0	0	0	1	空	0	0
11	门派辅助(等级11)	319	2223	0	0	0	1	空	0	0
12	门派辅助(等级12)	409	2462	0	0	0	1	空	0	0
13	门派辅助(等级13)	513	2810	0	0	0	1	空	0	0
14	门派辅助(等级14)	638	3181	0	0	0	1	空	0	0
15	门派辅助(等级15)	1087	3682	0	0	0	1	空	0	0
16	门派辅助(等级16)	1337	4218	0	0	0	1	空	0	0
17	门派辅助(等级17)	1631	4908	0	0	0	1	空	0	0
18	门派辅助(等级18)	1973	5768	0	0	0	1	空	0	0
19	门派辅助(等级19)	2370	6817	0	0	0	1	空	0	0
20	门派辅助(等级20)	2827	8071	0	0	0	1	空	0	0
21	门派辅助(等级21)	3348	9548	0	0	0	1	空	0	0
22	门派辅助(等级22)	3943	11263	0	0	0	1	空	0	0
23	门派辅助(等级23)	4612	13235	0	0	0	1	空	0	0
24	门派辅助(等级24)	5368	15481	0	0	0	1	空	0	0
25	门派辅助(等级25)	7185	18183	0	0	0	1	空	0	0
26	门派辅助(等级26)	8004	21375	0	0	0	1	空	0	0
27	门派辅助(等级27)	8888	24915	0	0	0	1	空	0	0
28	门派辅助(等级28)	9845	28819	0	0	0	1	空	0	0
29	门派辅助(等级29)	10878	33106	0	0	0	1	空	0	0
30	门派辅助(等级30)	11989	39148	0	0	0	1	空	0	0
