INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
级别	名称	需求金钱	需求经验	技能熟练度限制	技能熟练度限制(客户端显示)	本级熟练度的上限	等级限制	NPC名称	NPC需求金钱	NPC需求经验
1	采药(等级1)	2500	10000	0	0	7900	10	空	0	0
2	采药(等级2)	5000	14739	7900	79	21800	10	空	0	0
3	采药(等级3)	10000	21724	21800	218	42100	30	空	0	0
4	采药(等级4)	20000	32021	42100	421	69700	30	空	0	0
5	采药(等级5)	40000	47197	69700	697	105700	50	空	0	0
6	采药(等级6)	80000	69565	105700	1057	152700	50	空	0	0
7	采药(等级7)	160000	102535	152700	1527	215100	70	空	0	0
8	采药(等级8)	320000	151130	215100	2151	304300	70	空	0	0
9	采药(等级9)	640000	222757	304300	3043	500000	70	空	0	0
10	采药(等级10)	1280000	328329	500000	5000	500000	70	空	0	0
