INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
级别	名称	需求金钱	需求经验	技能熟练度限制	技能熟练度限制(客户端显示)	本级熟练度的上限	等级限制	NPC名称$1$	NPC需求金钱	NPC需求经验
1	缝纫(等级1)	1000	10000	0	0	0	50	木婉清	1000	10000
2	缝纫(等级2)	1500	15000	0	0	0	50	木婉清	1500	15000
3	缝纫(等级3)	2250	20000	0	0	0	50	木婉清	2250	20000
4	缝纫(等级4)	3375	25000	0	0	0	50	木婉清	3375	25000
5	缝纫(等级5)	5062	30000	0	0	0	50	木婉清	5062	30000
6	缝纫(等级6)	7593	35000	0	0	0	50	木婉清	100000	35000
7	缝纫(等级7)	11390	40000	0	0	0	50	木婉清	120000	40000
8	缝纫(等级8)	17085	45000	0	0	0	50	木婉清	140000	45000
9	缝纫(等级9)	25628	50000	0	0	0	50	木婉清	160000	50000
10	缝纫(等级10)	38443	55000	0	0	0	50	木婉清	180000	55000
