INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
级别	名称	需求金钱	需求经验	技能熟练度限制	技能熟练度限制(客户端显示)	本级熟练度的上限	等级限制	NPC名称	NPC需求金钱	NPC需求经验
1	缝纫(等级1)	1000	10000	0	0	500	25	空	0	0
2	缝纫(等级2)	1500	15000	500	5	1500	30	空	0	0
3	缝纫(等级3)	2250	20000	1500	15	3000	35	空	0	0
4	缝纫(等级4)	3375	25000	3000	30	5000	40	空	0	0
5	缝纫(等级5)	5062	30000	5000	50	7500	45	空	0	0
6	缝纫(等级6)	7593	35000	7500	75	10500	50	空	0	0
7	缝纫(等级7)	11390	40000	10500	105	14000	55	空	0	0
8	缝纫(等级8)	17085	45000	14000	140	18000	60	空	0	0
9	缝纫(等级9)	25628	50000	18000	180	22500	65	空	0	0
10	缝纫(等级10)	38443	55000	22500	225	22500	70	空	0	0
