INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
级别	名称	需求金钱	需求经验	技能熟练度限制	技能熟练度限制(客户端显示)	本级熟练度的上限	等级限制	NPC名称	NPC需求金钱	NPC需求经验
1	门派(等级1)	10000	1428	0	0	1000	10	空	0	0
2	门派(等级2)	1341	4503	1000	10	3000	15	空	0	0
3	门派(等级3)	2931	10728	3000	30	6000	20	空	0	0
4	门派(等级4)	5456	21228	6000	60	10000	25	空	0	0
5	门派(等级5)	9120	37128	10000	100	15000	30	空	0	0
6	门派(等级6)	14123	59553	15000	150	21000	35	空	0	0
7	门派(等级7)	20683	89694	21000	210	28000	40	空	0	0
8	门派(等级8)	40371	182574	28000	280	36000	45	空	0	0
9	门派(等级9)	71058	331104	36000	360	45000	50	空	0	0
10	门派(等级10)	115098	548451	45000	450	550000	55	空	0	0
