INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
级别	名称	需求金钱	需求经验	技能熟练度限制	技能熟练度限制(客户端显示)	本级熟练度的上限	等级限制	NPC名称	NPC需求金钱	NPC需求经验
1	辅助(等级1)	20	27	0	0	0	30	空	0	0
2	辅助(等级2)	40	97	0	0	0	30	空	0	0
3	辅助(等级3)	60	189	0	0	0	30	空	0	0
4	辅助(等级4)	80	346	0	0	0	30	空	0	0
5	辅助(等级5)	100	535	0	0	0	30	空	0	0
6	辅助(等级6)	120	783	0	0	0	30	空	0	0
7	辅助(等级7)	140	1099	0	0	0	30	空	0	0
8	辅助(等级8)	160	1490	0	0	0	30	空	0	0
9	辅助(等级9)	180	1685	0	0	0	30	空	0	0
10	辅助(等级10)	200	1890	0	0	0	30	空	0	0
11	辅助(等级11)	220	2106	0	0	0	30	空	0	0
12	辅助(等级12)	240	2333	0	0	0	30	空	0	0
13	辅助(等级13)	260	2662	0	0	0	30	空	0	0
14	辅助(等级14)	280	3013	0	0	0	30	空	0	0
15	辅助(等级15)	300	3488	0	0	0	30	空	0	0
16	辅助(等级16)	336	3996	0	0	0	30	空	0	0
17	辅助(等级17)	430	4649	0	0	0	30	空	0	0
18	辅助(等级18)	540	5465	0	0	0	30	空	0	0
19	辅助(等级19)	672	6458	0	0	0	30	空	0	0
20	辅助(等级20)	1144	7646	0	0	0	30	空	0	0
21	辅助(等级21)	1407	9045	0	0	0	30	空	0	0
22	辅助(等级22)	1716	10670	0	0	0	30	空	0	0
23	辅助(等级23)	2077	12539	0	0	0	30	空	0	0
24	辅助(等级24)	2494	14666	0	0	0	30	空	0	0
25	辅助(等级25)	2975	17226	0	0	0	30	空	0	0
26	辅助(等级26)	3524	20250	0	0	0	30	空	0	0
27	辅助(等级27)	4150	23603	0	0	0	30	空	0	0
28	辅助(等级28)	4854	27302	0	0	0	30	空	0	0
29	辅助(等级29)	5650	31363	0	0	0	30	空	0	0
30	辅助(等级30)	7563	37087	0	0	0	30	空	0	0
31	辅助(等级31)	8424	43281	0	0	0	30	空	0	0
32	辅助(等级32)	9355	49961	0	0	0	30	空	0	0
33	辅助(等级33)	10363	57143	0	0	0	30	空	0	0
34	辅助(等级34)	11450	64843	0	0	0	30	空	0	0
35	辅助(等级35)	12620	73078	0	0	0	30	空	0	0
36	辅助(等级36)	13877	81864	0	0	0	30	空	0	0
37	辅助(等级37)	15226	91217	0	0	0	30	空	0	0
38	辅助(等级38)	16669	101153	0	0	0	30	空	0	0
39	辅助(等级39)	18214	111688	0	0	0	30	空	0	0
40	辅助(等级40)	19863	122958	0	0	0	50	空	0	0
41	辅助(等级41)	21621	134987	0	0	0	50	空	0	0
42	辅助(等级42)	23492	147798	0	0	0	50	空	0	0
43	辅助(等级43)	25484	161417	0	0	0	50	空	0	0
44	辅助(等级44)	27597	175867	0	0	0	50	空	0	0
45	辅助(等级45)	29838	191174	0	0	0	50	空	0	0
46	辅助(等级46)	32214	207360	0	0	0	50	空	0	0
47	辅助(等级47)	34729	224451	0	0	0	50	空	0	0
48	辅助(等级48)	37386	242471	0	0	0	50	空	0	0
49	辅助(等级49)	40192	261444	0	0	0	50	空	0	0
50	辅助(等级50)	45498	281394	0	0	0	50	空	0	0
51	辅助(等级51)	46639	302346	0	0	0	50	空	0	0
52	辅助(等级52)	49112	324324	0	0	0	50	空	0	0
53	辅助(等级53)	51918	347352	0	0	0	50	空	0	0
54	辅助(等级54)	56000	371455	0	0	0	50	空	0	0
55	辅助(等级55)	58526	396657	0	0	0	50	空	0	0
56	辅助(等级56)	61329	422982	0	0	0	50	空	0	0
57	辅助(等级57)	64464	450455	0	0	0	50	空	0	0
58	辅助(等级58)	67931	479099	0	0	0	50	空	0	0
59	辅助(等级59)	71730	508939	0	0	0	50	空	0	0
60	辅助(等级60)	75862	540000	0	0	0	50	空	0	0
61	辅助(等级61)	80325	572306	0	0	0	50	空	0	0
62	辅助(等级62)	85121	605880	0	0	0	50	空	0	0
63	辅助(等级63)	90250	640748	0	0	0	50	空	0	0
64	辅助(等级64)	95710	676933	0	0	0	50	空	0	0
65	辅助(等级65)	101503	714461	0	0	0	50	空	0	0
66	辅助(等级66)	107628	755055	0	0	0	50	空	0	0
67	辅助(等级67)	114085	800348	0	0	0	50	空	0	0
68	辅助(等级68)	120875	850500	0	0	0	50	空	0	0
69	辅助(等级69)	127997	905675	0	0	0	50	空	0	0
70	辅助(等级70)	135451	966033	0	0	0	50	空	0	0
71	辅助(等级71)	143237	1031738	0	0	0	50	空	0	0
72	辅助(等级72)	151356	1102950	0	0	0	50	空	0	0
73	辅助(等级73)	159806	1179833	0	0	0	50	空	0	0
74	辅助(等级74)	168589	1262547	0	0	0	50	空	0	0
75	辅助(等级75)	177705	1355522	0	0	0	50	空	0	0
76	辅助(等级76)	187152	1459080	0	0	0	50	空	0	0
77	辅助(等级77)	196932	1573547	0	0	0	50	空	0	0
78	辅助(等级78)	207044	1699245	0	0	0	50	空	0	0
79	辅助(等级79)	217489	1836500	0	0	0	50	空	0	0
80	辅助(等级80)	228265	2021922	0	0	0	50	空	0	0
81	辅助(等级81)	239374	2303033	0	0	0	50	空	0	0
82	辅助(等级82)	250815	2729511	0	0	0	50	空	0	0
83	辅助(等级83)	262588	3353198	0	0	0	50	空	0	0
84	辅助(等级84)	274694	4228092	0	0	0	50	空	0	0
85	辅助(等级85)	287132	5410355	0	0	0	50	空	0	0
86	辅助(等级86)	299902	6958305	0	0	0	50	空	0	0
87	辅助(等级87)	313004	8932424	0	0	0	50	空	0	0
88	辅助(等级88)	326439	11395350	0	0	0	50	空	0	0
89	辅助(等级89)	340206	14411885	0	0	0	50	空	0	0
90	辅助(等级90)	354305	18048987	0	0	0	50	空	0	0
91	辅助(等级91)	368736	22375778	0	0	0	50	空	0	0
92	辅助(等级92)	383500	27463536	0	0	0	50	空	0	0
93	辅助(等级93)	398595	33385703	0	0	0	50	空	0	0
94	辅助(等级94)	414024	40217877	0	0	0	50	空	0	0
95	辅助(等级95)	429784	48037820	0	0	0	50	空	0	0
96	辅助(等级96)	445877	56925450	0	0	0	50	空	0	0
97	辅助(等级97)	462301	66962849	0	0	0	50	空	0	0
98	辅助(等级98)	479059	78234255	0	0	0	50	空	0	0
99	辅助(等级99)	496148	90826070	0	0	0	50	空	0	0
100	辅助(等级100)	0	0	0	0	0	50	空	0	0
