INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
级别	名称	需求金钱	需求经验	技能熟练度限制	技能熟练度限制(客户端显示)	本级熟练度的上限	等级限制	NPC名称	NPC需求金钱	NPC需求经验
1	辅助(等级1)	2500	500	0	0	0	30	空	0	0
2	辅助(等级2)	5000	1000	0	0	0	30	空	0	0
3	辅助(等级3)	10000	3000	0	0	0	30	空	0	0
4	辅助(等级4)	20000	33000	0	0	6000	30	空	0	0
5	辅助(等级5)	40000	48639	6000	60	21000	50	空	0	0
6	辅助(等级6)	80000	71692	21000	210	51500	50	空	0	0
7	辅助(等级7)	160000	105669	51500	515	94500	50	空	0	0
8	辅助(等级8)	320000	155750	94500	945	155300	50	空	0	0
9	辅助(等级9)	640000	229566	155300	1553	255300	50	空	0	0
10	辅助(等级10)	1280000	338366	255300	2553	255300	50	空	0	0
