INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
级别	名称	需求金钱	需求经验	技能熟练度限制	技能熟练度限制(客户端显示)	本级熟练度的上限	等级限制	NPC名称	NPC需求金钱	NPC需求经验
1	通用(等级1)	10000	1428	0	0	1000	25	空	0	0
2	通用(等级2)	1341	4503	1000	10	3000	30	空	0	0
3	通用(等级3)	2931	10728	3000	30	6000	35	空	0	0
4	通用(等级4)	5456	21228	6000	60	10000	40	空	0	0
5	通用(等级5)	9120	37128	10000	100	15000	45	空	0	0
6	通用(等级6)	14123	59553	15000	150	21000	50	空	0	0
7	通用(等级7)	20683	89694	21000	210	28000	55	空	0	0
8	通用(等级8)	40371	182574	28000	280	36000	60	空	0	0
9	通用(等级9)	71058	331104	36000	360	45000	65	空	0	0
10	通用(等级10)	115098	548451	45000	450	550000	70	空	0	0
