INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
级别	名称	需求金钱	需求经验	技能熟练度限制	技能熟练度限制(客户端显示)	本级熟练度的上限	等级限制	NPC名称	NPC需求金钱	NPC需求经验
1	采药(等级1)	2500	10000	0	0	1500	15	空	0	0
2	采药(等级2)	5000	14739	1500	15	5800	20	空	0	0
3	采药(等级3)	10000	21724	5800	58	14200	25	空	0	0
4	采药(等级4)	20000	32021	14200	142	28100	30	空	0	0
5	采药(等级5)	40000	47197	28100	281	49200	35	空	0	0
6	采药(等级6)	80000	69565	49200	492	79700	40	空	0	0
7	采药(等级7)	160000	102535	79700	797	122700	45	空	0	0
8	采药(等级8)	320000	151130	122700	1227	183500	50	空	0	0
9	采药(等级9)	640000	222757	183500	1835	283500	55	空	0	0
10	采药(等级10)	1280000	328329	283500	2835	283500	60	空	0	0
