INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
级别	名称	需求金钱	需求经验	技能熟练度限制	技能熟练度限制(客户端显示)	本级熟练度的上限	等级限制	NPC名称	NPC需求金钱	NPC需求经验
1	辅助(等级1)	20	36	0	0	0	1	空	0	0
2	辅助(等级2)	40	130	0	0	0	1	空	0	0
3	辅助(等级3)	60	252	0	0	0	1	空	0	0
4	辅助(等级4)	80	461	0	0	0	1	空	0	0
5	辅助(等级5)	100	713	0	0	0	1	空	0	0
6	辅助(等级6)	120	1044	0	0	0	1	空	0	0
7	辅助(等级7)	140	1465	0	0	0	1	空	0	0
8	辅助(等级8)	160	1987	0	0	0	1	空	0	0
9	辅助(等级9)	180	2246	0	0	0	1	空	0	0
10	辅助(等级10)	200	2520	0	0	0	1	空	0	0
11	辅助(等级11)	220	2808	0	0	0	1	空	0	0
12	辅助(等级12)	240	3110	0	0	0	1	空	0	0
13	辅助(等级13)	260	3550	0	0	0	1	空	0	0
14	辅助(等级14)	280	4018	0	0	0	1	空	0	0
15	辅助(等级15)	300	4651	0	0	0	1	空	0	0
16	辅助(等级16)	336	5328	0	0	0	1	空	0	0
17	辅助(等级17)	430	6199	0	0	0	1	空	0	0
18	辅助(等级18)	540	7286	0	0	0	1	空	0	0
19	辅助(等级19)	672	8611	0	0	0	1	空	0	0
20	辅助(等级20)	1144	10195	0	0	0	1	空	0	0
21	辅助(等级21)	1407	12060	0	0	0	1	空	0	0
22	辅助(等级22)	1716	14227	0	0	0	1	空	0	0
23	辅助(等级23)	2077	16718	0	0	0	1	空	0	0
24	辅助(等级24)	2494	19555	0	0	0	1	空	0	0
25	辅助(等级25)	2975	22968	0	0	0	1	空	0	0
26	辅助(等级26)	3524	27000	0	0	0	1	空	0	0
27	辅助(等级27)	4150	31471	0	0	0	1	空	0	0
28	辅助(等级28)	4854	36403	0	0	0	1	空	0	0
29	辅助(等级29)	5650	41818	0	0	0	1	空	0	0
30	辅助(等级30)	7563	49450	0	0	0	1	空	0	0
31	辅助(等级31)	8424	57708	0	0	0	1	空	0	0
32	辅助(等级32)	9355	66614	0	0	0	1	空	0	0
33	辅助(等级33)	10363	76190	0	0	0	1	空	0	0
34	辅助(等级34)	11450	86458	0	0	0	1	空	0	0
35	辅助(等级35)	12620	97438	0	0	0	1	空	0	0
36	辅助(等级36)	13877	109152	0	0	0	1	空	0	0
37	辅助(等级37)	15226	121622	0	0	0	1	空	0	0
38	辅助(等级38)	16669	134870	0	0	0	1	空	0	0
39	辅助(等级39)	18214	148918	0	0	0	1	空	0	0
40	辅助(等级40)	19863	163944	0	0	0	1	空	0	0
41	辅助(等级41)	21621	179982	0	0	0	1	空	0	0
42	辅助(等级42)	23492	197064	0	0	0	1	空	0	0
43	辅助(等级43)	25484	215222	0	0	0	1	空	0	0
44	辅助(等级44)	27597	234490	0	0	0	1	空	0	0
45	辅助(等级45)	29838	254898	0	0	0	1	空	0	0
46	辅助(等级46)	32214	276480	0	0	0	1	空	0	0
47	辅助(等级47)	34729	299268	0	0	0	1	空	0	0
48	辅助(等级48)	37386	323294	0	0	0	1	空	0	0
49	辅助(等级49)	40192	348592	0	0	0	1	空	0	0
50	辅助(等级50)	45498	375192	0	0	0	1	空	0	0
51	辅助(等级51)	46639	403128	0	0	0	1	空	0	0
52	辅助(等级52)	49112	432432	0	0	0	1	空	0	0
53	辅助(等级53)	51918	463136	0	0	0	1	空	0	0
54	辅助(等级54)	56000	495274	0	0	0	1	空	0	0
55	辅助(等级55)	58526	528876	0	0	0	1	空	0	0
56	辅助(等级56)	61329	563976	0	0	0	1	空	0	0
57	辅助(等级57)	64464	600606	0	0	0	1	空	0	0
58	辅助(等级58)	67931	638798	0	0	0	1	空	0	0
59	辅助(等级59)	71730	678586	0	0	0	1	空	0	0
60	辅助(等级60)	75862	720000	0	0	0	1	空	0	0
61	辅助(等级61)	80325	763074	0	0	0	1	空	0	0
62	辅助(等级62)	85121	807840	0	0	0	1	空	0	0
63	辅助(等级63)	90250	854330	0	0	0	1	空	0	0
64	辅助(等级64)	95710	902578	0	0	0	1	空	0	0
65	辅助(等级65)	101503	952614	0	0	0	1	空	0	0
66	辅助(等级66)	107628	1006740	0	0	0	1	空	0	0
67	辅助(等级67)	114085	1067130	0	0	0	1	空	0	0
68	辅助(等级68)	120875	1134000	0	0	0	1	空	0	0
69	辅助(等级69)	127997	1207566	0	0	0	1	空	0	0
70	辅助(等级70)	135451	1288044	0	0	0	1	空	0	0
71	辅助(等级71)	143237	1375650	0	0	0	1	空	0	0
72	辅助(等级72)	151356	1470600	0	0	0	1	空	0	0
73	辅助(等级73)	159806	1573110	0	0	0	1	空	0	0
74	辅助(等级74)	168589	1683396	0	0	0	1	空	0	0
75	辅助(等级75)	177705	1807362	0	0	0	1	空	0	0
76	辅助(等级76)	187152	1945440	0	0	0	1	空	0	0
77	辅助(等级77)	196932	2098062	0	0	0	1	空	0	0
78	辅助(等级78)	207044	2265660	0	0	0	1	空	0	0
79	辅助(等级79)	217489	2448666	0	0	0	1	空	0	0
80	辅助(等级80)	228265	2695896	0	0	0	1	空	0	0
81	辅助(等级81)	239374	3070710	0	0	0	1	空	0	0
82	辅助(等级82)	250815	3639348	0	0	0	1	空	0	0
83	辅助(等级83)	262588	4470930	0	0	0	1	空	0	0
84	辅助(等级84)	274694	5637456	0	0	0	1	空	0	0
85	辅助(等级85)	287132	7213806	0	0	0	1	空	0	0
86	辅助(等级86)	299902	9277740	0	0	0	1	空	0	0
87	辅助(等级87)	313004	11909898	0	0	0	1	空	0	0
88	辅助(等级88)	326439	15193800	0	0	0	1	空	0	0
89	辅助(等级89)	340206	19215846	0	0	0	1	空	0	0
90	辅助(等级90)	354305	24065316	0	0	0	1	空	0	0
91	辅助(等级91)	368736	29834370	0	0	0	1	空	0	0
92	辅助(等级92)	383500	36618048	0	0	0	1	空	0	0
93	辅助(等级93)	398595	44514270	0	0	0	1	空	0	0
94	辅助(等级94)	414024	53623836	0	0	0	1	空	0	0
95	辅助(等级95)	429784	64050426	0	0	0	1	空	0	0
96	辅助(等级96)	445877	75900600	0	0	0	1	空	0	0
97	辅助(等级97)	462301	89283798	0	0	0	1	空	0	0
98	辅助(等级98)	479059	104312340	0	0	0	1	空	0	0
99	辅助(等级99)	496148	121101426	0	0	0	1	空	0	0
100	辅助(等级100)	513237	137890512	0	0	0	1	空	0	0
