INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT
id	opt_type	time_type	time_start	sceneid	scriptid	time_slice	reserve1	reserve2	reserve3	reserve4	reserve5	广播类型	慢报间隔	慢报内容$1$	慢报结束时间点	快报间隔	快报内容$1$	快报结束时间点	刚开报间隔	刚开报内容$1$	刚开报结束时间点	进行中报间隔	进行中报内容$1$	进行中报结束时间点	快结束报间隔	快结束报内容$1$	结束时间点	ruler	活动名称$1$	失效时间
#<00>id	活动编号																													
#<01>opt_type	活动执行类型：0表示仅执行一次，1表示在有效时间段内每次服务器启动都会执行一次																													
#<02>time_type	时间控制类型：0表示仅执行一次，1表示每天执行一次，2表示每周执行一次，3表示每月执行一次																													
#<03>time_start	开始时间																													
#		时间控制类型＝0时：(前三位表示一年中的天数1～365，后两位表示一天时间的刻数0～95)																												
#		时间控制类型＝1时：(前三位无意义，后两位表示一天时间的刻数0～95)																												
#		时间控制类型＝2时：(前二位无意义，第三位表示星期数0=星期天;1=星期一，后两位表示一天时间的刻数0～95)																												
#		时间控制类型＝3时：(前二位表示本月的天数(01-31)，后两位表示一天时间的刻数0～95)																												
#<04>sceneid	场景编号：-1表示所有场景都要激活																													
#<05>scriptid	活动执行的脚本，缺省调用OnDefaultEvent																													
#<06>time_slice	启动时间段，单位：时刻																													
#<07>reserve1																														
#<08>reserve2																														
#<09>reserve3																														
#<10>reserve4																														
#<11>reserve5																														
#<28>ruler	nRuler＝-1，不使用ActivityRuler；nRuler＝0，由ActivityRuler激活所有子项；nRuler≥1，激活nRuler个子项																													
#<30>time_invalid	失效时间，配置格式参考于开始时间																													
#																														
0	0	1	66	0	808000	0	0	0	0	0	0	4	30	#{QJ_20080317_01}	230	3	#{QJ_20080317_02}	240	10	#{QJ_20080317_03}	320	3	#{QJ_20080317_04}	329	1	#{QJ_20080317_05}	330	0	棋局	-1
1	0	1	54	2	808000	4	-1	-1	-1	-1	-1	4	30	#{KJ_20080317_01}	230	3	#{KJ_20080317_02}	240	170	#{KJ_20080317_03}	410	3	#{KJ_20080317_04}	420	-1	-1	-1	-1	0	-1
2	0	1	70	2	801016	0	-1	-1	-1	-1	1000	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
3	0	1	82	2	801019	0	-1	-1	-1	-1	-1	4	10	#{KJ_20080317_05}	20	3	#{KJ_20080317_06}	30	30	#{KJ_20080317_07}	50	3	#{KJ_20080317_08}	60	-1	-1	-1	-1	0	-1
4	0	1	84	2	801020	0	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1
5	0	1	86	2	801021	0	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1
6	0	1	0	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	门派BOSS	-1
7	0	1	32	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	门派BOSS	-1
8	0	1	64	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	门派BOSS	-1
9	0	1	10	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	门派BOSS	-1
10	0	1	42	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	门派BOSS	-1
11	0	1	74	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	门派BOSS	-1
12	0	1	20	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	门派BOSS	-1
13	0	1	52	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	门派BOSS	-1
14	0	1	84	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	门派BOSS	-1
15	0	1	52	3	50016	0	0	0	0	0	0	4	4	#{FZ_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	贼兵入侵	95
16	0	1	60	3	50016	0	0	0	0	0	0	4	4	#{FZ_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	贼兵入侵	95
17	0	1	68	3	50016	0	0	0	0	0	0	4	4	#{FZ_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	贼兵入侵	95
18	0	1	76	3	50016	0	0	0	0	0	0	4	4	#{FZ_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	贼兵入侵	95
