INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
actid	sceneid_0	rate_0	sceneid_1	rate_1	sceneid_2	rate_2	sceneid_3	rate_3	sceneid_4	rate_4	sceneid_5	rate_5	sceneid_6	rate_6	sceneid_7	rate_7	sceneid_8	rate_8	sceneid_9	rate_9
#<0>actid	活动编号																			
#<1>sceneid_?	Group?：场景ID																			
#<2>rate_?	Group?：随机分子，分母为同组中所有分子的和																			
#																				
0	0	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	140	1	139	1	142	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	140	1	139	1	142	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	140	1	139	1	142	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	145	1	146	1	147	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	145	1	146	1	147	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	145	1	146	1	147	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12	141	1	144	1	143	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
13	141	1	144	1	143	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
14	141	1	144	1	143	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15	3	1	4	1	5	1	6	1	7	1	8	1	-1	-1	-1	-1	-1	-1	-1	-1
16	3	1	4	1	5	1	6	1	7	1	8	1	-1	-1	-1	-1	-1	-1	-1	-1
17	3	1	4	1	5	1	6	1	7	1	8	1	-1	-1	-1	-1	-1	-1	-1	-1
18	3	1	4	1	5	1	6	1	7	1	8	1	-1	-1	-1	-1	-1	-1	-1	-1
19	3	1	4	1	5	1	6	1	7	1	8	1	-1	-1	-1	-1	-1	-1	-1	-1
20	9	1	11	1	10	1	12	1	15	1	13	1	16	1	17	1	14	1	-1	-1
21	9	1	11	1	10	1	12	1	15	1	13	1	16	1	17	1	14	1	-1	-1
26	9	1	11	1	10	1	12	1	15	1	13	1	16	1	17	1	14	1	-1	-1
27	9	1	11	1	10	1	12	1	15	1	13	1	16	1	17	1	14	1	-1	-1
28	9	1	11	1	10	1	12	1	15	1	13	1	16	1	17	1	14	1	-1	-1
29	9	1	11	1	10	1	12	1	15	1	13	1	16	1	17	1	14	1	-1	-1
41	3	1	4	1	5	1	6	1	7	1	8	1	-1	-1	-1	-1	-1	-1	-1	-1
42	9	1	11	1	10	1	12	1	15	1	13	1	16	1	17	1	14	1	-1	-1
#111	3	1	4	1	5	1	6	1	7	1	8	1	-1	-1	-1	-1	-1	-1	-1	-1
#112	3	1	4	1	5	1	6	1	7	1	8	1	-1	-1	-1	-1	-1	-1	-1	-1
#113	3	1	4	1	5	1	6	1	7	1	8	1	-1	-1	-1	-1	-1	-1	-1	-1
