INT	STRING	STRING	INT	INT	INT	INT	INT	INT
ID	特性名称$1$	图标	C-phy	C-magic	C-cold	C-fire	C-light	C-poison
0	少林		57500	15000	1000000	1000000	1500000	1000000
1	明教		57500	15000	1000000	1500000	1000000	1000000
2	丐帮		57500	15000	1000000	1250000	1000000	1300000
3	武当		3875	71250	1250000	1200000	1100000	1000000
4	峨嵋		3875	71250	1200000	1000000	1250000	1000000
5	星宿		3875	71250	1000000	1000000	1000000	1500000
6	大理		43750	43750	1150000	1150000	1150000	1150000
7	天山		57500	15000	1500000	1000000	1000000	1000000
8	逍遥		3875	71250	1000000	1300000	1000000	1250000
9	标准		42500	42500	200000	200000	200000	200000
10	NPC		63750	63750	1000000	1000000	1000000	1000000
11	外功攻击型宠物：铁骨铮铮，刚健威猛，以劲力见长	PetAttack_Type1	52900	13800	1000000	1000000	1000000	1000000
12	内功攻击型宠物：冥思驭气，道法自然，以内力伤敌	PetAttack_Type2	3565	65550	1000000	1000000	1000000	1000000
13	平衡攻击型宠物：平衡发展，博采众长，虽无特长亦无破绽	PetAttack_Type3	40250	40250	1000000	1000000	1000000	1000000
