INT	INT	STRING	STRING	INT	INT	STRING	STRING	STRING	STRING
ID	time_type	time_start	time_end	time_slice	time_invalid	campaignName$1$	desc$1$	additionDesc$1$	icon
#<00>id	表索引，从0开始填写								
#<01>time_type	时间控制类型：0表示仅执行一次，1表示每天执行一次，2表示每周执行一次，3表示每月执行一次								
#<02>time_start	开始时间								
#		时间控制类型＝0时：(前四位表示月日，如3月1日就是0301，后四位表示一天具体时间，比如19：30就写1930)							
#		时间控制类型＝1时：(前四位无意义，后四位表示一天具体时间)							
#		时间控制类型＝2时：(前三位无意义，第四位表示星期数0=星期天;1=星期一，后两位表示一天具体时间)							
#		时间控制类型＝3时：(前两位表示本月的天数(01-31)，后四表示一天具体时间)							
#		如果是每月的某一天就用前缀D，比如D01代表每月的第一天，每月的某个星期几就用前缀W,如W11代表每月第一周的星期一							
#									
#									
#<03>time_slice	活动的启动时间，如果是11月3日启动，那就写成1103，如果不填，表示永远有效								
#<04>time_invalid	活动的结束时间，如果是11月3日结束，那就写成1103，如果不填，表示永远有效								
#<05>campaignName	活动名字								
#<06>desc	活动相关信息								
#<07>additionDesc	活动附加信息								
0	0	0104-1900	0104-2300			横扫牡丹碗	洛阳童贯、大理夏青青、苏州于倩倩		Huodong_6
1	0	0201-1900	0201-2300			横扫牡丹碗	洛阳童贯、大理夏青青、苏州于倩倩		Huodong_6
2	0	0301-1900	0301-2300			横扫牡丹碗	洛阳童贯、大理夏青青、苏州于倩倩		Huodong_6
3	0	0405-1900	0405-2300			横扫牡丹碗	洛阳童贯、大理夏青青、苏州于倩倩		Huodong_6
4	0	0503-1900	0503-2300			横扫牡丹碗	洛阳童贯、大理夏青青、苏州于倩倩		Huodong_6
5	0	0607-1900	0607-2300			横扫牡丹碗	洛阳童贯、大理夏青青、苏州于倩倩		Huodong_6
6	0	0705-1900	0705-2300			横扫牡丹碗	洛阳童贯、大理夏青青、苏州于倩倩		Huodong_6
7	0	0802-1900	0802-2300			横扫牡丹碗	洛阳童贯、大理夏青青、苏州于倩倩		Huodong_6
8	0	0906-1900	0906-2300			横扫牡丹碗	洛阳童贯、大理夏青青、苏州于倩倩		Huodong_6
