INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT
ID	场景ID	入口场景ID	1级城市	2级城市	3级城市	4级城市	5级城市	入口组	名称$1$	所属商区$1$	特产1	特产2	特产3	特产4	特产5	入口X坐标	入口Y坐标
1	205	18	541	542	543	544	545	0	雁南正南	雁门	20400009	20400012	20400018	20102004	20102005	72	282
2	206	19	541	542	543	544	545	1	雁北正西	雁门	20400006	20400010	20400020	20102004	20102005	32	127
3	207	30	511	512	513	514	515	2	西湖正西	杭州	20400009	20400012	20400017	20102004	20102005	39	139
4	208	31	511	512	513	514	515	3	龙泉正北	杭州	20400006	20400010	20400025	20102004	20102005	63	33
5	209	25	521	522	523	524	525	4	苍山正西	滇域	20400009	20400012	20400021	20102004	20102005	37	172
6	210	24	521	522	523	524	525	5	洱海正西	滇域	20400006	20400010	20400019	20102004	20102005	34	100
7	211	20	536	537	538	539	540	6	草原正西	辽地	20400009	20400015	20400016	20102004	20102005	46	206
8	212	21	536	537	538	539	540	7	辽西西北	辽地	20400006	20400011	20400020	20102004	20102005	75	35
9	213	32	506	507	508	509	510	8	武夷正西	岭南	20400009	20400015	20400023	20102004	20102005	92	171
10	214	33	506	507	508	509	510	9	梅岭西北	岭南	20400006	20400011	20400025	20102004	20102005	31	90
11	215	26	526	527	528	529	530	10	石林正南	石城	20400009	20400015	20400017	20102004	20102005	278	281
12	216	27	526	527	528	529	530	11	玉溪西南	石城	20400006	20400011	20400019	20102004	20102005	33	251
13	217	22	501	502	503	504	505	12	长白山西北	塞外	20400004	20400013	20400020	20102004	20102005	39	63
14	218	23	501	502	503	504	505	13	黄龙府西北	塞外	20400009	20400014	20400022	20102004	20102005	28	54
15	219	34	516	517	518	519	520	14	南海正北	海口	20400009	20400014	20400024	20102004	20102005	134	40
16	220	35	516	517	518	519	520	15	琼州正西	海口	20400004	20400013	20400027	20102004	20102005	80	139
17	221	28	531	532	533	534	535	16	南诏西南	苗域	20400009	20400014	20400026	20102004	20102005	39	254
18	222	29	531	532	533	534	535	17	苗疆正东	苗域	20400004	20400013	20400019	20102004	20102005	281	160
19	223	18	541	542	543	544	545	0	雁南正南	雁门	20400009	20400012	20400018	20102004	20102005	72	282
20	224	19	541	542	543	544	545	1	雁北正西	雁门	20400006	20400010	20400020	20102004	20102005	32	127
21	225	30	511	512	513	514	515	2	西湖正西	杭州	20400009	20400012	20400017	20102004	20102005	39	139
22	226	31	511	512	513	514	515	3	龙泉正北	杭州	20400006	20400010	20400025	20102004	20102005	63	33
23	227	25	521	522	523	524	525	4	苍山正西	滇域	20400009	20400012	20400021	20102004	20102005	37	172
24	228	24	521	522	523	524	525	5	洱海正西	滇域	20400006	20400010	20400019	20102004	20102005	34	100
25	229	20	536	537	538	539	540	6	草原正西	辽地	20400009	20400015	20400016	20102004	20102005	46	206
26	230	21	536	537	538	539	540	7	辽西西北	辽地	20400006	20400011	20400020	20102004	20102005	75	35
27	231	32	506	507	508	509	510	8	武夷正西	岭南	20400009	20400015	20400023	20102004	20102005	92	171
