INT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT
商区ID	商区ID	商区ID	商区ID	商区ID	商区ID	商区ID	商区ID	商区ID	商区ID	商区ID	商区ID	商区ID	商区ID	商区ID	商区ID	商区ID	商区ID	商区ID	商区ID	商区ID	商区ID
0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
1	0.1	0.5	0.5	1	1.2	2.3	2.8	2.8	2.3	1.73	1.8	2.8	2.8	2.8	2.8	1.8	2.3	2.8	2.8	2.8	2.8
2	0.5	0.1	0.5	2.3	2.8	1	1.2	2.8	2.3	2.8	2.8	1.63	1.8	2.8	2.8	2.8	2.8	1.8	2.3	2.8	2.8
3	0.5	0.5	0.1	2.3	2.8	2.3	2.8	1.2	1	2.8	2.8	2.8	2.8	1.73	1.8	2.8	2.8	2.8	2.8	1.8	2.3
4	1	2.3	2.3	0.2	1	2.8	2.8	2.8	2.8	1	1.2	2.8	2.8	2.8	2.8	1.2	1.9	2.8	2.8	2.8	2.8
5	1.2	2.8	2.8	1	0.2	2.8	2.8	2.8	2.8	1.2	1.8	2.8	2.8	2.8	2.8	1.8	2.3	2.8	2.8	2.8	2.8
6	2.3	1	2.3	2.8	2.8	0.2	1	2.8	2.8	2.8	2.8	1	1.2	2.8	2.8	2.8	2.8	1.2	1.8	2.8	2.8
7	2.8	1.2	2.8	2.8	2.8	1	0.2	2.8	2.8	2.8	2.8	1.2	1.8	2.8	2.8	2.8	2.8	1.8	2.3	2.8	2.8
8	2.8	2.8	1.2	2.8	2.8	2.8	2.8	0.2	1	2.8	2.8	2.8	2.8	1.65	1.8	2.8	2.8	2.8	2.8	1.8	2.3
9	2.3	2.3	1	2.8	2.8	2.8	2.8	1	0.2	2.8	2.8	2.8	2.8	1	1.2	2.8	2.8	2.8	2.8	1.2	1.8
10	1.73	2.8	2.8	1	1.2	2.8	2.8	2.8	2.8	0.2	1	2.8	2.8	2.8	2.8	1	1.65	2.8	2.8	2.8	2.8
11	1.8	2.8	2.8	1.2	1.8	2.8	2.8	2.8	2.8	1	0.2	2.8	2.8	2.8	2.8	1.2	1.8	2.8	2.8	2.8	2.8
12	2.8	1.63	2.8	2.8	2.8	1	1.2	2.8	2.8	2.8	2.8	0.2	1	2.8	2.8	2.8	2.8	1	1.55	2.8	2.8
13	2.8	1.8	2.8	2.8	2.8	1.2	1.8	2.8	2.8	2.8	2.8	1	0.2	2.8	2.8	2.8	2.8	1.2	1.8	2.8	2.8
14	2.8	2.8	1.73	2.8	2.8	2.8	2.8	1.65	1	2.8	2.8	2.8	2.8	0.2	1	2.8	2.8	2.8	2.8	1	1.2
15	2.8	2.8	1.8	2.8	2.8	2.8	2.8	1.8	1.2	2.8	2.8	2.8	2.8	1	0.2	2.8	2.8	2.8	2.8	1.2	1.8
16	1.8	2.8	2.8	1.2	1.8	2.8	2.8	2.8	2.8	1	1.2	2.8	2.8	2.8	2.8	0.2	1	2.8	2.8	2.8	2.8
17	2.3	2.8	2.8	1.9	2.3	2.8	2.8	2.8	2.8	1.65	1.8	2.8	2.8	2.8	2.8	1	0.2	2.8	2.8	2.8	2.8
18	2.8	1.8	2.8	2.8	2.8	1.2	1.8	2.8	2.8	2.8	2.8	1	1.2	2.8	2.8	2.8	2.8	0.2	1	2.8	2.8
19	2.8	2.3	2.8	2.8	2.8	1.8	2.3	2.8	2.8	2.8	2.8	1.55	1.8	2.8	2.8	2.8	2.8	1	0.2	2.8	2.8
20	2.8	2.8	1.8	2.8	2.8	2.8	2.8	1.8	1.2	2.8	2.8	2.8	2.8	1	1.2	2.8	2.8	2.8	2.8	0.2	1
21	2.8	2.8	2.3	2.8	2.8	2.8	2.8	2.3	1.8	2.8	2.8	2.8	2.8	1.2	1.8	2.8	2.8	2.8	2.8	1	0.2
