INT	INT
Level	Exp	
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	2
28	2
29	2
30	3
31	3
32	4
33	4
34	5
35	5
36	6
37	6
38	7
39	8
40	9
41	9
42	10
43	11
44	12
45	13
46	14
47	15
48	17
49	18
50	19
51	21
52	22
53	24
54	25
55	27
56	29
57	31
58	33
59	35
60	37
61	39
62	41
63	44
64	46
65	49
66	51
67	54
68	58
69	61
70	65
71	70
72	75
73	80
74	85
75	91
76	98
77	106
78	114
79	124
80	136
81	155
82	183
83	225
84	283
85	362
86	465
87	597
88	761
89	962
90	1205
91	1493
92	1832
93	2227
94	2683
95	3204
96	3797
97	4466
98	5217
99	6057
100	6153
101	6252
102	6353
103	6457
104	6565
105	6674
106	6787
107	6903
108	7021
109	7143
110	7268
111	7396
112	7527
113	7661
114	7799
115	7940
116	8085
117	8232
118	8384
119	8539
120	8698
121	8860
122	9026
123	9196
124	9370
125	9548
126	9729
127	9915
128	10105
129	10299
130	10497
131	10699
132	10905
133	11116
134	11332
135	11551
136	11776
137	12004
138	12238
139	12476
140	12719
141	12966
142	13219
143	13476
144	13738
145	14488
146	15334
147	16282
148	17340
149	18515
150	0
