INT	INT	INT	STRING	STRING
索引（无具体含义）	广播类型ID（顺序递增）	频道类型：4-系统消息，6-帮派消息，7-门派消息	活动描述$1$	广播内容（消息限长256CHAR，严禁使用字符%）：&A-活动描述，&S-场景名称，&T-队长名称，&U-玩家名称，&I-物品名称$1$
0	0	4	企鹅王	#W&U#P在雪原上将#{_BOSS42}#P踹翻在地，捡起#W&I#P，飞一般的走了。
1	0	4	企鹅王	#W&U#P将#{_BOSS42}#P撂倒在地，#W&U#P终于让其供出了#W&I#P的所在。
2	0	4	企鹅王	"#W&U#P在#G&S#P大战#{_BOSS42}#P,因后者肚子太饿，交出#W&I#P，败阵而去。"
3	1	4	夺宝马贼	#W&U#P于#G&S#P苦战#{_BOSS48}#P，一不留神踩在马贼掉下#W&I#P上滑了一跤，顺手将其揣入怀中。
4	1	4	夺宝马贼	#W&U#P在#G&S#P挖到宝藏之后过于兴奋，误使一招“金刚伏魔圈”。竟将周围潜伏的#{_BOSS48}#P击毙，得到一个#W&I。
5	1	4	夺宝马贼	#W&U#P与#{_BOSS48}#P在#G&S#P恶战之时，额头被一记暗器击中。#W&U#P起身捡起暗器一看，原来是一个#W&I。
6	2	4	偷袭门派	#W&U#P与#{_BOSS28}拆了近百回合终于获胜，掌门人大喜，将#W&I#P赠之做为酬劳。
7	2	4	偷袭门派	#P#{_BOSS28}在接了#W&U#P一掌后吐血而去，却遗落了一个#W&I#P在地上。
8	2	4	偷袭门派	#P#{_BOSS28}不敌#W&U#P转身要逃，#W&U#P扯住他的衣衫，衣衫应声而裂，一个#W&I#P落在了地上。
9	3	4	银皑雪原	#W&U#P正在#G&S#P赏雪，忽见寒光一闪，#W&U#P伸手接住，竟是一把#W&I。
10	4	4	镜湖	#P大战三百回合之后，#{_BOSS14}#P跳出圈外，大喊一声：“#W&U#P！你的火抗好厉害，某家不是对手，这个#W&I#P就送给你了！”
11	5	4	偷袭门派	#W&U#P与#{_BOSS27}#P拆了近百回合终于获胜，掌门人大喜，将#W&I#P赠之做为酬劳。
12	5	4	偷袭门派	#{_BOSS27}#P在接了#W&U#P一掌后吐血而去，却遗落了一个#W&I#P在地上。
13	5	4	偷袭门派	#{_BOSS27}#P不敌#W&U#P转身要逃，#W&U#P扯住他的衣衫，衣衫应声而裂，一个#W&I#P落在了地上。
14	6	4	圣兽山活动小怪	#P在风雨交加的#G圣兽山中#P，#W&U#P飞起一脚，将一只暴走野猪踢上半空。结果意外的在自己的绽开的鞋底里发现了一本#W&I！
15	6	4	圣兽山活动小怪	#P在黄沙漫天的#G圣兽山中#P，#W&U#P飞起一拳，将一只暴走野猪抡上半空。结果意外的在自己的裂开的手套里发现了一本#W&I#！
16	6	4	圣兽山活动小怪	#P在大雪纷飞的#G圣兽山中#P中，#W&U#P飞起一棒，将一只暴走野猪崩上半空。结果意外的在自己的断裂的棒子里发现了一本#W&I！
17	7	4	野猪暴走小怪	#G野猪农场中#P，#W&U#P飞起一脚，将一只尖牙野猪踢上半空。结果意外的在自己的绽开的鞋底里发现了一本#W&I！
18	7	4	野猪暴走小怪	#G野猪农场中#P，#W&U#P飞起一拳，将一只尖牙野猪抡上半空。结果意外的在自己的裂开的手套里发现了一本#W&I！
19	7	4	野猪暴走小怪	#G野猪农场中#P，#W&U#P飞起一棒，将一只尖牙野猪崩上半空。结果意外的在自己的断裂的棒子里发现了一本#W&I！
20	8	4	野猪暴走老板	#G野猪农场中#P，#W&U#P飞起一脚，将一只#{_BOSS20}踢上半空。结果意外的在自己的绽开的鞋底里发现了一本#W&I！
21	8	4	野猪暴走老板	#G野猪农场中#P，#W&U#P飞起一拳，将一只#{_BOSS20}抡上半空。结果意外的在自己的裂开的手套里发现了一本#W&I！
22	8	4	野猪暴走老板	#G野猪农场中#P，#W&U#P飞起一棒，将一只#{_BOSS20}崩上半空。结果意外的在自己的断裂的棒子里发现了一本#W&I！
23	9	4	玄武岛掉落	#W&U#P今天走大运，在#G&S#P随便杀死一只怪就得到一本#W&I#P，真是羡煞旁人。
24	9	4	玄武岛掉落	#W&U#P纵横#G&S#P十余天，今天终于得到一本#W&I#P，不由仰天长啸。
25	9	4	玄武岛掉落	#W&U#P在#G&S#P物色宠物，竟然让他找到一本#W&I#P。
