INT	INT	INT	STRING	INT	INT	INT
Index	有效期(小时)	传输颜色	附加属性描述$1$	是否显示	元宝交易类型:0可元宝交易，1不可元宝交易，2即可元宝交易也可金币交易	卖店是否获得交子，1获得交子，0获得金币
10124009	-1	2005	-1		1	0
10124010	-1	2005	-1		1	0
10124011	-1	2005	-1		1	0
10124012	-1	2005	-1		1	0
10124013	-1	2005	-1		1	0
10124014	-1	2005	-1		1	0
10124015	-1	2005	-1		1	0
10124016	-1	2005	-1		1	0
10124017	-1	2005	-1		1	0
10124018	720	2005	-1		1	0
10124019	720	2005	-1		1	0
10124020	2160	2005	-1		1	0
10124021	2160	2005	-1		1	0
10124022	720	2005	-1		1	0
10124023	720	2005	-1		1	0
10124024	720	2005	-1		1	0
10124025	720	2005	-1		1	0
10124026	2160	2005	-1		1	0
10124027	2160	2005	-1		1	0
10124030	2160	2005	-1		1	0
10124031	2160	2005	-1		1	0
10124032	2160	2005	-1		1	0
10124033	2160	2005	-1		1	0
10124034	2160	2005	-1		1	0
10124035	-1	2005	-1		1	0
10124036	-1	2005	-1		1	0
10124039	-1	2005	-1		1	0
10124040	-1	2005	-1		1	0
10124041	-1	2005	-1		1	0
10124042	-1	2005	-1		1	0
10124043	720	2005	-1		1	0
10124044	720	2005	-1		1	0
10124045	720	2005	-1		1	0
10124046	720	2005	-1		1	0
10124047	720	2005	-1		1	0
10124048	720	2005	-1		1	0
10124049	720	2005	-1		1	0
10124050	720	2005	-1		1	0
10124051	2160	2005	-1		1	0
10124052	2160	2005	-1		1	0
10124053	2160	2005	-1		1	0
10124054	2160	2005	-1		1	0
10124055	2160	2005	-1		1	0
10124056	2160	2005	-1		1	0
10124057	2160	2005	-1		1	0
10124058	2160	2005	-1		1	0
10124059	-1	2005	-1		1	0
10124060	-1	2005	-1		1	0
10124061	-1	2005	-1		1	0
10124062	-1	2005	-1		1	0
10124063	-1	2005	-1		1	0
10124064	-1	2005	-1		1	0
10124065	-1	2005	-1		1	0
10124066	-1	2005	-1		1	0
10124067	720	2005	-1		1	0
10124068	2160	2005	-1		1	0
10124069	-1	2005	-1		1	0
10124070	720	2005	-1		1	0
10124071	720	2005	-1		1	0
10124072	-1	2005	-1		1	0
10124073	720	2005	-1		1	0
10124074	2160	2005	-1		1	0
10124075	-1	2005	-1		1	0
10124076	720	2005	-1		1	0
10124077	720	2005	-1		1	0
10124078	720	2005	-1		1	0
10124079	720	2005	-1		1	0
10124080	720	2005	-1		1	0
10124081	720	2005	-1		1	0
10124082	1440	2005	-1		1	0
10124083	720	2005	-1		1	0
10124084	2160	2005	-1		1	0
10124085	-1	2005	-1		1	0
10124086	4320	2005	-1		1	0
10124087	2160	2005	-1		1	0
10124088	2160	2005	-1		1	0
10124089	720	2005	-1		1	0
10124090	2160	2005	-1		1	0
10124091	-1	2005	-1		1	0
10124092	720	2005	-1		1	0
10124093	2160	2005	-1		1	0
10124094	-1	2005	-1		1	0
10124095	720	2005	-1		1	0
10124096	2160	2005	-1		1	0
10124097	-1	2005	-1		1	0
10124098	720	2005	-1		1	0
10124099	2160	2005	-1		1	0
10124100	-1	2005	-1		1	0
10124101	720	2005	-1		1	0
10124102	2160	2005	-1		1	0
10124103	-1	2005	-1		1	0
10124104	720	2005	-1		1	0
10124105	2160	2005	-1		1	0
10124106	-1	2005	-1		1	0
10124107	720	2005	-1		1	0
10124108	2160	2005	-1		1	0
10124109	-1	2005	-1		1	0
10124110	2160	2005	-1		1	0
10124111	168	2005	-1		1	0
10124112	720	2005	-1		1	0
10124113	-1	2005	-1		1	0
10124114	-1	2005	-1		1	0
10124115	-1	2005	-1		1	0
10124116	-1	2005	-1		1	0
10124117	-1	2005	-1		1	0
10124118	-1	2005	-1		1	0
10124119	-1	2005	-1		1	0
10124120	-1	2005	-1		1	0
10124121	-1	2005	-1		1	0
10124122	24	2005	-1		1	0
10124123	24	2005	-1		1	0
10124124	720	2005	-1		1	0
10124125	2160	2005	-1		1	0
10124126	-1	2005	-1		1	0
10124127	720	2005	-1		1	0
10124128	2160	2005	-1		1	0
10124129	-1	2005	-1		1	0
10124130	720	2005	-1		1	0
10124131	720	2005	-1		1	0
10124132	2160	2005	-1		1	0
10124133	-1	2005	-1		1	0
10124134	720	2005	-1		1	0
10124135	720	2005	-1		1	0
10124136	2160	2005	-1		1	0
10124137	-1	2005	-1		1	0
10124138	720	2005	-1		1	0
10124139	2160	2005	-1		1	0
10124140	-1	2005	-1		1	0
10124141	168	2005	-1		1	0
10124142	720	2005	-1		1	0
10124143	720	2005	-1		1	0
10124144	720	2005	-1		1	0
10124145	720	2005	-1		1	0
10124146	720	2005	-1		1	0
10124147	720	2005	-1		1	0
10124148	720	2005	-1		1	0
10124149	720	2005	-1		1	0
10124150	720	2005	-1		1	0
10124151	720	2005	-1		1	0
10124152	72	2005	-1		1	0
10124153	168	2005	-1		1	0
10124154	720	2005	-1		1	0
10124155	2160	2005	-1		1	0
10124156	-1	2005	-1		1	0
10124322	-1	2005	-1		1	0
10124323	-1	2005	-1		1	0
10124324	-1	2005	-1		1	0
10124325	-1	2005	-1		1	0
10124326	-1	2005	-1		1	0
10124327	-1	2005	-1		1	0
10124328	-1	2005	-1		1	0
10124329	-1	2005	-1		1	0
10124330	-1	2005	-1		1	0
10124331	-1	2005	-1		1	0
10124335	-1	2005	-1		1	0
10124346	-1	2005	-1		1	0
10124350	-1	2005	-1		1	0
10141041	2160	2005	-1		1	0
10141042	840	2005	-1		1	0
10141043	2160	2005	-1		1	0
10141044	2160	2005	-1		1	0
10141045	2160	2005	-1		1	0
10141046	2160	2005	-1		1	0
10141047	2160	2005	-1		1	0
10141048	2160	2005	-1		1	0
10141049	2160	2005	-1		1	0
10141052	-1	2005	-1		1	0
10141053	-1	2005	-1		1	0
10141054	-1	2005	-1		1	0
10141055	-1	2005	-1		1	0
10141056	-1	2005	-1		1	0
10141057	-1	2005	-1		1	0
10141058	-1	2005	-1		1	0
10141059	-1	2005	-1		1	0
10141060	2160	2005	-1		1	0
10141061	2160	2005	-1		1	0
10141062	2160	2005	-1		1	0
10141063	2160	2005	-1		1	0
10141064	2160	2005	-1		1	0
10141065	2160	2005	-1		1	0
10141066	-1	2005	-1		1	0
10141067	-1	2005	-1		1	0
10141068	-1	2005	-1		1	0
10141069	-1	2005	-1		1	0
10141070	-1	2005	-1		1	0
10141071	-1	2005	-1		1	0
10141072	4320	2005	-1		1	0
10141073	4320	2005	-1		1	0
10141074	4320	2005	-1		1	0
10141075	4320	2005	-1		1	0
10141076	4320	2005	-1		1	0
10141077	4320	2005	-1		1	0
10141078	4320	2005	-1		1	0
10141079	4320	2005	-1		1	0
10141080	4320	2005	-1		1	0
10141081	2160	2005	-1		1	0
10141082	4320	2005	-1		1	0
10141083	-1	2005	-1		1	0
10141084	2160	2005	-1		1	0
10141085	4320	2005	-1		1	0
10141086	-1	2005	-1		1	0
10141087	2160	2005	-1		1	0
10141088	4320	2005	-1		1	0
10141089	-1	2005	-1		1	0
10141090	720	2005	-1		1	0
10141091	2160	2005	-1		1	0
10141092	-1	2005	-1		1	0
10141093	2160	2005	-1		1	0
10141094	4320	2005	-1		1	0
10141095	-1	2005	-1		1	0
10141102	2160	2005	-1		1	0
10141103	4320	2005	-1		1	0
10141104	-1	2005	-1		1	0
10141105	168	2005	-1		1	0
10141106	168	2005	-1		1	0
10141107	168	2005	-1		1	0
10141108	168	2005	-1		1	0
10141109	168	2005	-1		1	0
10141110	168	2005	-1		1	0
10141111	2160	2005	-1		1	0
10141112	4320	2005	-1		1	0
10141113	-1	2005	-1		1	0
10141114	720	2005	-1		1	0
10141115	720	2005	-1		1	0
10141116	2160	2005	-1		1	0
10141117	4320	2005	-1		1	0
10141118	-1	2005	-1		1	0
10141119	720	2005	-1		1	0
10141120	720	2005	-1		1	0
10141121	168	2005	-1		1	0
10141122	2160	2005	-1		1	0
10141123	4320	2005	-1		1	0
10141124	-1	2005	-1		1	0
10141125	2160	2005	-1		1	0
10141126	4320	2005	-1		1	0
10141127	-1	2005	-1		1	0
10141128	2160	2005	-1		1	0
10141129	4320	2005	-1		1	0
10141130	-1	2005	-1		1	0
10141131	720	2005	-1		1	0
10141132	720	2005	-1		1	0
10141133	720	2005	-1		1	0
10141134	72	2005	-1		1	0
10141135	72	2005	-1		1	0
10141136	720	2005	-1		1	0
10141137	2160	2005	-1		1	0
10141138	4320	2005	-1		1	0
10141139	-1	2005	-1		1	0
10141140	720	2005	-1		1	0
10141141	2160	2005	-1		1	0
10141142	4320	2005	-1		1	0
10141143	-1	2005	-1		1	0
10141145	720	2005	-1		1	0
10141149	-1	2005	-1		1	0
10141155	-1	2005	-1		1	0
10141159	-1	2005	-1		1	0
10141163	-1	2005	-1		1	0
10141167	-1	2005	-1		1	0
10141171	-1	2005	-1		1	0
10141175	-1	2005	-1		1	0
10141179	-1	2005	-1		1	0
10141183	-1	2005	-1		1	0
10141187	-1	2005	-1		1	0
10141192	-1	2005	-1		1	0
10141197	-1	2005	-1		1	0
10141201	-1	2005	-1		1	0
10141216	-1	2005	-1		1	0
10141217	-1	2005	-1		1	0
10141219	-1	2005	-1		1	0
10141220	-1	2005	-1		1	0
10141224	-1	2005	-1		1	0
10141226	-1	2005	-1		1	0
10141227	-1	2005	-1		1	0
10141230	-1	2005	-1		1	0
10141233	-1	2005	-1		1	0
10141237	-1	2005	-1		1	0
10141241	-1	2005	-1		1	0
10141245	-1	2005	-1		1	0
10141250	-1	2005	-1		1	0
10141254	-1	2005	-1		1	0
10141258	-1	2005	-1		1	0
10141263	-1	2005	-1		1	0
10141266	-1	2005	-1		1	0
10141271	-1	2005	-1		1	0
10141275	-1	2005	-1		1	0
10141288	-1	2005	-1		1	0
10141292	-1	2005	-1		1	0
10141296	-1	2005	-1		1	0
10141300	-1	2005	-1		1	0
10141304	-1	2005	-1		1	0
10141308	-1	2005	-1		1	0
10141315	-1	2005	-1		1	0
10141317	-1	2005	-1		1	0
10141323	-1	2005	-1		1	0
10141328	-1	2005	-1		1	0
10141333	-1	2005	-1		1	0
10141335	-1	2005	-1		1	0
10141336	-1	2005	-1		1	0
10141337	-1	2005	-1		1	0
10141338	-1	2005	-1		1	0
10141366	-1	2005	-1		1	0
10141370	-1	2005	-1		1	0
10141380	-1	2005	-1		1	0
10141386	-1	2005	-1		1	0
10141387	-1	2005	-1		1	0
10141388	-1	2005	-1		1	0
10141800	168	2005	-1		1	0
10141801	720	2005	-1		1	0
10141802	-1	2005	-1		1	0
10141803	72	2005	-1		1	0
10141804	720	2005	-1		1	0
10141805	168	2005	-1		1	0
10141806	4320	2005	-1		1	0
10141807	-1	2005	-1		1	0
10300000	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“奋力”		1	0
10300001	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“奋力”		1	0
10300002	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“奋力”		1	0
10300003	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“奋力”		1	0
10300004	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“奋力”		1	0
10300005	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“奋力”		1	0
10302000	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“蓄力”		1	0
10302001	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“蓄力”		1	0
10302002	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“蓄力”		1	0
10302003	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“蓄力”		1	0
10302004	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“蓄力”		1	0
10302005	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“蓄力”		1	0
10304000	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“精妙”		1	0
10304001	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“精妙”		1	0
10304002	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“精妙”		1	0
