INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
装备外形ID	ID_1	ID_2	ID_3	ID_4	ID_5	ID_6	ID_7	ID_8	ID_9	ID_10	Item_ID
10001	2	3	4	5	6	7	8	9	10	11	30900004
10031	32	33	34	35	36	37	38	39	40	41	30900004
10061	62	63	64	65	66	67	68	69	70	71	30900004
10100	101	102	103	104	105	106	107	108	109	110	30900004
20001	2	3	4	5	6	7	8	9	10	11	30900004
20061	62	63	64	65	66	67	68	69	70	71	30900004
20121	122	123	124	125	126	127	128	129	130	131	30900004
20181	182	183	184	185	186	187	188	189	190	191	30900004
20241	242	243	244	245	246	247	248	249	250	251	30900004
20301	302	303	304	305	306	307	308	309	310	311	30900004
