INT	INT	INT	INT
宝石ID	熔炼后宝石ID	需要物品ID	需要金钱
50102005	50121001	30900056	10000
50102006	50121002	30900056	10000
50102007	50121003	30900056	10000
50102008	50121004	30900056	10000
50202005	50221001	30900056	20000
50202006	50221002	30900056	20000
50202007	50221003	30900056	20000
50202008	50221004	30900056	20000
50302005	50321001	30900056	30000
50302006	50321002	30900056	30000
50302007	50321003	30900056	30000
50302008	50321004	30900056	30000
50402005	50421001	30900056	40000
50402006	50421002	30900056	40000
50402007	50421003	30900056	40000
50402008	50421004	30900056	40000
50502005	50521001	30900057	50000
50502006	50521002	30900057	50000
50502007	50521003	30900057	50000
50502008	50521004	30900057	50000
50602005	50621001	30900057	60000
50602006	50621002	30900057	60000
50602007	50621003	30900057	60000
50602008	50621004	30900057	60000
50702005	50721001	30900057	70000
50702006	50721002	30900057	70000
50702007	50721003	30900057	70000
50702008	50721004	30900057	70000
50802005	50821001	30900057	80000
50802006	50821002	30900057	80000
50802007	50821003	30900057	80000
50802008	50821004	30900057	80000
50902005	50921001	30900057	90000
50902006	50921002	30900057	90000
50902007	50921003	30900057	90000
50902008	50921004	30900057	90000
