INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
Index	class(基本类型)	Quality(品质)	Type(类别)	Index(物品号)	EquipPoint(装备点)	Visual	适应规则	套装编号	套装件数	Name(名称)$1$	Lv(需求等级)	Desc(说明)$1$	基本价格	出售价格	Max耐久	修理失败上限	镶嵌宝石上限	技能ID	脚本ID	图标	类型描述	NameID	是否紫色装备	飘带id	增加HP的上限	百分比增加HP的上限	加快HP的回复速度	数增加MP的上限	百分比增加MP的上限	加快MP的回复速度	冰攻击	冰抵抗	减少冰冻迟缓时间	火攻击	火抵抗	减少火烧持续时间	电攻击	电抵抗	减少电击眩晕时间	毒攻击	毒抵抗	减少中毒时间	按百分比抵消所有属性攻击	物理攻击	按百分比增加物理攻击	对装备基础物理攻击百分比加成	物理防御	按百分比增加物理防御	对装备基础物理防御百分比加成	按百分比抵消物理伤害	魔法攻击	按百分比增加术-攻击	对装备基础魔法攻击百分比加成	魔法防御	按百分比增加魔法防御	对装备基础术-防御百分比加成	按百分比抵消魔法伤害	攻击速度(两次攻击间隔时间)	魔法冷却速度	命中	闪避	会心一击（双倍攻击）的百分比	无视对方防御比率	移动速度百分比	伤害反射	伤害由内力抵消	力量	灵气	体力	定力	身法	悟性	增加所有的人物一级属性	生命偷取	内力偷取	增加某个技能等级	增加所有技能等级	特殊技能发动概率	基础物理攻击下限	基础物理攻击上限	基础魔法攻击下限	基础魔法攻击上限	基础攻击速度下限(废弃)	基础攻击速度上限(废弃)	基础物理防御下限	基础物理防御上限	基础魔法防御下限	基础魔法防御上限	基础闪避下限	基础闪避上限	颜色	是否广播
10400001	1	4	0	1	0	413	1	-1	-1	三亭门扇大刀	10	刀身宽，刀背略弯，刀尖突出	180	720	125	3	3	-1	-1	Broadsword1_4	刀斧类	1000	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	28	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400006	1	4	0	6	0	417	1	-1	-1	亮银泼风大刀	20	烈火烧出铁精，以重柔铤，数宿所成。	540	2160	137	3	3	-1	-1	Broadsword1_6	刀斧类	1001	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	48	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400011	1	4	0	11	0	418	1	-1	-1	八卦劈水大刀	30	刀身刻有八卦图，刀锋锐利，可劈开水纹。	1150	4600	150	3	3	-1	-1	Broadsword1_12	刀斧类	1002	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	43	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400016	1	4	0	16	0	428	1	-1	-1	亮银鸳鸯大斧	40	据说为魏武帝曹操命人所造，通体银色，斧刃锋利无比，霸气十足。	1780	7120	162	3	3	-1	-1	Broadsword1_15	刀斧类	1003	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	88	-1	88	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400021	1	4	0	21	0	429	1	-1	-1	五龙逐日大刀	50	刀背厚，刀头宽大，刀背上穿有铜环，周围刻有五龙图，状如五龙逐日，故此得名。	2700	10800	175	3	3	-1	-1	Broadsword2_4	刀斧类	1004	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	108	-1	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400026	1	4	0	26	0	434	2	-1	-1	锯齿狼牙板门大刀	60	百炼精钢淬就，刀身挺拔，锋刃锐利，无坚不摧。	3850	15400	187	3	3	-1	-1	Broadsword2_9	刀斧类	1005	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	44	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	128	-1	128	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400031	1	4	0	31	0	427	2	-1	-1	金雀开山大斧	70	宽背广刃，刀重无比，能碎花岩，此刀铸造时吸收天地之精华，传说有神力附其上。	5570	22280	200	3	3	-1	-1	Broadsword2_13	刀斧类	1006	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	32	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	148	-1	148	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400036	1	4	0	36	0	441	2	-1	-1	神木匿月大刀	80	刀身窄，下宽上细，刀出，气激长空，穿云而过，杀气四射。	7450	29800	212	3	3	-1	-1	Broadsword3_3	刀斧类	1007	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	168	-1	168	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400041	1	4	0	41	0	449	2	-1	-1	巨佛吞日大刀	90	春秋时空灵子所铸，采天地之罡气，刀光飞金流彩，其浩然之气直贯云霄，竟可让烈日无光。	9950	39800	225	3	3	-1	-1	Broadsword3_7	刀斧类	1008	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	41	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	188	-1	188	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
