INT	STRING	STRING	INT	INT	STRING	INT	INT	INT
编号	名称$1$	对应模型	对应生活技能ID	对应任务ID	Tips默认$1$	打开时间默认	脚本ID	打开动画
1	铜矿	草药矿石/铜矿石.obj	7				710000	
2	铁矿	草药矿石/铁矿石.obj	7				710000	
3	银矿	草药矿石/银矿石.obj	7				710000	
4	寒铁矿	草药矿石/寒铁矿石.obj	7				710000	
5	金矿	草药矿石/金矿石.obj	7				710000	
6	玄铁矿	草药矿石/玄铁矿石.obj	7				710000	
7	水晶矿	草药矿石/水晶矿石.obj	7				710000	
8	翡翠矿	草药矿石/翡翠矿石.obj	7				710000	
9	真武矿	草药矿石/真武矿石.obj	7				710000	
10	龙血矿	草药矿石/龙血矿石.obj	7				710000	
11	凤血矿	草药矿石/凤血矿石.obj	7				710000	
12	女娲石	草药矿石/女娲石.obj	7				710000	
13	昆山矿玉	草药矿石/昆山矿玉.obj	7				710000	
14	众生矿石	草药矿石/众生矿石.obj	7				710000	
31	种植牌	0物品/铁幌子.mesh	11				711003	
32	小麦	0灌木/小灌1.mesh	-1				711004	
33	小麦熟	0灌木/大灌1.mesh	11				711005	
34	出鬼水缸	0物品/水缸1.mesh	12				713000	
35	鱼群	小动物/鱼群02.mesh	10				712000	
36	藏宝点	0物品/水缸1.mesh	13				713000	
49	白狼大王宝箱	0物品/镖箱.mesh	26				715000	
50	烽火台	0物品/镖箱.mesh	26				715001	
51	六品叶人参	长白山/人参2.mesh	26				715002	
93	散落的柴火	师门任务/木柴.obj	26				715007	
94	散落的蘑菇	师门任务/蘑菇.obj	26				715008	
95	散落的松果	师门任务/松果.obj	26				715009	
96	满月	师门任务/满月.obj	26				715003	
97	眼儿媚	师门任务/眼儿媚.obj	26				715004	
98	红妆素裹	师门任务/红妆素裹.obj	26				715005	
99	抓破美人脸	0物品/仙莲子.mesh	26				715006	
101	白英	草药矿石/红花.obj	8				710000	
102	蒲黄	草药矿石/青叶.obj	8				710000	
103	川贝	草药矿石/川贝.obj	8				710000	
104	元胡	草药矿石/元胡.obj	8				710000	
105	枇杷	草药矿石/枇杷.obj	8				710000	
106	甘草	草药矿石/甘草.obj	8				710000	
107	金银花	草药矿石/枸杞子.obj	8				710000	
108	黄芩	草药矿石/黄芩.obj	8				710000	
109	枸杞	草药矿石/枸杞子.obj	8				710000	
110	沉香	草药矿石/枇杷.obj	8				710000	
