INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
标识ID的分类ID	分类说明	本行中所有ID的类型(必须填)	本类中的ID数量	ID1	ID2	ID3	ID4	ID5	ID6	ID7	ID8	ID9	ID10	ID11	ID12	ID13	ID14	ID15	ID16	ID17	ID18	ID19	ID20	ID21	ID22	ID23	ID24	ID25	ID26	ID27	ID28	ID29	ID30	结尾说明，测试用
1	摩诃无量+万劫无相+明镜无尘	0	3	105	108	106																												
2	摩诃无量+万劫无相+迦叶会心	0	3	105	108	109																												
3	摩诃无量	0	1	105																														
4	万劫无相	0	1	108																														
5	HPDOT1~4	1	4	1	2	3	4																											
6	HPDOT5~6	1	3	5	6	46																												
7	日行式+夜行式	0	2	117	118																													
8	日行式	0	1	117																														
9	夜行式	0	1	118																														
10	囚龙式+擒龙式	0	2	126	127																													
11	囚龙式+擒龙式+神龙摆尾	0	3	126	127	129																												
12	囚龙式	0	1	126																														
13	擒龙式	0	1	127																														
14	犀牛望月式+野马分鬃式+玉女穿梭	0	3	137	138	140																												
15	犀牛望月式+野马分鬃式+白鹤晾翅	0	3	137	140	141																												
16	犀牛望月式	0	1	137																														
17	野马分鬃式	0	1	140																														
18	绝剑式	0	1	147																														
19	灭剑式	0	1	148																														
20	菩提护体	0	1	145																														
21	绝剑式＋灭剑式＋斩情诀	0	3	147	148	151																												
22	绝剑式＋灭剑式	0	2	147	148																													
23	峨嵋聚气技能	3	1	403																														
24	神木行	0	1	159																														
25	御水行	0	1	161																														
26	神木行+御水行	0	2	159	161																													
27	天南步法	0	1	171																														
28	天龙步法	0	1	172																														
29	天南步法+天龙步法+非枯非荣	0	3	171	172	173																												
30	天南步法+天龙步法	0	2	171	172																													
31	奈何心生	0	1	185																														
32	奈何心死	0	1	183																														
33	奈何心生+奈何心死	0	2	183	185																													
34	诛仙阵	3	1	529																														
35	抚琴式	0	1	196																														
36	运笔式	0	1	192																														
37	抚琴式+运笔式	0	2	192	196																													
38	抚琴式+运笔式+江行初雪	0	3	192	196	193																												
39	围困	1	1	11																														
40	封穴	1	2	13	122																													
41	昏睡	1	1	15																														
42	失明	1	1	17																														
43	定身	1	1	19																														
44	散功	1	1	21																														
45	僵硬	1	3	23	38	98																												
46	石化	1	1	12																														
47	麻痹	1	1	14																														
48	失明	1	1	16																														
49	恐惧	1	1	18																														
50	缠绕	1	1	20																														
51	就擒	1	1	22																														
52	破绽	1	10	24	25	26	27	28	29	30	31	112	113																					
53	虚弱	1	6	32	33	34	35	36	37																									
54	强化	1	21	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59										
55	增强	1	21	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80										
56	少林攻击技能	3	7	0	281	282	283	291	295	298																								
57	丐帮攻击技能	3	9	0	341	342	343	347	351	355	358	361																						
58	武当攻击技能	3	8	0	371	372	373	377	385	388	391																							
59	大理攻击技能	3	12	0	461	462	463	465	467	469	471	475	478	481	487																			
60	控制	1	12	11	12	13	14	15	16	17	18	19	20	21	22																			
61	隐身	0	5	99	176	177	180	214																										
62	峨嵋攻击技能	3	6	401	403	404	415	418	421																									
63	漕运免疫（隐身、骑乘）	1	2	99	251																													
64	漕运禁用技能(乘骑，隐身，回城)	3	5	21	22	248	496	497																										
65	引爆陷阱类型	6	1	2																														
66	乘骑	1	1	99																														
67	门派攻击技能1	3	30	281	283	291	295	298	311	313	321	325	328	341	343	351	355	358	371	373	381	385	388	401	403	411	415	418	431	433	441	445	448	
68	门派攻击技能2	3	28	461	463	471	475	478	491	493	501	505	508	521	523	531	535	538	347	377	404	437	450	507	361	391	421	451	481	511	541			
69	引导类技能	3	14	53	59	60	61	62	373	378	404	432	437	443	462	700	701																	
70	普通攻击和连续技	3	10	0	281	311	341	371	401	431	461	491	521																					
71	火烧赤壁	3	1	1002																														
72	封印	1	2	136	213																													
73	蛟龙乱舞	3	1	1004																														
74	蜃龙乱舞	3	1	1006																														
75	开箱免疫	1	15	96	99	131	150	176	177	180	214	276	334	372	373	374	375	158																
76	开膛	1	1	441																														
77	噬血	1	1	5																														
78	兽毒	1	1	6																														
79	失魂	1	1	16																														
80	中毒	1	2	2	129																													
81	灼烧	1	1	4																														
82	失血	1	1	1																														
83	治疗技能	3	4	245	407	423	424																											
84	影遁	3	1	248																														
85	剑舞内功	1	1	1019																														
86	剑舞外功	1	1	1020																														
87	圣火传递乌龟免疫	0	5	634	636	637	638	639																										
88	嘲讽之外的控制	1	14	11	13	14	15	17	18	19	20	21	22	23	136	269	382																	
89	减血气上限	1	1	32																														
90	嘲讽技能	3	3	287	304	305																												
91	剑舞(紫)	1	1	704																														
92	剑舞(红)	1	1	705																														
93	剑舞(白)	1	1	706																														
94	剑舞(黄)	1	1	707																														
95	剑舞(蓝)	1	1	708																														
96	剑舞(绿)	1	1	709																														
97	峨眉冲虚养气	3	1	407																														
98	峨眉冲虚养气+清心	3	2	407	424																													
99	变身集合	1	1	269																														
