INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	STRING
ID	Class_ID	互斥标记	是否同步(0/1)	最大叠加次数	发作时间间隔(ms)	持续时间(ms)	持续时间修正修正公式ID	原子操作ID(1)	参数1(1)	参数2(1)	修正公式ID(1)	原子操作ID(2)	参数1(2)	参数2(2)	修正公式ID(2)	原子操作ID(3)	参数1(3)	参数2(3)	修正公式ID(3)	原子操作ID(4)	参数1(4)	参数2(4)	修正公式ID(4)	原子操作ID(5)	参数1(5)	参数2(5)	修正公式ID(5)	原子操作ID(6)	参数1(6)	参数2(6)	修正公式ID(6)	原子操作ID(7)	参数1(7)	参数2(7)	修正公式ID(7)	原子操作ID(8)	参数1(8)	参数2(8)	修正公式ID(8)	触发特效ID	触发特效的绑定点	伤害特效ID	伤害特效的绑定点	图标ID	效果描述$1$
10	-1	-1	0	1	0	0	-1	0	18	30	1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	0	-1	金刚附魔圈的伤害
11	-1	-1	0	1	0	0	-1	13	0	10	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	金刚附魔圈的减怒
1	-1	-1	0	1	0	0	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	0	-1	普通攻击
20	-1	-1	0	1	0	0	-1	-1	-1	-1	-1	7	-1	15	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	8	-1	宁静之雨一次加血效果
30	-1	-1	0	1	0	0	-1	4	-1	-1	-1	0	18	30	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	0	-1	丹凤朝阳的伤害
40	-1	-1	0	1	0	900000	-1	-1	-1	-1	-1	1	7	20	1	1	10	20	1	1	13	20	1	1	16	20	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	8	-1	慈航谱渡加全抗性
50	-1	-1	0	1	0	0	-1	4	-1	-1	-1	0	18	50	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	0	-1	少泽箭的伤害
60	-1	1	0	1	0	0	-1	7	-1	300	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	增加HP300
70	-1	1	0	1	0	0	-1	8	-1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	增加MP100
71	-1	1	0	1	1000	10000	-1	8	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	持续增加MP200
80	-1	1	0	1	0	0	-1	7	-1	100	-1	8	-1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	增加HP100,MP100
81	-1	1	0	1	1000	10000	-1	7	-1	10	-1	8	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	持续增加HP100,MP100
90	-1	-1	0	1	0	300000	-1	1	29	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	增加命中100，持续时间5分钟
100	-1	-1	0	1	0	300000	-1	1	30	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	增加闪避100，持续时间5分钟
