INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	特效ID1	音效ID1	特效的绑定点1	特效ID2	音效ID2	特效的绑定点2	特效ID3	音效ID3	特效的绑定点3	特效ID4	音效ID4	特效的绑定点4	特效ID5	音效ID5	特效的绑定点5	预留1	预留2	效果说明
0	all_bj0000	Skills\Weapon\fist_hit_middle_2.wav	身体受击点	all_bj0000	Skills\Weapon\fist_hit_middle_2.wav	身体受击点	all_bj0000	Skills\Weapon\fist_hit_middle_2.wav	身体受击点	all_bj0000	Skills\Weapon\fist_hit_middle_2.wav	身体受击点	all_bj0000	Skills\Weapon\fist_hit_middle_2.wav	身体受击点			物理伤害
1	all_bj02		身体受击点	all_bj02		身体受击点	all_bj02		身体受击点	all_bj02		身体受击点	all_bj02		身体受击点			魔法伤害
2	all_bj04		身体受击点	all_bj04		身体受击点	all_bj04		身体受击点	all_bj04		身体受击点	all_bj04		身体受击点			冰伤害
3	all_bj06	Skills\Common\bullet_explode1.wav	身体受击点	all_bj06	Skills\Common\bullet_explode1.wav	身体受击点	all_bj06	Skills\Common\bullet_explode1.wav	身体受击点	all_bj06	Skills\Common\bullet_explode1.wav	身体受击点	all_bj06	Skills\Common\bullet_explode1.wav	身体受击点			火伤害
4	all_bj05	Skills\Common\lighting_1.wav	身体受击点	all_bj05	Skills\Common\lighting_1.wav	身体受击点	all_bj05	Skills\Common\lighting_1.wav	身体受击点	all_bj05	Skills\Common\lighting_1.wav	身体受击点	all_bj05	Skills\Common\lighting_1.wav	身体受击点			电伤害
5	all_bj01	Skills\Common\poison_4.wav	身体受击点	all_bj01	Skills\Common\poison_4.wav	身体受击点	all_bj01	Skills\Common\poison_4.wav	身体受击点	all_bj01	Skills\Common\poison_4.wav	身体受击点	all_bj01	Skills\Common\poison_4.wav	身体受击点			毒伤害
6	all_bj03		身体受击点	all_bj03		身体受击点	all_bj03		身体受击点	all_bj03		身体受击点	all_bj03		身体受击点			直接减HP
7	all_bj08		身体受击点	all_bj08		身体受击点	all_bj08		身体受击点	all_bj08		身体受击点	all_bj08		身体受击点			直接减MP
8	all_bj09		身体受击点	all_bj09		身体受击点	all_bj09		身体受击点	all_bj09		身体受击点	all_bj09		身体受击点			直接减SP
9	all_bj01		身体受击点	all_bj01		身体受击点	all_bj01		身体受击点	all_bj01		身体受击点	all_bj01		身体受击点			空
10	all_jiaxie	magic_restore.wav	身体受击点	all_jiaxie	magic_restore.wav	身体受击点	all_jiaxie	magic_restore.wav	身体受击点	all_jiaxie	magic_restore.wav	身体受击点	all_jiaxie	magic_restore.wav	身体受击点			加血
11	all_jiamo	magic_restore.wav	身体受击点	all_jiamo	magic_restore.wav	身体受击点	all_jiamo	magic_restore.wav	身体受击点	all_jiamo	magic_restore.wav	身体受击点	all_jiamo	magic_restore.wav	身体受击点			加魔
12	all_jianu	magic_restore.wav	身体受击点	all_jianu	magic_restore.wav	身体受击点	all_jianu	magic_restore.wav	身体受击点	all_jianu	magic_restore.wav	身体受击点	all_jianu	magic_restore.wav	身体受击点			加怒
13	all_jiaqiang	magic_restore.wav	身体受击点	all_jiaqiang	magic_restore.wav	身体受击点	all_jiaqiang	magic_restore.wav	身体受击点	all_jiaqiang	magic_restore.wav	身体受击点	all_jiaqiang	magic_restore.wav	身体受击点			加强
14	all_jiechuzhuangtai	magic_restore.wav	身体受击点	all_jiechuzhuangtai	magic_restore.wav	身体受击点	all_jiechuzhuangtai	magic_restore.wav	身体受击点	all_jiechuzhuangtai	magic_restore.wav	身体受击点	all_jiechuzhuangtai	magic_restore.wav	身体受击点			解控
15	yanhuo02	yanhuo02.wav	前置特效点	yanhuo02	yanhuo02.wav	前置特效点	yanhuo02	yanhuo02.wav	前置特效点	yanhuo02	yanhuo02.wav	前置特效点	yanhuo02	yanhuo02.wav	前置特效点			烟花(2)
