INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING
ID	分类 ID（互斥用）	PRI优先级	图标文件名	触发特效ID	触发特效的音效ID	触发特效的绑定点	持续性特效ID	持续特效的音效ID	持续性特效的绑定点	死后是否保留	是否可以被技能驱散	是否是负面效果	是否可以被手动取消	是否为线性特效	线性特效的绑定点	效果说明$1$
1	1	0	Buff0_1				g01_buff2		身体受击点	0	1	1	0	0		撕裂：持续掉血
2	2	0	Buff0_2				npc_buff_19		身体受击点	0	1	1	0	0		中毒：持续掉血
3	3	0	Buff0_3				g01_buff32		身体受击点	0	1	1	0	0		诅咒：持续掉血
4	4	0	Buff0_4				g01_buff106		身体受击点	0	1	1	0	0		灼烧：持续掉血
5	5	0	Buff0_6				g01_buff46_01		身体受击点	0	1	1	0	0		噬血：持续掉血
6	6	0	Buff0_5				npc_buff_19		身体受击点	0	1	1	0	0		腐蚀：持续掉血
7	7	0	Buff0_5							0	0	1	0	1	身体受击点	泄气：持续减气
8	8	0	Buff0_6							0	0	1	0	1	身体受击点	安抚：持续减怒
9	9	0	Medicine2_5							0	0	0	1	0		回血：持续回血
10	10	0	Medicine2_6							0	0	0	1	0		回气：持续回气
11	11	0	Buff0_7		Skills\Common\rock_huge_1.wav		g01_buff12		脚下光圈点	0	1	1	0	0		围困：移动不能，操作不能，不可被攻击
12	12	0	Buff0_8							0	1	1	0	0		石化：移动不能，操作不能，不可被攻击
13	13	0	Buff0_9	all_bj0000		身体受击点	buff_fengxue_01		身体受击点	0	1	1	0	0		封穴：移动不能，操作不能，可被攻击，无法被打醒
14	14	0	Buff0_10				npc_buff_02		头顶状态点	0	1	1	0	0		麻痹：移动不能，操作不能，可被攻击，无法被打醒
15	15	0	Buff0_11				buff_hunmi_01		头顶状态点	0	1	1	0	0		昏睡：移动不能，操作不能，可被攻击，可被打醒
16	16	0	Buff0_12				g01_buff38		头顶状态点	0	1	1	0	0		失魂：移动不能，操作不能，可被攻击，可被打醒
17	17	0	Buff0_13				g01_em_buff38		头顶状态点	0	1	1	0	0		失明：随机移动，操作不能，可被攻击，无法被打醒
18	18	0	Buff0_14		Skills\Common\fear_1.wav		npc_buff_07		头顶状态点	0	1	1	0	0		恐惧：随机移动，操作不能，可被攻击，无法被打醒
19	19	0	Buff0_15		Skills\Sl\Sl_金刚伏魔圈_定身.wav		g01_buff27		脚下光圈点	0	1	1	0	0		定身：定身状态下可以攻击，但无法移动
20	20	0	Buff0_15				npc_buff_09		脚下光圈点	0	1	1	0	0		缠绕：无法移动
21	21	0	Buff0_16				buff_sangong_01		脚下光圈点	0	1	1	0	0		散功：无法使用任何门派技能
22	22	0	Buff0_16				g01_buff34		头顶状态点	0	1	1	0	0		就擒：无法使用任何门派技能
23	23	0	Buff1_1	g01_yanggetianjun		身体受击点	g01_buff100		脚下光圈点	0	1	1	0	0		僵硬：移动速度减慢
24	24	0	Buff1_2							0	1	1	0	0		破绽：降低攻击
25	25	0	Buff1_3							0	1	1	0	0		破绽：降低防御
26	26	0	Buff1_4							0	1	1	0	0		破绽：降低攻击和防御
27	27	0	Buff1_4							0	1	1	0	0		破绽：降低所有抗性
28	28	0	Buff1_4	g01_geanguanhuo		身体受击点				0	1	1	0	0		破绽：降低外功防御
29	29	0	Buff1_4							0	1	1	0	0		破绽：降低内功防御
30	30	0	Buff1_4							0	1	1	0	0		破绽：所受伤害放大
31	31	0	Buff1_4							0	1	1	0	0		破绽：减少发功持续时间
32	32	0	Buff1_5							0	1	1	0	0		虚弱：降低血、气上限
33	33	0	Buff1_5							0	1	1	0	0		虚弱：降低身法
34	34	0	Buff1_5							0	1	1	0	0		虚弱：降低力量、灵气
35	35	0	Buff1_5							0	1	1	0	0		虚弱：降低体力、定力
36	36	0	Buff1_5							0	1	1	0	0		虚弱：所受伤害放大
37	37	0	Buff1_5							0	1	1	0	0		虚弱：降低攻击
38	38	0	Buff1_6							0	1	1	0	0		僵硬：降低命中
39	39	0	Buff1_7							0	0	0	1	0		强化：外功攻击
40	40	0	Buff1_8							0	0	0	1	0		强化：内功攻击
41	41	0	Buff1_9							0	0	0	1	0		强化：外功防御
42	42	0	Buff1_10							0	0	0	1	0		强化：内功防御
43	43	0	Buff1_11							0	0	0	1	0		强化：攻击
44	44	0	Buff1_12							0	0	0	1	0		强化：防御
45	45	0	Buff1_13							0	0	0	1	0		强化：攻防
46	46	0	Buff1_14							0	0	0	1	0		强化：抗性
47	47	0	Buff1_15							0	0	0	1	0		强化：冰防御
48	48	0	Buff1_16							0	0	0	1	0		强化：火防御
49	49	0	Buff2_1							0	0	0	1	0		强化：毒防御
50	50	0	Buff2_2							0	0	0	1	0		强化：玄防御
51	51	0	Buff2_3	cw_jieli		头顶状态点				0	0	0	1	0		强化：力量
52	52	0	Buff2_4	cw_ningshen		头顶状态点				0	0	0	1	0		强化：灵气
53	53	0	Buff2_5	cw_qiangshen		头顶状态点				0	0	0	1	0		强化：体力
54	54	0	Buff2_6	cw_yihun		头顶状态点				0	0	0	1	0		强化：定力
55	55	0	Buff2_7	cw_jiasu		头顶状态点				0	0	0	1	0		强化：身法
56	56	0	Buff2_8							0	0	0	1	0		强化：命中
57	57	0	Buff2_9							0	0	0	1	0		强化：闪避
58	58	0	Buff2_10							0	0	0	1	0		强化：会心
