INT	INT	INT	INT	INT	INT	INT
资质点	物理攻击	物理防御	魔法攻击	魔法防御	闪避	命中
1	2	2	2	2	2	2
2	2	2	2	2	2	2
3	2	2	2	2	2	2
4	2	2	2	2	2	2
5	2	2	2	2	2	2
6	2	2	2	2	2	2
7	2	2	2	2	2	2
8	2	2	2	2	2	2
9	2	2	2	2	2	2
10	2	2	2	2	2	2
11	2	2	2	2	2	2
12	2	2	2	2	2	2
13	2	2	2	2	2	2
14	3	3	3	3	3	3
15	3	3	3	3	3	3
16	3	3	3	3	3	3
17	3	3	3	3	3	3
18	3	3	3	3	3	3
19	3	3	3	3	3	3
20	3	3	3	3	3	3
21	3	3	3	3	3	3
22	3	3	3	3	3	3
23	3	3	3	3	3	3
24	3	3	3	3	3	3
25	3	3	3	3	3	3
26	3	3	3	3	3	3
27	3	3	3	3	3	3
28	3	3	3	3	3	3
29	3	3	3	3	3	3
30	3	3	3	3	3	3
31	3	3	3	3	3	3
32	3	3	3	3	3	3
33	3	3	3	3	3	3
34	3	3	3	3	3	3
35	3	3	3	3	3	3
36	3	3	3	3	3	3
37	3	3	3	3	3	3
38	3	3	3	3	3	3
39	4	4	4	4	4	4
40	4	4	4	4	4	4
41	4	4	4	4	4	4
42	4	4	4	4	4	4
43	4	4	4	4	4	4
44	4	4	4	4	4	4
45	4	4	4	4	4	4
46	4	4	4	4	4	4
47	4	4	4	4	4	4
48	4	4	4	4	4	4
49	4	4	4	4	4	4
50	4	4	4	4	4	4
51	4	4	4	4	4	4
52	4	4	4	4	4	4
53	4	4	4	4	4	4
54	4	4	4	4	4	4
55	4	4	4	4	4	4
56	4	4	4	4	4	4
57	4	4	4	4	4	4
58	4	4	4	4	4	4
59	4	4	4	4	4	4
60	4	4	4	4	4	4
61	4	4	4	4	4	4
62	4	4	4	4	4	4
63	5	5	5	5	5	5
64	6	6	6	6	6	6
65	6	6	6	6	6	6
66	6	6	6	6	6	6
67	6	6	6	6	6	6
68	6	6	6	6	6	6
69	6	6	6	6	6	6
70	6	6	6	6	6	6
71	6	6	6	6	6	6
72	6	6	6	6	6	6
73	6	6	6	6	6	6
74	6	6	6	6	6	6
75	6	6	6	6	6	6
76	6	6	6	6	6	6
77	6	6	6	6	6	6
78	6	6	6	6	6	6
79	6	6	6	6	6	6
80	7	7	7	7	7	7
81	7	7	7	7	7	7
82	7	7	7	7	7	7
83	7	7	7	7	7	7
84	7	7	7	7	7	7
85	7	7	7	7	7	7
86	7	7	7	7	7	7
87	7	7	7	7	7	7
88	7	7	7	7	7	7
89	7	7	7	7	7	7
90	7	7	7	7	7	7
91	7	7	7	7	7	7
92	7	7	7	7	7	7
93	7	7	7	7	7	7
94	7	7	7	7	7	7
95	8	8	8	8	8	8
96	8	8	8	8	8	8
97	8	8	8	8	8	8
98	8	8	8	8	8	8
99	8	8	8	8	8	8
100	8	8	8	8	8	8
101	8	8	8	8	8	8
102	8	8	8	8	8	8
103	8	8	8	8	8	8
104	8	8	8	8	8	8
105	8	8	8	8	8	8
106	8	8	8	8	8	8
107	8	8	8	8	8	8
108	8	8	8	8	8	8
109	8	8	8	8	8	8
110	9	9	9	9	9	9
111	9	9	9	9	9	9
112	9	9	9	9	9	9
113	9	9	9	9	9	9
114	9	9	9	9	9	9
115	9	9	9	9	9	9
116	9	9	9	9	9	9
117	9	9	9	9	9	9
118	9	9	9	9	9	9
119	9	9	9	9	9	9
120	9	9	9	9	9	9
121	9	9	9	9	9	9
122	9	9	9	9	9	9
123	9	9	9	9	9	9
124	9	9	9	9	9	9
125	10	10	10	10	10	10
126	10	10	10	10	10	10
127	10	10	10	10	10	10
128	10	10	10	10	10	10
129	10	10	10	10	10	10
130	10	10	10	10	10	10
131	10	10	10	10	10	10
132	10	10	10	10	10	10
133	11	11	11	11	11	11
134	11	11	11	11	11	11
135	11	11	11	11	11	11
136	11	11	11	11	11	11
137	11	11	11	11	11	11
138	11	11	11	11	11	11
139	11	11	11	11	11	11
140	11	11	11	11	11	11
141	11	11	11	11	11	11
142	11	11	11	11	11	11
143	11	11	11	11	11	11
144	11	11	11	11	11	11
145	11	11	11	11	11	11
146	11	11	11	11	11	11
147	12	12	12	12	12	12
148	12	12	12	12	12	12
149	12	12	12	12	12	12
150	12	12	12	12	12	12
151	12	12	12	12	12	12
152	12	12	12	12	12	12
153	12	12	12	12	12	12
154	12	12	12	12	12	12
155	12	12	12	12	12	12
156	12	12	12	12	12	12
157	12	12	12	12	12	12
158	12	12	12	12	12	12
159	12	12	12	12	12	12
160	12	12	12	12	12	12
161	13	13	13	13	13	13
162	13	13	13	13	13	13
163	13	13	13	13	13	13
164	13	13	13	13	13	13
165	13	13	13	13	13	13
166	13	13	13	13	13	13
167	13	13	13	13	13	13
168	13	13	13	13	13	13
169	13	13	13	13	13	13
170	13	13	13	13	13	13
171	13	13	13	13	13	13
172	13	13	13	13	13	13
173	13	13	13	13	13	13
174	13	13	13	13	13	13
175	14	14	14	14	14	14
176	14	14	14	14	14	14
177	14	14	14	14	14	14
178	14	14	14	14	14	14
179	14	14	14	14	14	14
180	14	14	14	14	14	14
181	14	14	14	14	14	14
182	14	14	14	14	14	14
183	14	14	14	14	14	14
184	14	14	14	14	14	14
185	14	14	14	14	14	14
186	14	14	14	14	14	14
187	14	14	14	14	14	14
188	15	15	15	15	15	15
189	16	16	16	16	16	16
190	16	16	16	16	16	16
191	16	16	16	16	16	16
192	16	16	16	16	16	16
193	16	16	16	16	16	16
194	16	16	16	16	16	16
195	16	16	16	16	16	16
196	16	16	16	16	16	16
197	16	16	16	16	16	16
198	16	16	16	16	16	16
199	16	16	16	16	16	16
200	16	16	16	16	16	16
201	16	16	16	16	16	16
202	16	16	16	16	16	16
203	16	16	16	16	16	16
204	16	16	16	16	16	16
205	16	16	16	16	16	16
206	17	17	17	17	17	17
207	17	17	17	17	17	17
208	17	17	17	17	17	17
209	17	17	17	17	17	17
210	17	17	17	17	17	17
211	17	17	17	17	17	17
212	17	17	17	17	17	17
213	17	17	17	17	17	17
214	17	17	17	17	17	17
215	17	17	17	17	17	17
216	17	17	17	17	17	17
217	17	17	17	17	17	17
