INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT
index	名称$1$	ResultID	ResultNum	对应技能ID	技能等级需求（此列最低填1）	Stuff1ID	Stuff1num	Stuff2ID	Stuff2num	Stuff3ID	Stuff3num	Stuff4ID	Stuff4num	Stuff5ID	Stuff5num	活力需求	精力需求	门派贡献度需求	属性需求2数量	冷却时间(毫秒)	需求工具ID	冷却组ID	熟练度需求	增加熟练度	功能分组	操作时间	脚本ID	失败时产品编号	随机配方的详细描述$1$	品质规则	特殊材料的物品子类（From CommonItem.txt），若填写则必须
0	馒头配方	30101001	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	0	0	16	3000	-1	30101001	我填了	-1	-1
1	三亭砍山刀图样	10200011	1	4	1	20103001	25	20103061	10	20103097	12	20308001	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	1	3000	-1	-1	我填了	7	-1
2	柳叶泼风刀图样	10200012	1	4	2	20103002	30	20103062	15	20103097	15	20308002	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	1	3000	-1	-1	我填了	7	-1
3	月牙开山斧图样	10200013	1	4	3	20103003	35	20103063	20	20103097	21	20308003	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	1	3000	-1	-1	我填了	7	-1
4	宝光车轮斧图样	10200014	1	4	4	20103004	40	20103064	25	20103098	24	20308004	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	1	3000	-1	-1	我填了	7	-1
5	五行日月铲图样	10200015	1	4	5	20103005	45	20103065	30	20103098	27	20308005	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	1	3000	-1	-1	我填了	7	-1
6	金顶枣阳槊图样	10200016	1	4	6	20103006	50	20103066	35	20103098	33	20308006	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	1	3000	-1	-1	我填了	7	-1
7	朱雀劈天斧图样	10200017	1	4	7	20103007	55	20103067	40	20103099	48	20308007	1	-1	-1	80	-1	-1	-1	-1	-1	-1	0	1	1	3000	-1	-1	我填了	7	-1
8	黍离图样	10200018	1	4	8	20103008	60	20103068	45	20103099	52	20308008	1	-1	-1	90	-1	-1	-1	-1	-1	-1	0	1	1	3000	-1	-1	我填了	7	-1
9	祸福图样	10200019	1	4	9	20103009	65	20103069	50	20103099	60	20308009	1	-1	-1	100	-1	-1	-1	-1	-1	-1	0	1	1	3000	-1	-1	我填了	7	-1
10	百战图样	10200020	1	4	10	20103010	70	20103070	55	20103099	64	20308010	1	-1	-1	110	-1	-1	-1	-1	-1	-1	0	1	1	3000	-1	-1	我填了	7	-1
11	三股奔雷叉图样	10201011	1	4	1	20103001	25	20103061	10	20103097	12	20308011	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	我填了	7	-1
12	精钢猎虎叉图样	10201012	1	4	2	20103002	30	20103062	15	20103097	15	20308012	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	我填了	7	-1
13	青玉腾龙枪图样	10201013	1	4	3	20103003	35	20103063	20	20103097	21	20308013	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	我填了	7	-1
