INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
index	丢弃	重叠	快捷	出售	交易	使用	拾取绑定	装备绑定	是否唯一	是否需要鉴定	是否虚拟道具	是否可以存入银行	快捷栏是否叠加显示
1	1	0	0	1	1	1	0	0	0	0	0	1	0
2	1	0	0	1	1	1	0	1	0	0	0	1	0
3	1	0	0	1	0	1	1	0	0	0	0	1	0
4	1	1	0	1	1	0	0	0	0	0	0	1	0
5	1	1	1	1	1	1	0	0	0	0	0	1	0
6	1	1	0	1	1	1	0	0	0	0	0	1	0
7	0	1	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	1	0	0	1	0	0	0	0
9	1	0	1	1	1	1	0	0	0	0	0	1	0
10	1	1	1	1	0	1	1	0	0	0	0	1	0
11	1	0	0	1	0	1	1	0	1	0	0	1	0
12	1	0	1	0	0	1	1	0	0	0	0	1	0
13	1	0	0	0	0	1	0	0	1	0	0	1	0
14	1	0	0	1	0	0	0	0	0	0	0	0	0
15	0	0	0	0	0	0	0	0	0	0	0	1	0
16	1	0	0	0	1	1	0	0	0	0	0	1	0
17	0	0	0	0	1	1	0	0	0	0	0	1	0
18	1	1	1	1	1	0	0	0	0	0	0	1	0
19	1	1	1	1	0	1	1	0	0	0	0	1	0
20	1	0	0	1	0	0	1	0	1	0	0	1	0
21	1	0	0	1	1	1	0	0	0	1	0	1	0
22	1	0	0	1	1	1	0	1	0	1	0	1	0
23	1	0	0	1	0	1	1	0	0	1	0	1	0
24	0	0	0	0	0	1	1	0	1	0	0	1	0
25	1	0	0	1	0	0	1	0	0	0	0	1	0
26	1	0	1	1	0	1	1	0	1	0	0	1	0
27	1	0	0	0	1	1	0	1	0	0	0	1	0
28	1	0	0	0	0	1	1	0	0	0	0	1	0
29	1	0	1	0	1	1	0	0	0	0	0	1	1
30	1	1	0	1	0	0	1	0	0	0	0	1	0
31	1	0	0	1	1	0	0	0	0	0	0	1	0
32	1	1	1	1	1	1	1	0	0	0	0	1	0
33	1	1	0	1	1	1	1	0	0	0	0	1	0
34	1	0	0	0	1	1	1	0	0	0	0	1	0
35	1	0	1	0	1	1	1	0	0	0	0	1	1
36	1	0	0	1	0	0	0	0	0	0	0	1	0
