INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
Index	增加HP的上限	百分比增加HP的上限	加快HP的回复速度	增加MP的上限	百分比增加MP的上限	加快MP的回复速度	冰攻击	冰抵抗	减少冰冻迟缓时间	火攻击	火抵抗	减少火烧持续时间	玄攻击	玄抵抗	减少电击眩晕时间	毒攻击	毒抵抗	减少中毒时间	按百分比抵消所有属性攻击	物理攻击	按百分比增加物理攻击	对装备基础物理攻击百分比加成	物理防御	按百分比增加物理防御	对装备基础物理防御百分比加成	按百分比抵消物理伤害	魔法攻击	按百分比增加魔法攻击	对装备基础魔法攻击百分比加成	魔法防御	按百分比增加魔法防御	对装备基础魔法防御百分比加成	按百分比抵消魔法伤害	攻击速度(两次攻击间隔时间)	魔法冷却速度	命中	闪避	会心一击（双倍攻击）的百分比	无视对方防御比率	移动速度百分比	伤害反射	伤害由内力抵消	力量	灵气	体质	定力	身法	会心防御	增加所有的人物一级属性	生命偷取	内力偷取	增加某个技能等级	增加所有技能等级	特殊技能发动概率	降低目标冰抵抗	降低目标火抵抗	降低目标玄抵抗	降低目标毒抵抗	保留1	保留2	保留3	保留4	保留5	保留6
1	591	50	-1	313	50	-1	3	1	-1	3	1	-1	3	1	-1	3	1	-1	1	52	50	50	47	50	50	1	52	50	50	47	50	50	1	-1	-1	42	14	2	-1	-1	-1	-1	7	7	6	6	3	2	1	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1
2	711	50	-1	375	50	-1	3	1	-1	3	1	-1	3	1	-1	3	1	-1	1	62	50	50	57	50	50	1	62	50	50	57	50	50	1	-1	-1	54	18	2	-1	-1	-1	-1	8	8	7	7	4	2	2	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1
3	832	50	-1	437	50	-1	3	1	-1	3	1	-1	3	1	-1	3	1	-1	1	73	50	50	68	50	50	1	73	50	50	68	50	50	1	-1	-1	66	22	2	-1	-1	-1	-1	9	9	8	8	4	2	2	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1
4	952	50	-1	499	50	-1	3	1	-1	3	1	-1	3	1	-1	3	1	-1	1	84	50	50	79	50	50	1	84	50	50	79	50	50	1	-1	-1	78	26	2	-1	-1	-1	-1	10	10	9	9	5	2	2	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1
5	1073	50	-1	561	50	-1	4	1	-1	4	1	-1	4	1	-1	4	1	-1	1	94	50	50	89	50	50	1	94	50	50	89	50	50	1	-1	-1	90	30	2	-1	-1	-1	-1	11	11	10	10	5	2	2	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1
6	1193	50	-1	623	50	-1	4	1	-1	4	1	-1	4	1	-1	4	1	-1	1	105	50	50	100	50	50	1	105	50	50	100	50	50	1	-1	-1	102	34	2	-1	-1	-1	-1	12	12	11	11	6	2	2	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1
7	1314	50	-1	685	50	-1	4	1	-1	4	1	-1	4	1	-1	4	1	-1	1	116	50	50	111	50	50	1	116	50	50	111	50	50	1	-1	-1	114	38	2	-1	-1	-1	-1	13	13	12	12	7	2	3	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1
8	1434	50	-1	747	50	-1	4	2	-1	4	2	-1	4	2	-1	4	2	-1	1	126	50	50	121	50	50	2	126	50	50	121	50	50	2	-1	-1	126	42	2	-1	-1	-1	-1	14	14	13	13	7	2	3	-1	-1	-1	-1	-1	2	2	2	2	-1	-1	-1	-1	-1	-1
9	1555	50	-1	809	50	-1	4	2	-1	4	2	-1	4	2	-1	4	2	-1	1	137	50	50	132	50	50	2	137	50	50	132	50	50	2	-1	-1	138	46	2	-1	-1	-1	-1	15	15	14	14	8	2	3	-1	-1	-1	-1	-1	2	2	2	2	-1	-1	-1	-1	-1	-1
10	1675	50	-1	870	50	-1	5	2	-1	5	2	-1	5	2	-1	5	2	-1	2	148	50	50	142	50	50	2	148	50	50	142	50	50	2	-1	-1	150	50	2	-1	-1	-1	-1	16	16	15	15	8	2	3	-1	-1	-1	-1	-1	2	2	2	2	-1	-1	-1	-1	-1	-1
11	1796	50	-1	932	50	-1	5	2	-1	5	2	-1	5	2	-1	5	2	-1	2	158	50	50	153	50	50	2	158	50	50	153	50	50	2	-1	-1	162	54	2	-1	-1	-1	-1	18	18	17	17	9	2	3	-1	-1	-1	-1	-1	2	2	2	2	-1	-1	-1	-1	-1	-1
12	1916	50	-1	994	50	-1	5	2	-1	5	2	-1	5	2	-1	5	2	-1	2	169	50	50	164	50	50	2	169	50	50	164	50	50	2	-1	-1	174	58	3	-1	-1	-1	-1	19	19	18	18	10	3	4	-1	-1	-1	-1	-1	2	2	2	2	-1	-1	-1	-1	-1	-1
13	2037	50	-1	1056	50	-1	5	2	-1	5	2	-1	5	2	-1	5	2	-1	2	179	50	50	174	50	50	2	179	50	50	174	50	50	2	-1	-1	186	62	3	-1	-1	-1	-1	20	20	19	19	10	3	4	-1	-1	-1	-1	-1	2	2	2	2	-1	-1	-1	-1	-1	-1
14	2157	50	-1	1118	50	-1	5	2	-1	5	2	-1	5	2	-1	5	2	-1	2	190	50	50	185	50	50	2	190	50	50	185	50	50	2	-1	-1	198	66	3	-1	-1	-1	-1	21	21	20	20	11	3	4	-1	-1	-1	-1	-1	2	2	2	2	-1	-1	-1	-1	-1	-1
15	2278	50	-1	1180	50	-1	6	2	-1	6	2	-1	6	2	-1	6	2	-1	2	201	50	50	196	50	50	2	201	50	50	196	50	50	2	-1	-1	210	70	3	-1	-1	-1	-1	22	22	21	21	11	3	4	-1	-1	-1	-1	-1	2	2	2	2	-1	-1	-1	-1	-1	-1
16	2398	50	-1	1242	50	-1	6	2	-1	6	2	-1	6	2	-1	6	2	-1	2	211	50	50	206	50	50	2	211	50	50	206	50	50	2	-1	-1	222	74	3	-1	-1	-1	-1	23	23	22	22	12	3	4	-1	-1	-1	-1	-1	2	2	2	2	-1	-1	-1	-1	-1	-1
17	2519	50	-1	1304	50	-1	6	3	-1	6	3	-1	6	3	-1	6	3	-1	2	222	50	50	217	50	50	3	222	50	50	217	50	50	3	-1	-1	234	78	3	-1	-1	-1	-1	24	24	23	23	13	3	5	-1	-1	-1	-1	-1	3	3	3	3	-1	-1	-1	-1	-1	-1
18	2639	50	-1	1366	50	-1	6	3	-1	6	3	-1	6	3	-1	6	3	-1	2	233	50	50	228	50	50	3	233	50	50	228	50	50	3	-1	-1	246	82	3	-1	-1	-1	-1	25	25	24	24	13	3	5	-1	-1	-1	-1	-1	3	3	3	3	-1	-1	-1	-1	-1	-1
19	2760	50	-1	1428	50	-1	7	3	-1	7	3	-1	7	3	-1	7	3	-1	2	243	50	50	238	50	50	3	243	50	50	238	50	50	3	-1	-1	258	86	3	-1	-1	-1	-1	26	26	25	25	14	3	5	-1	-1	-1	-1	-1	3	3	3	3	-1	-1	-1	-1	-1	-1
20	2880	50	-1	1489	50	-1	7	3	-1	7	3	-1	7	3	-1	7	3	-1	2	254	50	50	249	50	50	3	254	50	50	249	50	50	3	-1	-1	270	90	3	-1	-1	-1	-1	27	27	26	26	14	3	5	-1	-1	-1	-1	-1	3	3	3	3	-1	-1	-1	-1	-1	-1
21	3001	50	-1	1551	50	-1	7	3	-1	7	3	-1	7	3	-1	7	3	-1	2	265	50	50	260	50	50	3	265	50	50	260	50	50	3	-1	-1	282	94	3	-1	-1	-1	-1	29	29	28	28	15	3	5	-1	-1	-1	-1	-1	3	3	3	3	-1	-1	-1	-1	-1	-1
22	3121	50	-1	1613	50	-1	7	3	-1	7	3	-1	7	3	-1	7	3	-1	2	275	50	50	270	50	50	3	275	50	50	270	50	50	3	-1	-1	294	98	3	-1	-1	-1	-1	30	30	29	29	16	3	6	-1	-1	-1	-1	-1	3	3	3	3	-1	-1	-1	-1	-1	-1
23	3242	50	-1	1675	50	-1	7	3	-1	7	3	-1	7	3	-1	7	3	-1	2	286	50	50	281	50	50	3	286	50	50	281	50	50	3	-1	-1	306	102	3	-1	-1	-1	-1	31	31	30	30	16	3	6	-1	-1	-1	-1	-1	3	3	3	3	-1	-1	-1	-1	-1	-1
24	3362	50	-1	1737	50	-1	8	3	-1	8	3	-1	8	3	-1	8	3	-1	2	297	50	50	292	50	50	3	297	50	50	292	50	50	3	-1	-1	318	106	4	-1	-1	-1	-1	32	32	31	31	17	4	6	-1	-1	-1	-1	-1	3	3	3	3	-1	-1	-1	-1	-1	-1
25	3483	50	-1	1799	50	-1	8	3	-1	8	3	-1	8	3	-1	8	3	-1	2	307	50	50	302	50	50	3	307	50	50	302	50	50	3	-1	-1	330	110	4	-1	-1	-1	-1	33	33	32	32	17	4	6	-1	-1	-1	-1	-1	3	3	3	3	-1	-1	-1	-1	-1	-1
26	3603	50	-1	1861	50	-1	8	4	-1	8	4	-1	8	4	-1	8	4	-1	2	318	50	50	313	50	50	4	318	50	50	313	50	50	4	-1	-1	342	114	4	-1	-1	-1	-1	34	34	33	33	18	4	6	-1	-1	-1	-1	-1	4	4	4	4	-1	-1	-1	-1	-1	-1
27	3724	50	-1	1923	50	-1	8	4	-1	8	4	-1	8	4	-1	8	4	-1	2	329	50	50	323	50	50	4	329	50	50	323	50	50	4	-1	-1	354	118	4	-1	-1	-1	-1	35	35	34	34	19	4	7	-1	-1	-1	-1	-1	4	4	4	4	-1	-1	-1	-1	-1	-1
28	3844	50	-1	1985	50	-1	8	4	-1	8	4	-1	8	4	-1	8	4	-1	2	339	50	50	334	50	50	4	339	50	50	334	50	50	4	-1	-1	366	122	4	-1	-1	-1	-1	36	36	35	35	19	4	7	-1	-1	-1	-1	-1	4	4	4	4	-1	-1	-1	-1	-1	-1
29	3965	50	-1	2047	50	-1	9	4	-1	9	4	-1	9	4	-1	9	4	-1	3	350	50	50	345	50	50	4	350	50	50	345	50	50	4	-1	-1	378	126	4	-1	-1	-1	-1	37	37	36	36	20	4	7	-1	-1	-1	-1	-1	4	4	4	4	-1	-1	-1	-1	-1	-1
30	4085	50	-1	2108	50	-1	9	4	-1	9	4	-1	9	4	-1	9	4	-1	3	360	50	50	355	50	50	4	360	50	50	355	50	50	4	-1	-1	390	130	4	-1	-1	-1	-1	38	38	37	37	20	4	7	-1	-1	-1	-1	-1	4	4	4	4	-1	-1	-1	-1	-1	-1
31	4206	50	-1	2170	50	-1	9	4	-1	9	4	-1	9	4	-1	9	4	-1	3	371	50	50	366	50	50	4	371	50	50	366	50	50	4	-1	-1	402	134	4	-1	-1	-1	-1	40	40	39	39	21	4	7	-1	-1	-1	-1	-1	4	4	4	4	-1	-1	-1	-1	-1	-1
32	4326	50	-1	2232	50	-1	9	4	-1	9	4	-1	9	4	-1	9	4	-1	3	382	50	50	377	50	50	4	382	50	50	377	50	50	4	-1	-1	414	138	4	-1	-1	-1	-1	41	41	40	40	22	4	8	-1	-1	-1	-1	-1	4	4	4	4	-1	-1	-1	-1	-1	-1
33	4447	50	-1	2294	50	-1	9	4	-1	9	4	-1	9	4	-1	9	4	-1	3	392	50	50	387	50	50	4	392	50	50	387	50	50	4	-1	-1	426	142	4	-1	-1	-1	-1	42	42	41	41	22	4	8	-1	-1	-1	-1	-1	4	4	4	4	-1	-1	-1	-1	-1	-1
34	4567	50	-1	2356	50	-1	10	4	-1	10	4	-1	10	4	-1	10	4	-1	3	403	50	50	398	50	50	4	403	50	50	398	50	50	4	-1	-1	438	146	4	-1	-1	-1	-1	43	43	42	42	23	4	8	-1	-1	-1	-1	-1	4	4	4	4	-1	-1	-1	-1	-1	-1
35	4688	50	-1	2418	50	-1	10	5	-1	10	5	-1	10	5	-1	10	5	-1	3	414	50	50	409	50	50	5	414	50	50	409	50	50	5	-1	-1	450	150	4	-1	-1	-1	-1	44	44	43	43	23	4	8	-1	-1	-1	-1	-1	5	5	5	5	-1	-1	-1	-1	-1	-1
36	4808	50	-1	2480	50	-1	10	5	-1	10	5	-1	10	5	-1	10	5	-1	3	424	50	50	419	50	50	5	424	50	50	419	50	50	5	-1	-1	462	154	4	-1	-1	-1	-1	45	45	44	44	24	4	8	-1	-1	-1	-1	-1	5	5	5	5	-1	-1	-1	-1	-1	-1
37	4929	50	-1	2542	50	-1	10	5	-1	10	5	-1	10	5	-1	10	5	-1	3	435	50	50	430	50	50	5	435	50	50	430	50	50	5	-1	-1	474	158	5	-1	-1	-1	-1	46	46	45	45	25	5	9	-1	-1	-1	-1	-1	5	5	5	5	-1	-1	-1	-1	-1	-1
38	5049	50	-1	2604	50	-1	10	5	-1	10	5	-1	10	5	-1	10	5	-1	3	446	50	50	441	50	50	5	446	50	50	441	50	50	5	-1	-1	486	162	5	-1	-1	-1	-1	47	47	46	46	25	5	9	-1	-1	-1	-1	-1	5	5	5	5	-1	-1	-1	-1	-1	-1
39	5170	50	-1	2666	50	-1	11	5	-1	11	5	-1	11	5	-1	11	5	-1	3	456	50	50	451	50	50	5	456	50	50	451	50	50	5	-1	-1	498	166	5	-1	-1	-1	-1	48	48	47	47	26	5	9	-1	-1	-1	-1	-1	5	5	5	5	-1	-1	-1	-1	-1	-1
40	5290	50	-1	2727	50	-1	11	5	-1	11	5	-1	11	5	-1	11	5	-1	3	467	50	50	462	50	50	5	467	50	50	462	50	50	5	-1	-1	510	170	5	-1	-1	-1	-1	49	49	48	48	26	5	9	-1	-1	-1	-1	-1	5	5	5	5	-1	-1	-1	-1	-1	-1
41	5411	50	-1	2789	50	-1	11	5	-1	11	5	-1	11	5	-1	11	5	-1	3	478	50	50	473	50	50	5	478	50	50	473	50	50	5	-1	-1	522	174	5	-1	-1	-1	-1	51	51	50	50	27	5	9	-1	-1	-1	-1	-1	5	5	5	5	-1	-1	-1	-1	-1	-1
42	5531	50	-1	2851	50	-1	11	5	-1	11	5	-1	11	5	-1	11	5	-1	3	488	50	50	483	50	50	5	488	50	50	483	50	50	5	-1	-1	534	178	5	-1	-1	-1	-1	52	52	51	51	28	5	10	-1	-1	-1	-1	-1	5	5	5	5	-1	-1	-1	-1	-1	-1
43	5652	50	-1	2913	50	-1	11	5	-1	11	5	-1	11	5	-1	11	5	-1	3	499	50	50	494	50	50	5	499	50	50	494	50	50	5	-1	-1	546	182	5	-1	-1	-1	-1	53	53	52	52	28	5	10	-1	-1	-1	-1	-1	5	5	5	5	-1	-1	-1	-1	-1	-1
44	5772	50	-1	2975	50	-1	12	6	-1	12	6	-1	12	6	-1	12	6	-1	3	510	50	50	504	50	50	6	510	50	50	504	50	50	6	-1	-1	558	186	5	-1	-1	-1	-1	54	54	53	53	29	5	10	-1	-1	-1	-1	-1	6	6	6	6	-1	-1	-1	-1	-1	-1
45	5893	50	-1	3037	50	-1	12	6	-1	12	6	-1	12	6	-1	12	6	-1	3	520	50	50	515	50	50	6	520	50	50	515	50	50	6	-1	-1	570	190	5	-1	-1	-1	-1	55	55	54	54	29	5	10	-1	-1	-1	-1	-1	6	6	6	6	-1	-1	-1	-1	-1	-1
46	6013	50	-1	3099	50	-1	12	6	-1	12	6	-1	12	6	-1	12	6	-1	3	531	50	50	526	50	50	6	531	50	50	526	50	50	6	-1	-1	582	194	5	-1	-1	-1	-1	56	56	55	55	30	5	10	-1	-1	-1	-1	-1	6	6	6	6	-1	-1	-1	-1	-1	-1
47	6134	50	-1	3161	50	-1	12	6	-1	12	6	-1	12	6	-1	12	6	-1	3	541	50	50	536	50	50	6	541	50	50	536	50	50	6	-1	-1	594	198	5	-1	-1	-1	-1	57	57	56	56	31	5	11	-1	-1	-1	-1	-1	6	6	6	6	-1	-1	-1	-1	-1	-1
48	6254	50	-1	3223	50	-1	12	6	-1	12	6	-1	12	6	-1	12	6	-1	3	552	50	50	547	50	50	6	552	50	50	547	50	50	6	-1	-1	606	202	5	-1	-1	-1	-1	58	58	57	57	31	5	11	-1	-1	-1	-1	-1	6	6	6	6	-1	-1	-1	-1	-1	-1
49	6375	50	-1	3285	50	-1	13	6	-1	13	6	-1	13	6	-1	13	6	-1	4	563	50	50	558	50	50	6	563	50	50	558	50	50	6	-1	-1	618	206	6	-1	-1	-1	-1	59	59	58	58	32	6	11	-1	-1	-1	-1	-1	6	6	6	6	-1	-1	-1	-1	-1	-1
50	6495	50	-1	3346	50	-1	13	6	-1	13	6	-1	13	6	-1	13	6	-1	4	573	50	50	568	50	50	6	573	50	50	568	50	50	6	-1	-1	630	210	6	-1	-1	-1	-1	60	60	59	59	32	6	11	-1	-1	-1	-1	-1	6	6	6	6	-1	-1	-1	-1	-1	-1
51	6616	50	-1	3408	50	-1	13	6	-1	13	6	-1	13	6	-1	13	6	-1	4	584	50	50	579	50	50	6	584	50	50	579	50	50	6	-1	-1	642	214	6	-1	-1	-1	-1	62	62	61	61	33	6	11	-1	-1	-1	-1	-1	6	6	6	6	-1	-1	-1	-1	-1	-1
52	6736	50	-1	3470	50	-1	13	6	-1	13	6	-1	13	6	-1	13	6	-1	4	595	50	50	590	50	50	6	595	50	50	590	50	50	6	-1	-1	654	218	6	-1	-1	-1	-1	63	63	62	62	34	6	12	-1	-1	-1	-1	-1	6	6	6	6	-1	-1	-1	-1	-1	-1
53	6857	50	-1	3532	50	-1	13	7	-1	13	7	-1	13	7	-1	13	7	-1	4	605	50	50	600	50	50	7	605	50	50	600	50	50	7	-1	-1	666	222	6	-1	-1	-1	-1	64	64	63	63	34	6	12	-1	-1	-1	-1	-1	7	7	7	7	-1	-1	-1	-1	-1	-1
54	6977	50	-1	3594	50	-1	14	7	-1	14	7	-1	14	7	-1	14	7	-1	4	616	50	50	611	50	50	7	616	50	50	611	50	50	7	-1	-1	678	226	6	-1	-1	-1	-1	65	65	64	64	35	6	12	-1	-1	-1	-1	-1	7	7	7	7	-1	-1	-1	-1	-1	-1
55	7098	50	-1	3656	50	-1	14	7	-1	14	7	-1	14	7	-1	14	7	-1	4	627	50	50	622	50	50	7	627	50	50	622	50	50	7	-1	-1	690	230	6	-1	-1	-1	-1	66	66	65	65	35	6	12	-1	-1	-1	-1	-1	7	7	7	7	-1	-1	-1	-1	-1	-1
56	7218	50	-1	3718	50	-1	14	7	-1	14	7	-1	14	7	-1	14	7	-1	4	637	50	50	632	50	50	7	637	50	50	632	50	50	7	-1	-1	702	234	6	-1	-1	-1	-1	67	67	66	66	36	6	12	-1	-1	-1	-1	-1	7	7	7	7	-1	-1	-1	-1	-1	-1
