INT	FLOAT	FLOAT
ID	A>B时的修正	B>A时的修正
0	1	1
1	1	1
2	1	1
3	1	1
4	1	1
5	1	1
6	1	1
7	1	1
8	1	1
9	1	1
10	1	1
11	1	1
12	1	1
13	1	1
14	1	1
15	1	1
16	1	1
17	1	1
18	1	1
19	1	1
20	1	1
21	1	0.96
22	1	0.92
23	1	0.88
24	1	0.84
25	1	0.8
26	1	0.76
27	1	0.72
28	1	0.68
29	1	0.64
30	1	0.6
31	1	0.56
32	1	0.52
33	1	0.5
34	1	0.5
35	1	0.5
36	1	0.5
37	1	0.5
38	1	0.5
39	1	0.5
40	1	0.5
41	1	0.5
42	1	0.5
43	1	0.5
44	1	0.5
45	1	0.5
46	1	0.5
47	1	0.5
48	1	0.5
49	1	0.5
50	1	0.5
51	1	0.5
52	1	0.5
53	1	0.5
54	1	0.5
55	1	0.5
56	1	0.5
57	1	0.5
58	1	0.5
59	1	0.5
60	1	0.5
61	1	0.5
62	1	0.5
63	1	0.5
64	1	0.5
65	1	0.5
66	1	0.5
67	1	0.5
68	1	0.5
69	1	0.5
70	1	0.5
71	1	0.5
72	1	0.5
73	1	0.5
74	1	0.5
75	1	0.5
76	1	0.5
77	1	0.5
78	1	0.5
79	1	0.5
80	1	0.5
81	1	0.5
82	1	0.5
83	1	0.5
84	1	0.5
85	1	0.5
86	1	0.5
87	1	0.5
88	1	0.5
89	1	0.5
90	1	0.5
91	1	0.5
92	1	0.5
93	1	0.5
94	1	0.5
95	1	0.5
96	1	0.5
97	1	0.5
98	1	0.5
99	1	0.5
100	1	0.5
101	1	0.5
102	1	0.5
103	1	0.5
104	1	0.5
105	1	0.5
106	1	0.5
107	1	0.5
108	1	0.5
109	1	0.5
110	1	0.5
111	1	0.5
112	1	0.5
113	1	0.5
114	1	0.5
115	1	0.5
116	1	0.5
117	1	0.5
118	1	0.5
119	1	0.5
120	1	0.5
121	1	0.5
122	1	0.5
123	1	0.5
124	1	0.5
125	1	0.5
126	1	0.5
127	1	0.5
128	1	0.5
129	1	0.5
130	1	0.5
131	1	0.5
132	1	0.5
133	1	0.5
134	1	0.5
135	1	0.5
136	1	0.5
137	1	0.5
138	1	0.5
139	1	0.5
140	1	0.5
141	1	0.5
142	1	0.5
143	1	0.5
144	1	0.5
145	1	0.5
146	1	0.5
147	1	0.5
148	1	0.5
149	1	0.5
150	1	0.5
151	1	0.5
152	1	0.5
153	1	0.5
154	1	0.5
155	1	0.5
156	1	0.5
157	1	0.5
158	1	0.5
159	1	0.5
160	1	0.5
161	1	0.5
162	1	0.5
163	1	0.5
164	1	0.5
165	1	0.5
166	1	0.5
167	1	0.5
168	1	0.5
169	1	0.5
170	1	0.5
171	1	0.5
172	1	0.5
173	1	0.5
174	1	0.5
175	1	0.5
176	1	0.5
177	1	0.5
178	1	0.5
179	1	0.5
180	1	0.5
181	1	0.5
182	1	0.5
183	1	0.5
184	1	0.5
185	1	0.5
186	1	0.5
187	1	0.5
188	1	0.5
189	1	0.5
190	1	0.5
191	1	0.5
192	1	0.5
193	1	0.5
194	1	0.5
195	1	0.5
196	1	0.5
197	1	0.5
198	1	0.5
199	1	0.5
200	1	0.5
