INT	FLOAT
徒弟级别	贡献给师傅的经验比例
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0.8
11	0.8
12	0.8
13	0.8
14	0.8
15	0.8
16	0.8
17	0.8
18	0.8
19	0.8
20	0.6
21	0.6
22	0.6
23	0.6
24	0.6
25	0.6
26	0.6
27	0.6
28	0.6
29	0.6
30	0.4
31	0.4
32	0.4
33	0.4
34	0.4
35	0.4
36	0.4
37	0.4
38	0.4
39	0.4
40	0.24
41	0.24
42	0.24
43	0.24
44	0.24
45	0.24
46	0.24
47	0.24
48	0.24
49	0.24
50	0.04
51	0.04
52	0.04
53	0.04
54	0.04
55	0.04
56	0.04
57	0.04
58	0.04
59	0.04
60	0.025
61	0.025
62	0.025
63	0.025
64	0.025
65	0.025
66	0.025
67	0.025
68	0.025
69	0.025
70	0.013
71	0.013
72	0.013
73	0.013
74	0.013
75	0.013
76	0.013
77	0.013
78	0.013
79	0.013
80	0.009
81	0.009
82	0.009
83	0.009
84	0.009
85	0.009
86	0.009
87	0.009
88	0.009
89	0.009
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
