INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
ItemID	1-°¢Öì-1	2-°¢Öì-2	3-°¢Öì-3	4-°¢Öì-4	5-°¢Öì-5	6-Ä¾ÍñÇå-1	7-Ä¾ÍñÇå-2	8-Ä¾ÍñÇå-3	9-Ä¾ÍñÇå-4	10-Ä¾ÍñÇå-5	11-ÖÓÁé-1	12-ÖÓÁé-2	13-ÖÓÁé-3	14-ÖÓÁé-4	15-ÖÓÁé-5	16-¶ÎÑÓÇì-1	17-¶ÎÑÓÇì-2	18-¶ÎÑÓÇì-3	19-¶ÎÑÓÇì-4	20-¶ÎÑÓÇì-5	21-¶ÎÓþ-1	22-¶ÎÓþ-2	23-¶ÎÓþ-3	24-¶ÎÓþ-4	25-¶ÎÓþ-5	26-°¢±Ì-1	27-°¢±Ì-2	28-°¢±Ì-3	29-°¢±Ì-4	30-°¢±Ì-5	31-ÍõÓïæÌ-1	32-ÍõÓïæÌ-2	33-ÍõÓïæÌ-3	34-ÍõÓïæÌ-4	35-ÍõÓïæÌ-5	36-Ïô·å-1	37-Ïô·å-2	38-Ïô·å-3	39-Ïô·å-4	40-Ïô·å-5	41-°¢×Ï-1	42-°¢×Ï-2	43-°¢×Ï-3	44-°¢×Ï-4	45-°¢×Ï-5	46-Ä½ÈÝ¸´-1	47-Ä½ÈÝ¸´-2	48-Ä½ÈÝ¸´-3	49-Ä½ÈÝ¸´-4	50-Ä½ÈÝ¸´-5	51-ÐéÖñ-1	52-ÐéÖñ-2	53-ÐéÖñ-3	54-ÐéÖñ-4	55-ÐéÖñ-5	56-ð¯Ä¦ÖÇ-1	57-ð¯Ä¦ÖÇ-2	58-ð¯Ä¦ÖÇ-3	59-ð¯Ä¦ÖÇ-4	60-ð¯Ä¦ÖÇ-5	61-Òø´¨¹«Ö÷-1	62-Òø´¨¹«Ö÷-2	63-Òø´¨¹«Ö÷-3	64-Òø´¨¹«Ö÷-4	65-Òø´¨¹«Ö÷-5
10200001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10200002	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10200003	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10200004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10200005	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10200006	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10200007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10200008	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10200009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
