INT	STRING	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
编号	NPC名称$1$	场景名称$1$	场景ID	坐标X	坐标Z	NPC描述$1$	性别	等级	NPC类型	师门第1阶段	师门第2阶段	师门第3阶段	师门第4阶段	师门第5阶段	新手找人赚钱	任务链找人问候	帮派科技任务送新铸造的武器1（20~39）	帮派科技任务送新铸造的武器2(40~59三大城市武器商，技能传授人，适配于玩家等级场景的军职武职NPC)	帮派科技任务送新铸造的武器3(60~79三大城市武器商，技能传授人，适配于玩家等级场景的军职武职NPC)	帮派科技任务送新铸造的武器3(79~100三大城市武器商，技能传授人，适配于玩家等级场景的军职武职NPC)	任务链恶人副本	帮派发展任务送新鲜的种植物1（30~44三大城市酒馆，适配于玩家等级场景的合适的相关NPC）	帮派发展任务送新鲜的种植物2（45~59三大城市酒馆，技能传授人，适配于玩家等级场景的合适的相关NPC）	帮派发展任务送新鲜的种植物3（60~74三大城市酒馆，技能传授人，适配于玩家等级场景的合适的相关NPC）	帮派发展任务送新鲜的种植物4（75~100三大城市酒馆，技能传授人，适配于玩家等级场景的合适的相关NPC）	帮派科技任务送珍版书籍1（40~54三大城市文人样，书生样，适配于玩家等级场景的合适的相关NPC）	帮派科技任务送珍版书籍2（55~69三大城市文人样，书生样，适配于玩家等级场景的合适的相关NPC）	帮派科技任务送珍版书籍3（70~84三大城市文人样，书生样，适配于玩家等级场景的合适的相关NPC）	帮派科技任务送珍版书籍4（85~100三大城市文人样，书生样，适配于玩家等级场景的合适的相关NPC）	帮派科技任务送书籍	帮派市集任务催债取货1（20~39三大城市店铺老板）	帮派市集任务催债取货2（40~59三大城市店铺老板，商人NPC）	帮派市集任务催债取货3（60~79三大城市店铺老板，商人NPC，适配于玩家等级场景野外闲人NPC）	帮派市集任务催债取货4（79~100三大城市店铺老板，商人NPC，适配于玩家等级场景野外闲人NPC）	国防任务追捕叛徒	国防任务送城市情报1	国防任务送城市情报2	国防任务送城市情报3	国防任务送城市情报4	扩张任务结识江湖豪杰1	扩张任务结识江湖豪杰2	扩张任务结识江湖豪杰3	扩张任务结识江湖豪杰4	建设任务寻找建设工具1	建设任务寻找建设工具2	建设任务寻找建设工具3	建设任务寻找建设工具4	研究任务寻找研究要术1	研究任务寻找研究要术2	研究任务寻找研究要术3	研究任务寻找研究要术4	刺杀贪官	师门任务	研究任务送还失窃配方1	研究任务送还失窃配方2	研究任务送还失窃配方3	研究任务送还失窃配方4	建设任务寻找建设材料	段誉_易理_20	段誉_易理_30	段誉_易理_40	段誉_易理_50	段誉_易理_60	段誉_易理_70	段誉_易理_80	段誉_易理_90	段誉_佛理_40	段誉_佛理_50	段誉_佛理_60	段誉_佛理_70	段誉_佛理_80	段誉_佛理_90	段誉_道理_40	段誉_道理_50	段誉_道理_60	段誉_道理_70	段誉_道理_80	段誉_道理_90	段誉_儒理_40	段誉_儒理_50	段誉_儒理_60	段誉_儒理_70	段誉_儒理_80	段誉_儒理_90	萧峰_40剧情	萧峰_50剧情	萧峰_60剧情	萧峰_70剧情	萧峰_80剧情	萧峰_90剧情	木婉清_20_找人	木婉清_30_找人	木婉清_40_找人	木婉清_50_找人	木婉清_60_找人	木婉清_70_找人	木婉清_80_找人	木婉清_90_找人	段延庆(大理)_20_商人	段延庆(大理)_30_商人	段延庆(大理)_40_商人	段延庆(大理)_50_商人	段延庆(大理)_60_商人	段延庆(大理)_70_商人	段延庆(大理)_80_商人	段延庆(大理)_90_商人	段延庆(大理)_20_路人	段延庆(大理)_30_路人	段延庆(大理)_40_路人	段延庆(大理)_50_路人	段延庆(大理)_60_路人	段延庆(大理)_70_路人	段延庆(大理)_80_路人	段延庆(大理)_90_路人	段延庆(大理)_20_文人	段延庆(大理)_30_文人	段延庆(大理)_40_文人	段延庆(大理)_50_文人	段延庆(大理)_60_文人	段延庆(大理)_70_文人	段延庆(大理)_80_文人	段延庆(大理)_90_文人	段延庆(大理)_20_军人	段延庆(大理)_30_军人	段延庆(大理)_40_军人	段延庆(大理)_50_军人	段延庆(大理)_60_军人	段延庆(大理)_70_军人	段延庆(大理)_80_军人	段延庆(大理)_90_军人	段延庆(大理)_20_外人	段延庆(大理)_30_外人	段延庆(大理)_40_外人	段延庆(大理)_50_外人	段延庆(大理)_60_外人	段延庆(大理)_70_外人	段延庆(大理)_80_外人	段延庆(大理)_90_外人	段延庆(大理)_20_其他	段延庆(大理)_30_其他	段延庆(大理)_40_其他	段延庆(大理)_50_其他	段延庆(大理)_60_其他	段延庆(大理)_70_其他	段延庆(大理)_80_其他	段延庆(大理)_90_其他	段延庆(非大理)_20_英雄	段延庆(非大理)_30_英雄	段延庆(非大理)_40_英雄	段延庆(非大理)_50_英雄	段延庆(非大理)_60_英雄	段延庆(非大理)_70_英雄	段延庆(非大理)_80_英雄	段延庆(非大理)_90_英雄	慕容复_60_商类	慕容复_70_商类	慕容复_80_商类	慕容复_90_商类	慕容复_60_僧类	慕容复_70_僧类	慕容复_80_僧类	慕容复_90_僧类	慕容复_60_道类	慕容复_70_道类	慕容复_80_道类	慕容复_90_道类	慕容复_60_异类	慕容复_70_异类	慕容复_80_异类	慕容复_90_异类	慕容复_60_隐类	慕容复_70_隐类	慕容复_80_隐类	慕容复_90_隐类	慕容复_60_外类	慕容复_70_外类	慕容复_80_外类	慕容复_90_外类	慕容复_60_豪类	慕容复_70_豪类	慕容复_80_豪类	慕容复_90_豪类	慕容复_60_贪官	慕容复_70_贪官	慕容复_80_贪官	慕容复_90_贪官	慕容复_60_清官	慕容复_70_清官	慕容复_80_清官	慕容复_90_清官	虚竹_60_灵鹫宫	虚竹_70_灵鹫宫	虚竹_80_灵鹫宫	虚竹_90_灵鹫宫	虚竹_60_少林寺	虚竹_70_少林寺	虚竹_80_少林寺	虚竹_90_少林寺	虚竹_60_凌波洞	虚竹_70_凌波洞	虚竹_80_凌波洞	虚竹_90_凌波洞	银川公主_70_送信	银川公主_80_送信	银川公主_90_送信	钟灵_20_送信	钟灵_30_送信	钟灵_40_送信	钟灵_50_送信	钟灵_60_送信	钟灵_70_送信	钟灵_80_送信	钟灵_90_送信	阿朱_20_送信	阿朱_30_送信	阿朱_40_送信	阿朱_50_送信	阿朱_60_送信	阿朱_70_送信	阿朱_80_送信	阿朱_90_送信	阿碧_30_送信	阿碧_40_送信	阿碧_50_送信	阿碧_60_送信	阿碧_70_送信	阿碧_80_送信	阿碧_90_送信	王语嫣_30_送信	王语嫣_40_送信	王语嫣_50_送信	王语嫣_60_送信	王语嫣_70_送信	王语嫣_80_送信	王语嫣_90_送信	阿紫_50_送信	阿紫_60_送信	阿紫_70_送信	阿紫_80_送信	阿紫_90_送信	鸠摩智_60_找人_一类	鸠摩智_70_找人_一类	鸠摩智_80_找人_一类	鸠摩智_90_找人_一类	鸠摩智_60_找人_二类	鸠摩智_70_找人_二类	鸠摩智_80_找人_二类	鸠摩智_90_找人_二类	鸠摩智_60_找人_三类	鸠摩智_70_找人_三类	鸠摩智_80_找人_三类	鸠摩智_90_找人_三类	师门第6阶段	师门第7阶段	帮派科技任务送新铸造的武器5（100~119）	帮派科技任务送新铸造的武器6(120级以上三大城市武器商，技能传授人，适配于玩家等级场景的军职武职NPC)	帮派发展任务送新鲜的种植物5（100~114三大城市酒馆，适配于玩家等级场景的合适的相关NPC）	帮派发展任务送新鲜的种植物6（115级以上三大城市酒馆，技能传授人，适配于玩家等级场景的合适的相关NPC）	帮派科技任务送珍版书籍5（100~114三大城市文人样，书生样，适配于玩家等级场景的合适的相关NPC）	帮派科技任务送珍版书籍6（115级以上三大城市文人样，书生样，适配于玩家等级场景的合适的相关NPC）	帮派市集任务催债取货5（100~119三大城市店铺老板，商人NPC，适配于玩家等级场景野外闲人NPC）	帮派市集任务催债取货6（120级以上三大城市店铺老板，商人NPC，适配于玩家等级场景野外闲人NPC）	国防任务送城市情报5	国防任务送城市情报6	扩张任务结识江湖豪杰5	扩张任务结识江湖豪杰6	建设任务寻找建设工具5	建设任务寻找建设工具6	研究任务寻找研究要术5	研究任务寻找研究要术6	研究任务送还失窃配方5(100~119)	研究任务送还失窃配方6(120以上)	段誉_易理_100	段誉_易理_110	段誉_易理_120	段誉_佛理_100	段誉_佛理_110	段誉_佛理_120	段誉_道理_100	段誉_道理_110	段誉_道理_120	段誉_儒理_100	段誉_儒理_110	段誉_儒理_120	萧峰_100剧情	萧峰_110剧情	萧峰_120剧情	木婉清_100_找人	木婉清_110_找人	木婉清_120_找人	段延庆(大理)_100_商人	段延庆(大理)_110_商人	段延庆(大理)_120_商人	段延庆(大理)_100_路人	段延庆(大理)_110_路人	段延庆(大理)_120_路人	段延庆(大理)_100_文人	段延庆(大理)_110_文人	段延庆(大理)_120_文人	段延庆(大理)_100_军人	段延庆(大理)_110_军人	段延庆(大理)_120_军人	段延庆(大理)_100_外人	段延庆(大理)_110_外人	段延庆(大理)_120_外人	段延庆(大理)_100_其他	段延庆(大理)_110_其他	段延庆(大理)_120_其他	段延庆(非大理)_100_英雄	段延庆(非大理)_110_英雄	段延庆(非大理)_120_英雄	慕容复_100_异类	慕容复_110_异类	慕容复_120_异类	慕容复_100_隐类	慕容复_110_隐类	慕容复_120_隐类	慕容复_100_外类	慕容复_110_外类	慕容复_120_外类	慕容复_100_豪类	慕容复_110_豪类	慕容复_120_豪类	慕容复_100_贪官	慕容复_110_贪官	慕容复_120_贪官	慕容复_100_清官	慕容复_110_清官	慕容复_120_清官	虚竹_100_灵鹫宫	虚竹_110_灵鹫宫	虚竹_120_灵鹫宫	虚竹_100_少林寺	虚竹_110_少林寺	虚竹_120_少林寺	虚竹_100_凌波洞	虚竹_110_凌波洞	虚竹_120_凌波洞	银川公主_100_送信	银川公主_110_送信	银川公主_120_送信	钟灵_100_送信	钟灵_110_送信	钟灵_120_送信	阿朱_100_送信	阿朱_110_送信	阿朱_120_送信	阿碧_100_送信	阿碧_110_送信	阿碧_120_送信	王语嫣_100_送信	王语嫣_110_送信	王语嫣_120_送信	阿紫_100_送信	阿紫_110_送信	阿紫_120_送信	鸠摩智_100_找人_一类	鸠摩智_110_找人_一类	鸠摩智_120_找人_一类	鸠摩智_100_找人_二类	鸠摩智_110_找人_二类	鸠摩智_120_找人_二类	鸠摩智_100_找人_三类	鸠摩智_110_找人_三类	鸠摩智_120_找人_三类
#此行不读										0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	242	243	244	245	246	247	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	268	269	270	271	272	273	274	275	276	277	278	279	280	281	282	283	284	285	286	287	288	289	290	291	292	293	294	295	296	297	298	299	300	301	302	303	304	305	306	307	308	309	310	311	312	313	314	315	316	317	318	319	320	321	322	323	324	325	326	327	328	329	330	331	332	333	334	335	336	337	338	339	340	341	342	343	344	345	346	347	348	349	350	351	352	353	354
200001	蔡卞	洛阳的	0	158	32	#{_INFOAIM158,32,0,蔡卞}大宋西京枢密使	1	-1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200003	月老	洛阳的	0	46	62	#{_INFOAIM47,62,0,月老}结婚介绍人	1	-1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200004	花仙	洛阳的	0	46	61	#{_INFOAIM46,61,0,花仙}结婚介绍人	0	-1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200005	蔡京	洛阳的	0	126	96	#{_INFOAIM126,96,0,蔡京}大宋西京留守	1	-1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200006	刘光世	洛阳的	0	157	35	#{_INFOAIM157,35,0,刘光世}	1	-1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200007	苏辙	洛阳的	0	162	34	#{_INFOAIM162,34,0,苏辙}	1	-1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200008	高俅	洛阳的	0	199	59	#{_INFOAIM199,59,0,高俅}	1	-1	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200009	蔡丙臣	洛阳的	0	125	97	#{_INFOAIM125,97,0,蔡丙臣}	1	-1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	1	1	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
