INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
珍兽编号	珍兽名称$1$	珍兽描述$1$	珍兽出现几率	珍兽出现几率	珍兽出现几率	珍兽出现几率	珍兽出现几率	珍兽出现几率	珍兽出现几率	珍兽出现几率	珍兽出现几率	珍兽出现几率	珍兽出现几率	珍兽出现几率	珍兽出现几率	珍兽出现几率
#此行不读只是为了查找填写方便			0任务链	1师门	2师门	3师门	4师门	5师门	6	7	8	9	10	11	12师门	13师门
3000	成年兔子	#B玄武岛#{_INFOAIM130,86,112,-1}#W	68	10000	10000	1250	500	361	1000	1000	1000	1000	1000	1000	500	361
3001	变异兔子	#B玄武岛#{_INFOAIM130,86,112,-1}#W	100	0	0	0	0	0	1000	1000	1000	1000	1000	1000	0	0
3009	兔子宝宝	#B玄武岛#{_INFOAIM130,86,112,-1}#W	250	0	0	0	0	0	1000	1000	1000	1000	1000	1000	0	0
3010	成年燕子	#B玄武岛#{_INFOAIM54,65,112,-1}#W	34	0	0	1250	500	357	1000	1000	1000	1000	1000	1000	500	357
3011	变异燕子	#B玄武岛#{_INFOAIM54,65,112,-1}#W	50	0	0	0	0	0	1000	1000	1000	1000	1000	1000	0	0
3019	燕子宝宝	#B玄武岛#{_INFOAIM54,65,112,-1}#W	250	0	0	0	0	0	1000	1000	1000	1000	1000	1000	0	0
3020	成年乌龟	#B玄武岛#{_INFOAIM169,66,112,-1}#W	34	0	0	0	0	0	1000	1000	1000	1000	1000	1000	0	0
3021	变异乌龟	#B玄武岛#{_INFOAIM169,66,112,-1}#W	50	0	0	0	0	0	1000	1000	1000	1000	1000	1000	0	0
3029	乌龟宝宝	#B玄武岛#{_INFOAIM169,66,112,-1}#W	250	0	0	0	0	0	1000	1000	1000	1000	1000	1000	0	0
3030	成年狗	#B玄武岛#{_INFOAIM234,57,112,-1}#W	68	0	0	1250	500	357	1000	1000	1000	1000	1000	1000	500	357
3031	变异狗	#B玄武岛#{_INFOAIM234,57,112,-1}#W	100	0	0	0	0	0							0	0
3039	狗宝宝	#B玄武岛#{_INFOAIM234,57,112,-1}#W	250	0	0	0	0	0							0	0
3040	成年刺猬	#B玄武岛#{_INFOAIM139,111,112,-1}#W	34	0	0	1250	500	357							500	357
3041	变异刺猬	#B玄武岛#{_INFOAIM139,111,112,-1}#W	50	0	0	0	0	0							0	0
3049	刺猬宝宝	#B玄武岛#{_INFOAIM139,111,112,-1}#W	250	0	0	0	0	0							0	0
3050	成年猴子	#B玄武岛#{_INFOAIM203,69,112,-1}#W	34	0	0	1250	500	357							500	357
3051	变异猴子	#B玄武岛#{_INFOAIM203,69,112,-1}#W	50	0	0	0	0	0							0	0
3059	猴子宝宝	#B玄武岛#{_INFOAIM203,69,112,-1}#W	250	0	0	0	0	0							0	0
3060	成年松鼠	#B玄武岛#{_INFOAIM175,128,112,-1}#W	36	0	0	1250	500	357							500	357
3061	变异松鼠	#B玄武岛#{_INFOAIM175,128,112,-1}#W	25	0	0	0	0	0							0	0
3062	变异松鼠	#B玄武岛#{_INFOAIM175,128,112,-1}#W	25	0	0	0	0	0							0	0
3069	松鼠宝宝	#B玄武岛#{_INFOAIM175,128,112,-1}#W	250	0	0	0	0	0							0	0
3070	成年浣熊	#B玄武岛#{_INFOAIM115,122,112,-1}#W	34	0	0	1250	500	357							500	357
3071	变异浣熊	#B玄武岛#{_INFOAIM115,122,112,-1}#W	25	0	0	0	0	0							0	0
3072	变异浣熊	#B玄武岛#{_INFOAIM115,122,112,-1}#W	25	0	0	0	0	0							0	0
3079	浣熊宝宝	#B玄武岛#{_INFOAIM115,122,112,-1}#W	250	0	0	0	0	0							0	0
3080	成年鹦鹉	#B玄武岛#{_INFOAIM153,157,112,-1}#W	34	0	0	1250	500	357							500	357
3081	变异鹦鹉	#B玄武岛#{_INFOAIM153,157,112,-1}#W	25	0	0	0	0	0							0	0
3082	变异鹦鹉	#B玄武岛#{_INFOAIM153,157,112,-1}#W	25	0	0	0	0	0							0	0
3089	鹦鹉宝宝	#B玄武岛#{_INFOAIM153,157,112,-1}#W	250	0	0	0	0	0							0	0
3090	成年蜥蜴	#B玄武岛#{_INFOAIM101,155,112,-1}#W	34	0	0	0	500	357							500	357
3091	变异蜥蜴	#B玄武岛#{_INFOAIM101,155,112,-1}#W	25	0	0	0	0	0							0	0
3092	变异蜥蜴	#B玄武岛#{_INFOAIM101,155,112,-1}#W	25	0	0	0	0	0							0	0
3099	蜥蜴宝宝	#B玄武岛#{_INFOAIM101,155,112,-1}#W	250	0	0	0	0	0							0	0
3100	成年蝙蝠	#B玄武岛#{_INFOAIM228,166,112,-1}#W	34	0	0	0	500	357							500	357
3101	变异蝙蝠	#B玄武岛#{_INFOAIM228,166,112,-1}#W	25	0	0	0	0	0							0	0
3102	变异蝙蝠	#B玄武岛#{_INFOAIM228,166,112,-1}#W	25	0	0	0	0	0							0	0
3109	蝙蝠宝宝	#B玄武岛#{_INFOAIM228,166,112,-1}#W	250	0	0	0	0	0							0	0
3110	成年大螳螂	#B玄武岛#{_INFOAIM59,151,112,-1}#W	68	0	0	0	500	357							500	357
3111	变异大螳螂	#B玄武岛#{_INFOAIM59,151,112,-1}#W	50	0	0	0	0	0							0	0
3112	变异大螳螂	#B玄武岛#{_INFOAIM59,151,112,-1}#W	50	0	0	0	0	0							0	0
3119	大螳螂宝宝	#B玄武岛#{_INFOAIM59,151,112,-1}#W	250	0	0	0	0	0							0	0
3120	成年鳄鱼	#B玄武岛#{_INFOAIM68,112,112,-1}#W	68	0	0	0	500	357							500	357
3121	变异鳄鱼	#B玄武岛#{_INFOAIM68,112,112,-1}#W	50	0	0	0	0	0							0	0
3122	变异鳄鱼	#B玄武岛#{_INFOAIM68,112,112,-1}#W	50	0	0	0	0	0							0	0
3129	鳄鱼宝宝	#B玄武岛#{_INFOAIM68,112,112,-1}#W	250	0	0	0	0	0							0	0
3130	成年猫头鹰	#B玄武岛#{_INFOAIM61,218,112,-1}#W	34	0	0	0	500	357							500	357
3131	变异猫头鹰	#B玄武岛#{_INFOAIM61,218,112,-1}#W	16	0	0	0	0	0							0	0
3132	变异猫头鹰	#B玄武岛#{_INFOAIM61,218,112,-1}#W	16	0	0	0	0	0							0	0
3133	变异猫头鹰	#B玄武岛#{_INFOAIM61,218,112,-1}#W	16	0	0	0	0	0							0	0
3139	猫头鹰宝宝	#B玄武岛#{_INFOAIM61,218,112,-1}#W	250	0	0	0	0	0							0	0
3140	成年獾	#B玄武岛#{_INFOAIM62,256,112,-1}#W	36	0	0	0	500	357							500	357
3141	变异獾	#B玄武岛#{_INFOAIM62,256,112,-1}#W	16	0	0	0	0	0							0	0
3142	变异獾	#B玄武岛#{_INFOAIM62,256,112,-1}#W	16	0	0	0	0	0							0	0
