INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	STRING	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
MissionIndex	MissionId	任务类型（客户端）	是否精英（客户端）	是否显示完成（客户端）	环数（客户端）	是否循环任务	完成任务的Npc的坐标(X)	完成任务的Npc的坐标(Y)	任务名称$1$	任务目标（客户端描述）$1$	任务详细描述$1$	是否有Continue	任务继续信息$1$	任务完成信息$1$	接受任务场景ID	接受任务NPC$1$	完成任务场景ID	完成任务NPC$1$	任务目标场景ID	任务目标NPC$1$	任务目标NPC是否动态	任务目标NPC对白$1$	任务需求等级	前续任务Id1	前续任务Id2	前续任务Id3	金钱奖励	经验奖励	关系值存储位置	关系值奖励	关系值奖励提示$1$	放弃任务关系值惩罚	关系值惩罚提示$1$	放弃任务后禁止接任务的时间存储位置	禁止的时间长度，秒	时间限制内接任务的提示$1$	固定物品奖励1	固定物品1奖励数量	固定物品奖励2	固定物品2奖励数量	固定物品奖励3	固定物品3奖励数量	固定物品奖励4	固定物品4奖励数量	固定物品奖励5	固定物品5奖励数量	可选物品奖励1	可选物品1奖励数量	可选物品奖励2	可选物品2奖励数量	可选物品奖励3	可选物品3奖励数量	可选物品奖励4	可选物品4奖励数量	可选物品奖励5	可选物品5奖励数量	隐藏奖励物品1	隐藏物品1奖励数量	隐藏奖励物品2	隐藏物品2奖励数量	隐藏奖励物品3	隐藏物品3奖励数量	送物种类数量（最多5）	第一个物品ID	第一个物品数量	物品是否在接任务时由NPC给予	第二个物品ID	第二个物品数量	物品是否在接任务时由NPC给予	第三个物品ID	第三个物品数量	物品是否在接任务时由NPC给予	第四个物品ID	第四个物品数量	物品是否在接任务时由NPC给予	MissionItem_HashTable列号	第五个物品数量	物品是否在接任务时由NPC给予	后续任务INDEX
#无量山																																																																															
1010000	491	17	0	1	0		240	179	就地取材	#{MIS_TAR_ADD_013}	#{Mis_S_Wuliang_1010000}	1	#{RW_20080317_02}	#{RW_20080317_03}	6	马五德	6	左子穆	6	左子穆			1	-1	-1	-1	120	600	-1																																		1	40002093	1	1													
1010001	498	17	0	1	0		252	154	封锁敦煌	#{MIS_TAR_ADD_014}	#{Mis_S_Wuliang_1010001}	1	#{RW_20080317_02}	#{RW_20080317_04}	6	辛双清	8	杨文广	8	杨文广			9	-1	-1	-1	205	900	-1																																		1	40002094	1	1													
#剑阁任务																									-1	-1																																																					
1010010	502	18	0	1	0		263	201	武侯祠	#{MIS_TAR_ADD_016}	#{Mis_S_Jiange_1010010}	0		#{RW_20080317_05}	7	姜桂芝	7	时迈	7	时迈			1	-1	-1	-1	85	7200	-1																																		0																
1010011	507	18	0	1	0		260	210	三分天下	#{MIS_TAR_ADD_017}	#{Mis_S_Jiange_1010011}	1	#{RW_20080317_02}	#{RW_20080317_06}	7	时迈	7	时迁	7	时迁			8	503	504	505	65	1980	-1																		10413061	1	10410061	1	10422101	1											1	40002106	1	1													
1010012	509	18	0	1	0		252	154	求援	#{MIS_TAR_ADD_018}	#{Mis_S_Jiange_1010012}	1	#{RW_20080317_02}	#{RW_20080317_07}	7	姜桂芝	8	杨文广	8	杨文广			10	508	-1	-1	105	900	-1																																		1	40002133	1	1													
#敦煌																																																																															
1010020	511	19	0	1	0		63	90	蒙尘	#{MIS_TAR_ADD_020}	#{Mis_S_DunHuang_1010020}	1	#{RW_20080317_02}	#{RW_20080317_08}	8	回鹘王女	8	赵行德	8	赵行德			10	900	-1	-1	132	3360	-1																																		1	40002134	1	1													1010021
1010021	514	19	0	1	0		63	81	营救	#{MIS_TAR_ADD_021}	#{Mis_S_DunHuang_1010021}	0		#{RW_20080317_09}	8	赵行德	8	朱王礼	8	朱王礼			13	511	-1	-1	114	4252	-1																																		0																
1010022	516	19	0	1	0		63	81	回归	#{MIS_TAR_ADD_022}	#{Mis_S_DunHuang_1010022}	0		#{RW_20080317_10}	8	杨文广	8	朱王礼	8	朱王礼			13	515	-1	-1	200	5628	-1																		10410062	1	10400061	1	10411068	1											0																
1010023	518	19	0	1	0		55	63	战火	#{MIS_TAR_ADD_023}	#{Mis_S_DunHuang_1010023}	0		#{RW_20080317_11}	8	朱王礼	8	曹延惠	8	曹延惠			18	-1	-1	-1	82	2856	-1																		10413062	1	10403062	1	10421062	1											0																1010321
1010024	519	19	0	1	0		200	66	战斗力	#{MIS_TAR_ADD_024}	#{Mis_S_DunHuang_1010024}	0		#{RW_20080317_12}	8	杨文广	3	柴进	3	柴进			18	901	-1	-1	130	15120	-1																																		0																
#嵩山																																																																															
1010030	463	14	0	1	0		182	81	来龙去脉	#{MIS_TAR_ADD_026}	#{Mis_S_Songshan_1010030}	1	#{RW_20080317_02}	#{RW_20080317_13}	3	萧让	3	陆松	3	陆松			15	-1	-1	-1	156	2100	-1																		10420062	1	10422103	1													0																1010031
1010031	464	14	0	1	0		200	66	安神药	#{MIS_TAR_ADD_027}	#{Mis_S_Songshan_1010031}	1	#{RW_20080317_02}	#{RW_20080317_14}	3	陆松	3	柴进	3	柴进			15	463	-1	-1	156	2520	-1																																		1	40002129	1	1													
1010032	467	14	0	1	0		209	79	祸起萧墙	#{MIS_TAR_ADD_028}	#{Mis_S_Songshan_1010032}	0		#{RW_20080317_15}	3	陆凝霜	3	萧让	3	萧让			18	466	-1	-1	156	3780	-1																		10413063	1	10421063	1													0																
1010033	468	14	0	1	0		155	54	丹书铁券	#{MIS_TAR_ADD_029}	#{Mis_S_Songshan_1010033}	0		#{RW_20080317_16}	3	萧让	30	张叔夜	30	张叔夜			18	467	-1	-1	290	15120	-1																																		0																
#西湖																													-1																																																		
1010040	640	41	0	1	0		164	262	美酒歌谣	#{MIS_TAR_ADD_031}	#{Mis_S_Xihu_1010040}	0		#{RW_20080317_17}	30	张叔夜	30	苏飞	30	苏飞			20	-1	-1	-1	2200	9900	-1																																		0																
1010041	643	41	0	1	0		142	47	傀儡研究	#{MIS_TAR_ADD_032}	#{Mis_S_Xihu_1010041}	0		#{RW_20080317_18}	30	苏飞	30	金大坚	30	金大坚			23	-1	-1	-1	2200	11100	-1																																		0																1010042
1010042	644	41	0	1	0		164	262	修罗术	#{MIS_TAR_ADD_033}	#{Mis_S_Xihu_1010042}	0		#{RW_20080317_19}	30	金大坚	30	苏飞	30	苏飞			23	643	-1	-1	2300	8850	-1																		10410064	1	10411070	1	10413064	1											0																
1010043	649	41	0	1	0		207	49	白手起家	#{MIS_TAR_ADD_034}	#{Mis_S_Xihu_1010043}	1	#{RW_20080317_02}	#{RW_20080317_20}	30	马汉	24	刀尧	24	刀尧			25	-1	-1	-1	2500	13200	-1																																		1	40002078	1	1													
#雁南																													-1																																																		
1010050	528	29	0	1	0		165	137	尘封已久的友谊	#{MIS_TAR_ADD_036}	#{Mis_S_Yannan_1010050}	0		#{RW_20080317_21}	18	种世衡	31	雷焕	31	雷焕			35	-1	-1	-1	4800	13500	-1																																																		
#雁北																													-1																																																		
1010060	533	30	0	1	0		232	192	神秘的来信	#{MIS_TAR_ADD_038}	#{Mis_S_Yanbei_1010060}	1	#{RW_20080317_02}	#{RW_20080317_22}	19	苗庆	19	曲端	19	曲端			48	530	532	-1	4600	800	-1																																		1	40002058	1	1													1010061
1010061	535	30	0	1	0		271	50	寻找鲁平	#{MIS_TAR_ADD_039}	#{Mis_S_Yanbei_1010061}	0		#{RW_20080317_23}	19	曲端	19	鲁平	19	鲁平			48	533	-1	-1	4500	5000	-1																																		0																
1010062	537	30	0	1	0		232	192	回复曲端	#{MIS_TAR_ADD_040}	#{Mis_S_Yanbei_1010062}	0		#{RW_20080317_24}	19	鲁平	19	曲端	19	曲端			48	536	-1	-1	4750	6000	-1																		10413069	1	10401065	1	10410068	1											0																
1010063	539	30	0	1	0		194	52	一封家书	#{MIS_TAR_ADD_041}	#{Mis_S_Yanbei_1010063}	1	#{RW_20080317_02}	#{RW_20080317_25}	19	曲端	32	曲阳	32	曲阳			50	-1	-1	-1	8700	16400	-1																																		1	40002061	1	1													
#石林																													-1																																																		
1010070	603	37	0	1	0		45	44	世外茶园	#{MIS_TAR_ADD_043}	#{Mis_S_Shilin_1010070}	0		#{RW_20080317_26}	26	郑玄	26	秦红棉	26	秦红棉			55	602	-1	-1	22000	7300	-1																																		0																
1010071	605	37	0	1	0		138	67	誓言	#{MIS_TAR_ADD_044}	#{Mis_S_Shilin_1010071}	1	#{RW_20080317_02}	#{RW_20080317_27}	26	杨铁信	26	郑圆	26	郑圆			55	-1	-1	-1	41200	6700	-1																																		1	40002111	1	1													
1010073	609	37	0	1	0		190	200	草原上的人们	#{MIS_TAR_ADD_045}	#{Mis_S_Shilin_1010073}	0		#{RW_20080317_28}	26	郑玄	20	阮老太太	20	阮老太太			60	608	-1	-1	25000	9900	-1																																		0																
#草原																													-1																																																		
1010080	545	31	0	1	0		164	158	绝情剑	#{MIS_TAR_ADD_047}	#{Mis_S_Caoyuan_1010080}	0	  	#{RW_20080317_29}	20	阮诚	20	萧蔷	20	萧蔷			62	544	-1	-1	2130	12000	-1																																		1	40002065	1	1													1030082
1010081	549	31	0	1	0		170	73	闻香下马	#{MIS_TAR_ADD_048}	#{Mis_S_Caoyuan_1010081}	1	#{RW_20080317_02}	#{RW_20080317_30}	20	阮诚	33	沈万三	33	沈万三			65	-1	-1	-1	25300	18000	-1																																																		
#辽西																													-1																																																		
1010090	553	32	0	1	0		168	204	辽军元帅	#{MIS_TAR_ADD_064}	#{Mis_S_Liaoxi_1010090}	0		#{RW_20080317_31}	21	博尔伦	21	耶律金	21	耶律金			75	552	-1	-1	49800	9000	-1																																		0																
#长白																													-1																																																		
1010100	562	33	0	1	0		156	124	送药酒	#{MIS_TAR_ADD_066}	#{Mis_S_Changbai_1010100}	1	#{RW_20080317_02}	#{RW_20080317_32}	22	徒单福晋	22	完颜吴乞买	22	完颜吴乞买			88	-1	-1	-1	50500	13000	-1																																		1	40002103	1	1													
1010101	565	33	0	1	0		234	77	寻找阿骨打	#{MIS_TAR_ADD_067}	#{Mis_S_Changbai_1010101}	1	#{RW_20080317_02}	#{RW_20080317_33}	22	完颜盈哥	22	完颜阿骨打	22	完颜阿骨打			90	560	-1	-1	53500	16000	-1																																		1	40002102	1	1													1010102
1010102	566	33	0	1	0		117	107	韬光养晦	#{MIS_TAR_ADD_068}	#{Mis_S_Changbai_1010102}	1	#{RW_20080317_02}	#{RW_20080317_34}	22	完颜阿骨打	22	完颜呵里布	22	完颜呵里布			90	565	-1	-1	49700	15000	-1																		10413079	1	10411084	1													2	40002100	1	1	40002101	1	1										
#洱海																													-1																																																		
1010110	580	36	0	1	0		57	73	舐犊情深	#{MIS_TAR_ADD_050}	#{Mis_S_Erhai_1010110}	0		#{RW_20080317_35}	24	刀尧	24	刀琅玕	24	刀琅玕			25	-1	-1	-1	1700	2400	-1																																		0																
1010111	589	36	0	1	0		262	47	萨宁的发现	#{MIS_TAR_ADD_051}	#{Mis_S_Erhai_1010111}	0		#{RW_20080317_36}	24	萨宁	18	种世衡	18	种世衡			30	588	-1	-1	2900	3400	-1																																		0																
#苍山																													-1																																																		
1010120	597	35	0	1	0		202	108	飘雪的苍山	#{MIS_TAR_ADD_053}	#{Mis_S_Cangshan_1010120}	1	#{RW_20080317_02}	#{RW_20080317_37}	25	萨玛	25	萨桑	25	萨桑			43	595	596	-1	5400	11000	-1								10421067	1																									1	40002146	1	1													1000124
1010121	599	35	0	1	0		232	192	丰厚的回报	#{MIS_TAR_ADD_054}	#{Mis_S_Cangshan_1010121}	1	#{RW_20080317_02}	#{RW_20080317_38}	25	萨桑	19	曲端	19	曲端			45	-1	-1	-1	7700	9600	-1																																		1	40002147	1	1													
#武夷																													-1																																																		
1010130	663	43	0	1	0		205	44	险情报告	#{MIS_TAR_ADD_056}	#{Mis_S_Wuyi_1010130}	1	#{RW_20080317_02}	#{RW_20080317_39}	32	紫薇	32	水仙	32	水仙			50	662	-1	-1	6200	10500	-1																																		1	40002149	1	1													
1010131	668	43	0	1	0		195	42	辩解	#{MIS_TAR_ADD_057}	#{Mis_S_Wuyi_1010131}	0		#{RW_20080317_40}	32	曲阳	32	紫薇	32	紫薇			55	-1	-1	-1	6200	18000	-1																																		0																1010132
1010132	669	43	0	1	0		45	44	天命最高	#{MIS_TAR_ADD_058}	#{Mis_S_Wuyi_1010132}	0		#{RW_20080317_41}	32	紫薇	26	秦红棉	26	秦红棉			55	668	-1	-1	10500	16800	-1																																		0																
#龙泉																													-1																																																		
1010140	651	42	0	1	0		207	63	独上金山寺	#{MIS_TAR_ADD_060}	#{Mis_S_Longquan_1010140}	0		#{RW_20080317_42}	31	翁季之	31	法念	31	法念			35	-1	-1	-1	3800	7900	-1								 																										0																
