INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
MissionIndex	MissionId	任务类型（客户端）	是否精英（客户端）	是否显示完成（客户端）	环数（客户端）	是否循环任务	完成任务的Npc的坐标(X)	完成任务的Npc的坐标(Y)	任务名称$1$	任务目标$1$	任务详细描述$1$	任务继续信息$1$	任务完成信息$1$	接受任务场景ID	接受任务NpcName$1$	接受任务NpcGuid	完成任务场景ID	完成任务NpcName$1$	完成任务NpcGuid	任务需求等级	前续任务Id1	前续任务Id2	前续任务Id3	击杀种类数（最多8）	怪物名称1$1$	怪物标志1	击杀数量1	怪物名称2$1$	怪物标志2	击杀数量2	怪物名称3$1$	怪物标志3	击杀数量3	怪物名称4$1$	怪物标志4	击杀数量4	怪物名称5$1$	怪物标志5	击杀数量5	金钱奖励	经验奖励	关系值存储位置	关系值奖励	关系值奖励提示$1$	放弃任务关系值惩罚	关系值惩罚提示$1$	放弃任务后禁止接任务的时间存储位置	禁止的时间长度，秒	时间限制内接任务的提示$1$	固定物品奖励1	个数1	固定物品奖励2	个数2	固定物品奖励3	个数3	固定物品奖励4	个数4	固定物品奖励5	个数5	可选物品奖励1	个数1	可选物品奖励2	个数2	可选物品奖励3	个数3	可选物品奖励4	个数4	可选物品奖励5	个数5	隐藏奖励物品1	个数1	隐藏奖励物品2	个数2	隐藏奖励物品3	个数3	后续任务INDEX
#无量山任务																																																																												
1000000	490	17	0	1	0		92	127	高山白猿	#{MIS_TAR_ADD_244}	#{Mis_K_Wuliang_1000000}	#{RW_20080321_54}	#{RW_20080321_59}	6	马五德	0	6	马五德	0	1	-1	-1	-1	1	高山白猿	1500	8													135	580	-1																		10402062	1	10400060	1	10401061	1											
1000001	494	17	0	1	0		240	175	闪电豹的骚扰	#{MIS_TAR_ADD_245}	#{Mis_K_Wuliang_1000001}	#{RW_20080321_55}	#{RW_20080321_60}	6	辛双清	0	6	辛双清	0	3	-1	-1	-1	1	闪电豹	1520	8													135	1580	-1																																		
1000002	496	17	0	1	0		240	173	平息骚乱	#{MIS_TAR_ADD_246}	#{Mis_K_Wuliang_1000002}	#{RW_20080321_56}	#{RW_20080321_61}	6	葛光佩	0	6	葛光佩	0	5	-1	-1	-1	1	山蛛	1535	8													132	1290																																			
1000003	497	17	0	1	0		240	175	大铁网	#{MIS_TAR_ADD_001}	#{Mis_K_Wuliang_1000003}	#{RW_20080321_57}	#{RW_20080321_62}	6	辛双清	0	6	辛双清	0	7	-1	-1	-1	1	大铁网	535	1													145	1660	-1																		10411066	1	10421060	1													
1000004	499	17	0	1	0		240	175	刺杀特使	#{MIS_TAR_ADD_002}	#{Mis_K_Wuliang_1000004}	#{RW_20080321_58}	#{RW_20080321_63}	6	辛双清	0	6	辛双清	0	9	-1	-1	-1	1	布尔善	536	1													150	2000	-1																		10413060	1	10422100	1	10412060	1											
#剑阁任务																																																																												
1000010	500	18	0	1	0		220	68	蜀道白猿	#{MIS_TAR_ADD_250}	#{Mis_K_Jiange_1000010}	#{RW_20080321_64}	#{RW_20080321_68}	7	姜末	0	7	姜末	0	1	-1	-1	-1	1	蜀道白猿		8													130	800																			10403061	1	10405061	1	10404061	1											
1000011	501	18	0	1	0		220	68	蜀道黑猿	#{MIS_TAR_ADD_251}	#{Mis_K_Jiange_1000011}	#{RW_20080321_65}	#{RW_20080321_69}	7	姜末	0	7	姜末	0	1	-1	-1	-1	1	蜀道黑猿		8													110	2000	-1																																		
1000012	506	18	0	1	0		220	68	炖肉	#{MIS_TAR_ADD_252}	#{Mis_K_Jiange_1000012}	#{RW_20080321_66}	#{RW_20080321_70}	7	姜末	0	7	姜末	0	8	-1	-1	-1	1	鬼面侏儒		8													105	2640	-1																		10412061	1	10411067	1	10421061	1											
1000013	508	18	0	1	0		216	42	修罗小鬼	#{MIS_TAR_ADD_006}	#{Mis_K_Jiange_1000013}	#{RW_20080321_67}	#{RW_20080321_71}	7	姜桂芝	0	7	姜桂芝	0	9	-1	-1	-1	1	修罗小鬼		1													85	2000	-1								10420060	1																									1010012
#敦煌																																																																												
1000020	510	19	0	1	0		252	145	心愿	#{MIS_TAR_ADD_255}	#{Mis_K_DunHuang_1000020}	#{RW_20080321_72}	#{RW_20080321_76}	8	杨文广	0	8	杨文广	0	10	-1	-1	-1	1	沙坡狼		12													70	8610	-1								10422102	1																									
1000021	512	19	0	1	0		63	90	兵俑	#{MIS_TAR_ADD_256}	#{Mis_K_DunHuang_1000021}	#{RW_20080321_73}	#{RW_20080321_77}	8	赵行德	0	8	赵行德	0	10	-1	-1	-1	1	残破兵俑		12													85	2772																																			
1000022	513	19	0	1	0		63	90	荒原豹	#{MIS_TAR_ADD_257}	#{Mis_K_DunHuang_1000022}	#{RW_20080321_74}	#{RW_20080321_78}	8	赵行德	0	8	赵行德	0	10	-1	-1	-1	1	荒原豹		12													131	3066	-1																																		
1000023	517	19	0	1	0		55	63	莫高窟	#{MIS_TAR_ADD_258}	#{Mis_K_DunHuang_1000023}	#{RW_20080321_75}	#{RW_20080321_79}	8	曹延惠	0	8	曹延惠	0	18	902	-1	-1	1	沙漠马匪		16													107	3990	-1																																		
#嵩山																																																																												
