INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
MissionIndex	MissionId	任务类型（客户端）	是否精英（客户端）	是否显示完成（客户端）	环数（客户端）	是否循环任务	完成任务的Npc的坐标(X)	完成任务的Npc的坐标(Y)	任务名称$1$	任务目标$1$	任务描述3$1$	任务描述4$1$	任务描述5$1$	接受任务场景ID	接受任务NpcName$1$	接受任务NpcGuid	完成任务场景ID	完成任务NpcName$1$	完成任务NpcGuid	任务需求等级	前续任务Id1	前续任务Id2	前续任务Id3	击杀种类数（最多5）	怪物名称1$1$	是否寻找随机物品	掉落物品1	掉落概率1	掉落数量1	怪物名称2$1$	怪物标志2	掉落物品2	掉落概率2	掉落数量2	怪物名称3$1$	怪物标志3	掉落物品3	掉落概率3	掉落数量3	怪物名称4$1$	怪物标志4	掉落物品4	掉落概率4	掉落数量4	怪物名称5$1$	怪物标志5	掉落物品5	掉落概率5	掉落数量5	金钱奖励	经验奖励	关系值存储位置	关系值奖励	关系值奖励提示$1$	放弃任务关系值惩罚	关系值惩罚提示$1$	放弃任务后禁止接任务的时间存储位置	禁止的时间长度，秒	时间限制内接任务的提示$1$	固定物品奖励1	个数1	固定物品奖励2	个数2	固定物品奖励3	个数3	固定物品奖励4	个数4	固定物品奖励5	个数5	可选物品奖励1	个数1	可选物品奖励2	个数2	可选物品奖励3	个数3	可选物品奖励4	个数4	可选物品奖励5	个数5	隐藏奖励物品1	个数1	隐藏奖励物品2	个数2	隐藏奖励物品3	个数3	后续任务INDEX
#无量山																																																																																						
1030000	492	17	0	1	0		240	173	代劳	#{MIS_TAR_ADD_456}	#{Mis_L_Wuliang_1030000}	#{RW_20080321_333}	#{RW_20080321_335}	6	葛光佩	0	6	葛光佩	0	1	-1	-1	-1	1	高山白猿	0	40002091	80	8																					150	1440	-1																																		
1030001	493	17	0	1	0		241	181	蜂毒	#{MIS_TAR_ADD_458}	#{Mis_L_Wuliang_1030001}	#{RW_20080321_334}	#{RW_20080321_336}	6	干光豪	0	6	干光豪	0	3	-1	-1	-1	1	大黄蜂	0	40002092	80	12																					175	2800	-1																																		
#剑阁																																																																																						
1030010	503	18	0	1	0		263	201	红色宝藏钥匙	#{MIS_TAR_ADD_003}	#{Mis_L_Jiange_1030010}	#{RW_20080321_337}	#{RW_20080321_340}	7	时迈	0	7	时迈	0	5	-1	-1	-1	1	舞空	0	40002130	100	1																					120	2730	-1																																		
1030011	504	18	0	1	0		263	201	黄色宝藏钥匙	#{MIS_TAR_ADD_004}	#{Mis_L_Jiange_1030011}	#{RW_20080321_338}	#{RW_20080321_340}	7	时迈	0	7	时迈	0	5	-1	-1	-1	1	浮桥	0	40002131	100	1																					105	2140	-1																																		
1030012	505	18	0	1	0		263	201	蓝色宝藏钥匙	#{MIS_TAR_ADD_005}	#{Mis_L_Jiange_1030012}	#{RW_20080321_339}	#{RW_20080321_340}	7	时迈	0	7	时迈	0	5	-1	-1	-1	1	大脸	0	40002132	100	1																					100	2250	-1																																		
#敦煌																																																																																						
1030020	515	19	0	1	0		252	145	夹击	#{MIS_TAR_ADD_007}	#{Mis_L_DunHuang_1030020}	#{RW_20080321_341}	#{RW_20080321_342}	8	朱王礼	0	8	杨文广	0	13	514	-1	-1	1	李重贵	0	40002135	100	1																					118	4830	-1																		10420061	1	10412062	1	10402063	1											1010022
#嵩山																																																				-1																																		
1030030	465	14	0	1	0		181	81	解铃人	#{MIS_TAR_ADD_008}	#{Mis_L_Songshan_1030030}	#{RW_20080321_343}	#{RW_20080321_346}	3	陆凝霜	0	3	陆凝霜	0	18	903	-1	-1	1	门墩	0	40002128	100	1																					198	10710	-1																																		1030031
1030031	466	14	0	1	0		181	81	蛛丝马迹	#{MIS_TAR_ADD_476}	#{Mis_L_Songshan_1030031}	#{RW_20080321_344}	#{RW_20080321_347}	3	陆凝霜	0	3	陆凝霜	0	18	465	-1	-1	3	卢崖铜人	0	40002136	20	1	卢崖铜人	0	40002137	20	1	卢崖铜人	0	40002138	20	1											175	19740	-1																		10401062	1	10400062	1	10402064	1											1010032
1030032	469	14	0	1	0		182	81	嵩阳断肠草	#{MIS_TAR_ADD_009}	#{Mis_L_Songshan_1030032}	#{RW_20080321_345}	#{RW_20080321_348}	3	陆松	0	3	陆松	0	20	904	-1	-1	1	铜轨	0	40002139	100	1																					290	9450	-1																		10411069	1	10410063	1													
#西湖																																																																																						
1030040	645	41	0	1	0		164	262	断桥花妖	#{MIS_TAR_ADD_482}	#{Mis_L_Xihu_1030040}	#{RW_20080321_349}	#{RW_20080321_352}	30	苏飞	0	30	苏飞	0	23	644	-1	-1	1	断桥花妖	0	40002076	10	1																					2700	22500	-1																																		
1030041	646	41	0	1	0		164	262	白堤柳鬼	#{MIS_TAR_ADD_484}	#{Mis_L_Xihu_1030041}	#{RW_20080321_350}	#{RW_20080321_352}	30	苏飞	0	30	苏飞	0	23	644	-1	-1	1	白堤柳鬼	0	40002140	10	1																					2100	21000	-1																																		
1030042	647	41	0	1	0		164	262	归风庄	#{MIS_TAR_ADD_486}	#{Mis_L_Xihu_1030042}	#{RW_20080321_351}	#{RW_20080321_352}	30	苏飞	0	30	苏飞	0	23	644	-1	-1	1	归风庄庄客	0	40002141	10	1																					3000	24000	-1																		10403063	1	10405062	1	10421064	1											
#雁南																																																				-1																																		
1030050	522	29	0	1	0		242	75	秘密联络	#{MIS_TAR_ADD_490}	#{Mis_L_Yannan_1030050}	#{RW_20080321_353}	#{RW_20080321_355}	18	寇封	0	18	寇封	0	30	-1	-1	-1	1	秦家寨信使	0	40002056	100	1																					4500	8200	-1								10410066	1																									
1030051	524	29	0	1	0		260	88	完美的灰熊皮	#{MIS_TAR_ADD_492}	#{Mis_L_Yannan_1030051}	#{RW_20080321_354}	#{RW_20080321_356}	18	马承倩	0	18	马承倩	0	32	-1	-1	-1	1	灰熊	0	40002057	5	1																					3800	9600	-1																		10421065	1	10412065	1													
#雁北																																																				-1																																		
1030060	530	30	0	1	0		232	192	红寡妇	#{MIS_TAR_ADD_496}	#{Mis_L_Yanbei_1030060}	#{RW_20080321_357}	#{RW_20080321_359}	19	曲端	0	19	曲端	0	45	-1	-1	-1	1	红寡妇	0	40002060	100	1																					5500	18000	-1																																		
