INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	FLOAT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
怪物编号	名称$1$	怪物性别	等级	基础经验获得	友好值	休闲间隔时间	基础AI	扩展AI	阵营	掉落分配半径(米)	掉落最大有效组	最小伤血百分比	是否可以交互	BOSS标记	物理攻击	物理防御	魔法攻击	魔法防御	HP上限	MP上限	HP回复	MP回复	命中率	闪避	会心率	会心防御	移动速度	步行速度	攻击速度	冰攻击	冰防御	降低目标冰抵抗	火攻击	火防御	降低目标火抵抗	电攻击	电防御	降低目标玄抵抗	毒攻击	毒防御	降低目标毒抵抗	瞬时效果免疫ID	持续效果免疫ID	外型ID	是否显示头顶信息板	转向模式	名字板高度	选中环大小	阴影大小	人物头像	攻击动作时间	攻击冷却时间	MaxLv	MaxExp	MaxAtt	MaxDef	MaxMag	MaxRes	MaxHP	是否在小地图上显示	势力ID	攻击特性ID	是否攻击NPC	是否播放融合，闪避，搁挡动作	外观类型	强度类型	交互方式	激活时间	战斗方式
0	段誉	1	120	2023	0	10	3	-1	8	20	1	0.1	1	0	4174	1568	4174	1568	32384	3795	0	0	2431	231	10	10	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	12	1	1	-1	100	100	set:CommonNPCHeader12 image:CommonNPCHeader12_3	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	15	10	0	0	2	1	0	0	0
1	萧峰	1	120	2023	0	10	3	-1	8	20	1	0.1	1	0	4174	1568	4174	1568	32384	3795	0	0	2431	231	10	10	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	57	1	1	-1	100	100	set:CommonNPCHeader12 image:CommonNPCHeader12_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	13	10	0	0	2	1	0	0	0
2	虚竹	1	120	2023	0	10	3	-1	8	20	1	0.1	1	0	4174	1568	4174	1568	32384	3795	0	0	2431	231	10	10	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	226	1	1	-1	100	100	set:CommonNPCHeader12 image:CommonNPCHeader12_1	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	8	10	0	0	2	1	0	0	0
4	慕容复	1	114	1926	0	10	3	-1	8	20	1	0.1	1	0	3966	1490	3966	1490	30771	3606	0	0	2310	220	10	10	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	118	1	1	-1	100	100	set:CommonNPCHeader12 image:CommonNPCHeader12_5	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	12	10	0	0	2	1	0	0	0
5	阿朱	1	25	243	0	10	3	-1	8	20	1	0.1	1	0	706	331	706	331	2996	802	0	0	246	49	3	3	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	121	1	1	-1	100	100	set:CommonNPCHeader12 image:CommonNPCHeader12_11	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	12	10	0	0	2	1	0	0	0
6	阿紫	1	25	243	0	10	3	-1	8	20	1	0.1	1	0	706	331	706	331	2996	802	0	0	246	49	3	3	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	95	1	1	-1	100	100	set:CommonNPCHeader12 image:CommonNPCHeader12_10	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	6	10	0	0	2	1	0	0	0
7	游坦之	1	105	1765	0	10	3	-1	8	20	1	0.1	1	0	3654	1373	3654	1373	26580	3322	0	0	2129	202	9	9	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	72	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_4	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	12	10	0	0	2	1	0	0	0
8	丁春秋	1	109	1830	0	10	3	-1	8	20	1	0.1	1	0	3793	1425	3793	1425	27588	3448	0	0	2210	210	9	9	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	11	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_5	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	6	10	0	0	2	1	0	0	0
9	段正明	1	120	2023	0	10	3	-1	8	20	1	0.1	1	0	4174	1568	4174	1568	32384	3795	0	0	2431	231	10	10	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	125	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_6	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	15	10	0	0	2	1	0	0	0
10	段正淳	1	81	1326	0	10	3	-1	8	20	1	0.1	1	0	2371	1060	2371	1060	17794	2566	0	0	1645	156	7	7	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	124	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_7	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	15	10	0	0	2	1	0	0	0
11	苏轼	1	55	708	0	10	3	-1	8	20	1	0.1	1	0	1614	722	1614	722	9320	1747	0	0	784	106	5	5	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	117	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_8	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	10	10	0	0	2	1	0	0	0
12	王安石	1	58	744	0	10	3	-1	8	20	1	0.1	1	0	1702	761	1702	761	9824	1842	0	0	827	112	5	5	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	116	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_9	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	10	10	0	0	2	1	0	0	0
14	韩世忠	1	94	1564	0	10	3	-1	8	20	1	0.1	1	0	3011	1230	3011	1230	22220	2976	0	0	1907	181	8	8	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	131	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_11	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	6	10	0	0	2	1	0	0	0
15	王语嫣	1	25	243	0	10	3	-1	8	20	1	0.1	1	0	706	331	706	331	2996	802	0	0	246	49	3	3	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	312	1	1	-1	100	100	set:CommonNPCHeader12 image:CommonNPCHeader12_8	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	12	10	0	0	2	1	0	0	0
16	方腊	1	102	1717	0	10	3	-1	8	20	1	0.1	1	0	3550	1334	3550	1334	25824	3228	0	0	2068	197	9	9	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	126	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_13	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	2	10	0	0	2	1	0	0	0
17	高俅	1	22	218	0	10	3	-1	8	20	1	0.1	1	0	623	292	623	292	2643	708	0	0	217	43	2	2	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	87	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_14	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	10	10	0	0	2	1	0	0	0
18	回鹘王女	1	18	158	0	10	3	-1	8	20	1	0.1	1	0	512	240	512	240	1862	582	0	0	178	35	2	2	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	245	1	1	-1	100	100	set:CommonNPCHeader8 image:CommonNPCHeader8_6	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	19	10	0	0	2	1	0	0	0
19	张玄素	1	110	1860	0	10	3	-1	8	20	1	0.1	1	0	3828	1438	3828	1438	29696	3480	0	0	2230	212	9	9	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	76	1	1	-1	100	100	set:CommonNPCHeader5 image:CommonNPCHeader5_25	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	4	10	0	0	2	1	0	0	0
20	玄慈	1	107	1798	0	10	3	-1	8	20	1	0.1	1	0	3724	1399	3724	1399	27084	3385	0	0	2169	206	9	9	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	110	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_10	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	1	10	0	0	2	1	0	0	0
21	藤原佐为	1	20	201	0	10	3	-1	8	20	1	0.1	1	0	567	266	567	266	2408	645	0	0	198	39	2	2	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	54	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_18	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	1	0	0	0
22	金左焕	1	21	210	0	10	3	-1	8	20	1	0.1	1	0	595	279	595	279	2525	676	0	0	207	41	2	2	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	20	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_19	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	1	0	0	0
24	萧远山	1	120	2023	0	10	3	-1	8	20	1	0.1	1	0	4174	1568	4174	1568	32384	3795	0	0	2431	231	10	10	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	59	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_21	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	13	10	0	0	2	1	0	0	0
25	慕容博	1	120	2023	0	10	3	-1	8	20	1	0.1	1	0	4174	1568	4174	1568	32384	3795	0	0	2431	231	10	10	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	333	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_22	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	12	10	0	0	2	1	0	0	0
27	宗赞王子	1	48	561	0	10	3	-1	8	20	1	0.1	1	0	1343	631	1343	631	7329	1527	0	0	588	93	4	4	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	78	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_24	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	1	0	0	0
29	玛拉	1	50	648	0	10	3	-1	8	20	1	0.1	1	0	1469	657	1469	657	8480	1590	0	0	714	97	5	5	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	129	1	1	-1	100	100	set:CommonNPCHeader8 image:CommonNPCHeader8_1	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	2	10	0	0	2	1	0	0	0
30	苏星河	1	92	1532	0	10	3	-1	8	20	1	0.1	1	0	2947	1204	2947	1204	21750	2913	0	0	1867	177	8	8	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	100	1	1	-1	100	100	set:CommonNPCHeader8 image:CommonNPCHeader8_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	9	10	0	0	2	1	0	0	0
31	段延庆	1	120	2023	0	10	3	-1	8	20	1	0.1	1	0	4174	1568	4174	1568	32384	3795	0	0	2431	231	10	10	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	123	1	1	-1	100	100	set:CommonNPCHeader12 image:CommonNPCHeader12_4	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	16	10	0	0	2	1	0	0	0
34	李师师	1	25	243	0	10	3	-1	8	20	1	0.1	1	0	706	331	706	331	2996	802	0	0	246	49	3	3	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	25	1	1	-1	100	100	set:CommonNPCHeader8 image:CommonNPCHeader8_8	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	12	10	0	0	2	1	0	0	0
35	天山童姥	1	120	2023	0	10	3	-1	8	20	1	0.1	1	0	4174	1568	4174	1568	32384	3795	0	0	2431	231	10	10	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	225	1	1	-1	100	100	set:CommonNPCHeader8 image:CommonNPCHeader8_9	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	8	10	0	0	2	1	0	0	0
36	钟灵	1	25	243	0	10	3	-1	8	20	1	0.1	1	0	706	331	706	331	2996	802	0	0	246	49	3	3	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	310	1	1	-1	100	100	set:CommonNPCHeader12 image:CommonNPCHeader12_13	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	15	10	0	0	2	1	0	0	0
37	梅剑	1	25	243	0	10	3	-1	8	20	1	0.1	1	0	706	331	706	331	2996	802	0	0	246	49	3	3	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	221	1	1	-1	100	100	set:CommonNPCHeader8 image:CommonNPCHeader8_11	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	8	10	0	0	2	1	0	0	0
38	银川公主	1	120	2023	0	10	3	-1	8	20	1	0.1	1	0	4174	1568	4174	1568	32384	3795	0	0	2431	231	10	10	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	353	1	1	-1	100	100	set:CommonNPCHeader12 image:CommonNPCHeader12_7	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	16	10	0	0	2	1	0	0	0
39	朱丹臣	1	50	648	0	10	3	-1	8	20	1	0.1	1	0	1469	657	1469	657	8480	1590	0	0	714	97	5	5	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	136	1	1	-1	100	100	set:CommonNPCHeader8 image:CommonNPCHeader8_13	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	15	10	0	0	2	1	0	0	0
40	云中鹤	1	70	1065	0	10	3	-1	8	20	1	0.1	1	0	2051	917	2051	917	14208	2220	0	0	1281	135	6	6	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	73	1	1	-1	100	100	set:CommonNPCHeader8 image:CommonNPCHeader8_14	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	16	10	0	0	2	1	0	0	0
41	叶二娘	1	72	1094	0	10	3	-1	8	20	1	0.1	1	0	2109	943	2109	943	14611	2283	0	0	1317	139	6	6	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	70	1	1	-1	100	100	set:CommonNPCHeader8 image:CommonNPCHeader8_15	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	16	10	0	0	2	1	0	0	0
42	毕昇	1	20	201	0	10	3	-1	8	20	1	0.1	1	0	567	266	567	266	2408	645	0	0	198	39	2	2	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	5	1	1	-1	100	100	set:CommonNPCHeader8 image:CommonNPCHeader8_16	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	12	10	0	0	2	1	0	0	0
44	阿碧	1	25	243	0	10	3	-1	8	20	1	0.1	1	0	706	331	706	331	2996	802	0	0	246	49	3	3	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	120	1	1	-1	100	100	set:CommonNPCHeader12 image:CommonNPCHeader12_12	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	12	10	0	0	2	1	0	0	0
45	孟青青	1	99	1643	0	10	3	-1	8	20	1	0.1	1	0	3171	1295	3171	1295	23396	3133	0	0	2008	191	8	8	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	217	1	1	-1	100	100	set:CommonNPCHeader8 image:CommonNPCHeader8_19	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	5	10	0	0	2	1	0	0	0
48	红玉	1	50	648	0	10	3	-1	8	20	1	0.1	1	0	1469	657	1469	657	8480	1590	0	0	714	97	5	5	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	134	1	1	-1	100	100	set:CommonNPCHeader8 image:CommonNPCHeader8_22	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	6	10	0	0	2	1	0	0	0
49	秦红棉	1	75	1137	0	10	3	-1	8	20	1	0.1	1	0	2196	982	2196	982	15216	2377	0	0	1372	145	7	7	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	37	1	1	-1	100	100	set:CommonNPCHeader12 image:CommonNPCHeader12_9	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	15	10	0	0	2	1	0	0	0
50	冯阿三	1	50	648	0	10	3	-1	8	20	1	0.1	1	0	1469	657	1469	657	8480	1590	0	0	714	97	5	5	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	130	1	1	-1	100	100	set:CommonNPCHeader9 image:CommonNPCHeader9_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	9	10	0	0	2	1	0	0	0
51	赫连铁树	1	30	326	0	10	3	-1	8	20	1	0.1	1	0	844	396	844	396	4096	960	0	0	294	58	3	3	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	200	1	1	-1	100	100	set:CommonNPCHeader5 image:CommonNPCHeader5_19	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	16	10	0	0	2	1	0	0	0
52	萧蔷	1	65	910	0	10	3	-1	8	20	1	0.1	1	0	1905	852	1905	852	12100	2062	0	0	1058	126	6	6	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	17	1	1	-1	100	100	set:CommonNPCHeader8 image:CommonNPCHeader8_8	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	14	10	0	0	2	1	0	0	0
53	张函芝	1	50	648	0	10	3	-1	8	20	1	0.1	1	0	1469	657	1469	657	8480	1590	0	0	714	97	5	5	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	347	1	1	-1	100	100	set:CommonNPCHeader8 image:CommonNPCHeader8_7	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	4	10	0	0	2	1	0	0	0
54	佛印	1	88	1435	0	10	3	-1	8	20	1	0.1	1	0	2575	1151	2575	1151	19323	2787	0	0	1786	170	8	8	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	94	1	1	-1	100	100	set:CommonNPCHeader6 image:CommonNPCHeader6_19	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	3	10	0	0	2	1	0	0	0
55	林世长	1	101	1701	0	10	3	-1	8	20	1	0.1	1	0	3516	1321	3516	1321	25572	3196	0	0	2048	195	9	9	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	363	1	0	-1	100	100	set:CommonNPCHeader8 image:CommonNPCHeader8_20	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	2	10	0	0	2	1	0	0	0
56	岳老三	1	70	1065	0	10	3	-1	8	20	1	0.1	1	0	2051	917	2051	917	14208	2220	0	0	1281	135	6	6	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	348	1	1	-1	100	100	set:FightNPCHeader4 image:FightNPCHeader4_8	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	16	10	0	0	2	1	0	0	0
57	赵天师	1	25	243	0	10	3	-1	8	20	1	0.1	1	0	706	331	706	331	2996	802	0	0	246	49	3	3	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	2539	1	1	-1	100	100	set:CommonNPCHeader16 image:CommonNPCHeader16_20	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	0	10	0	0	2	1	0	0	0
58	阿菲	1	65	910	0	10	3	-1	8	20	1	0.1	1	0	1905	852	1905	852	12100	2062	0	0	1058	126	6	6	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	387	1	1	-1	100	100	set:CommonNPCHeader7 image:CommonNPCHeader7_10	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	14	10	0	0	2	1	0	0	0
59	悠悠	1	50	648	0	10	3	-1	8	20	1	0.1	1	0	1469	657	1469	657	8480	1590	0	0	714	97	5	5	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	387	1	1	-1	100	100	set:CommonNPCHeader7 image:CommonNPCHeader7_10	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	12	10	0	0	2	1	0	0	0
60	夏青青	1	50	648	0	10	3	-1	8	20	1	0.1	1	0	1469	657	1469	657	8480	1590	0	0	714	97	5	5	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1945	1	1	-1	100	100	set:CommonNPCHeader8 image:CommonNPCHeader8_22	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	6	10	0	0	2	1	0	0	0
61	于倩倩	1	50	648	0	10	3	-1	8	20	1	0.1	1	0	1469	657	1469	657	8480	1590	0	0	714	97	5	5	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1945	1	1	-1	100	100	set:CommonNPCHeader8 image:CommonNPCHeader8_22	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	6	10	0	0	2	1	0	0	0
