INT	STRING	STRING	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT
scriptID	策划用	策划用	出生坐标数量	x0	z0	dir0	x1	z1	dir1	x2	z2	dir2	x3	z3	dir3	x4	z4	dir4	x5	z5	dir5	x6	z6	dir6	x7	z7	dir7	x8	z8	dir8	x9	z9	dir9	x10	z10	dir10	x11	z11	dir11	x12	z12	dir12	x13	z13	dir13	x14	z14	dir14	x15	z15	dir15
320301	嵩山精英怪物	[头目]恶猿	4	64	98	0	58	105	0	86	138	0	92	124	0																																				
320302	嵩山精英怪物	[头目]白额虎	4	50	179	0	56	216	0	86	199	0	109	249	0																																				
320303	嵩山精英怪物	[头目]遗弃木人	4	89	74	0	77	67	0	104	41	0	124	64	0																																				
320304	嵩山精英怪物	[头目]颍水狼	4	196	193	0	166	157	0	129	199	0	173	249	0																																				
320305	嵩山精英怪物	[头目]遗弃铜人	4	246	239	0	237	274	0	207	260	0	239	247	0																																				
320306	嵩山精英怪物	[头目]卢崖铜人	4	280	202	0	255	214	0	278	233	0	258	177	0																																				
320601	无量山精英怪物	[首领]高山白猿	2	91	153	0	66	148	0																																										
320602	无量山精英怪物	[首领]大黄蜂	2	54	250	0	58	266	0																																										
320603	无量山精英怪物	[首领]闪电豹	2	164	70	0	154	42	0																																										
320604	无量山精英怪物	[首领]山蛛	2	108	190	0	152	172	0																																										
320605	无量山宝宝怪物	[头目]高山白猿	2	91	153	0	66	148	0																																										
320606	无量山宝宝怪物	[头目]大黄蜂	2	54	250	0	58	266	0																																										
320607	无量山宝宝怪物	[头目]闪电豹	2	164	70	0	154	42	0																																										
