INT	INT
宠物携带等级	升级经验
1	5000
2	5000
3	5000
4	5000
5	5000
6	6000
7	6000
8	6000
9	6000
10	6000
11	6000
12	6000
13	6000
14	6000
15	6000
16	7000
17	7000
18	7000
19	7000
20	7000
21	7000
22	7000
23	7000
24	7000
25	7000
26	10000
27	10000
28	10000
29	10000
30	10000
31	10000
32	10000
33	10000
34	10000
35	10000
36	15000
37	15000
38	15000
39	15000
40	15000
41	15000
42	15000
43	15000
44	15000
45	15000
46	25000
47	25000
48	25000
49	25000
50	25000
51	25000
52	25000
53	25000
54	25000
55	25000
56	40000
57	40000
58	40000
59	40000
60	40000
61	40000
62	40000
63	40000
64	40000
65	40000
66	55000
67	55000
68	55000
69	55000
70	55000
71	55000
72	55000
73	55000
74	55000
75	55000
76	70000
77	70000
78	70000
79	70000
80	70000
81	70000
82	70000
83	70000
84	70000
85	70000
86	85000
87	85000
88	85000
89	85000
90	85000
91	85000
92	85000
93	85000
94	85000
95	85000
96	100000
97	100000
98	100000
99	100000
100	100000
101	100000
102	100000
103	100000
104	100000
105	100000
106	115000
107	115000
108	115000
109	115000
110	115000
111	115000
112	115000
113	115000
114	115000
115	115000
116	130000
117	130000
118	130000
119	130000
120	130000
121	130000
122	130000
123	130000
124	130000
125	130000
126	145000
127	145000
128	145000
129	145000
130	145000
131	145000
132	145000
133	145000
134	145000
135	145000
136	160000
137	160000
138	160000
139	160000
140	160000
141	160000
142	160000
143	160000
144	160000
145	160000
146	175000
147	175000
148	175000
149	175000
150	175000
151	175000
152	175000
153	175000
154	175000
155	175000
