INT	INT
宠物等级	升级经验
1	1	
2	3	
3	6	
4	11	
5	17	
6	26	
7	36	
8	49	
9	56	
10	60	
11	65	
12	72	
13	79	
14	90	
15	104	
16	119	
17	139	
18	163	
19	193	
20	203	
21	241	
22	284	
23	334	
24	391	
25	459	
26	540	
27	629	
28	728	
29	836	
30	865	
31	1009	
32	1165	
33	1333	
34	1513	
35	1705	
36	1910	
37	2006	
38	2225	
39	2382	
40	2459	
41	2699	
42	2955	
43	3228	
44	3517	
45	3823	
46	4147	
47	4339	
48	4606	
49	4793	
50	4971	
51	5139	
52	5405	
53	5789	
54	6190	
55	6610	
56	6767	
57	7207	
58	7665	
59	8143	
60	8640	
61	8775	
62	9290	
63	9824	
64	10379	
65	10716	
66	11074	
67	11738	
68	12474	
69	13283	
70	13524	
71	14444	
72	15441	
73	16517	
74	17675	
75	18073	
76	19454	
77	20980	
78	22656	
79	24486	
80	25611	
81	27636	
82	30934	
83	35767	
84	42280	
85	50496	
86	60305	
87	71459	
88	83565	
89	96079	
90	108293	
91	119337	
92	128163	
93	133542	
94	147465	
95	160126	
96	170776	
97	178567	
98	208624	
99	242202	
100	246051	
101	250005	
102	254065	
103	258234	
104	262513	
105	266906	
106	271414	
107	276039	
108	280784	
109	285650	
110	290641	
111	295757	
112	301001	
113	306376	
114	311883	
115	317525	
116	323304	
117	329222	
118	335280	
119	341482	
120	347830	
121	354325	
122	360970	
123	367767	
124	374717	
125	381825	
126	389090	
127	396516	
128	404105	
129	411858	
130	419779	
131	427869	
132	436130	
133	444565	
134	453175	
135	461964	
136	470932	
137	480083	
138	489417	
139	498939	
140	508648	
141	518549	
142	528643	
143	538931	
144	549418	
145	579435	
146	613261	
147	651183	
148	693493	
149	740490	
150	740490	
151	740490	
152	740490	
153	740490	
154	740490	
155	740490	
