INT	INT	INT
需要合成的灵兽丹ID	合成后的灵兽丹ID（暂不开放的填 -1）	需要消耗的金钱
30503025	30503026	4000
30503026	30503027	5000
30503027	-1	6000
30503028	-1	7000
30503029	-1	8000
30503030	-1	9000
30503031	-1	10000
30503032	-1	11000
30503033	-1	12000
30503034	30503035	4000
30503035	30503036	5000
30503036	-1	6000
30503037	-1	7000
30503038	-1	8000
30503039	-1	9000
30503040	-1	10000
30503041	-1	11000
30503042	-1	12000
30503043	30503044	4000
30503044	30503045	5000
30503045	-1	6000
30503046	-1	7000
30503047	-1	8000
30503048	-1	9000
30503049	-1	10000
30503050	-1	11000
30503051	-1	12000
30503052	30503053	4000
30503053	30503054	5000
30503054	-1	6000
30503055	-1	7000
30503056	-1	8000
30503057	-1	9000
30503058	-1	10000
30503059	-1	11000
30503060	-1	12000
30503061	30503062	4000
30503062	30503063	5000
30503063	-1	6000
30503064	-1	7000
30503065	-1	8000
30503066	-1	9000
30503067	-1	10000
30503068	-1	11000
30503069	-1	12000
30503070	30503071	4000
30503071	30503072	5000
30503072	-1	6000
30503073	-1	7000
30503074	-1	8000
30503075	-1	9000
30503076	-1	10000
30503077	-1	11000
30503078	-1	12000
30503079	30503080	4000
30503080	30503081	5000
30503081	-1	6000
30503082	-1	7000
30503083	-1	8000
30503084	-1	9000
30503085	-1	10000
30503086	-1	11000
30503087	-1	12000
30503088	30503089	4000
30503089	30503090	5000
30503090	-1	6000
30503091	-1	7000
30503092	-1	8000
30503093	-1	9000
30503094	-1	10000
30503095	-1	11000
30503096	-1	12000
30503097	30503098	4000
30503098	30503099	5000
30503099	-1	6000
30503100	-1	7000
30503101	-1	8000
30503102	-1	9000
30503103	-1	10000
30503104	-1	11000
30503105	-1	12000
30503106	30503107	4000
30503107	30503108	5000
30503108	-1	6000
30503109	-1	7000
30503110	-1	8000
30503111	-1	9000
30503112	-1	10000
30503113	-1	11000
30503114	-1	12000
