INT	INT
珍兽技能书的物品ID	珍兽技能书所对应的技能ID
30402001	652
30402002	653
30402003	654
30402004	655
30402005	656
30402006	657
30402007	658
30402008	659
30402009	660
30402010	661
30402011	662
30402012	663
30402013	664
30402014	665
30402015	666
30402016	667
30402017	668
30402018	669
30402019	670
30402020	671
30402021	672
30402022	673
30402023	674
30402024	675
30402025	676
30402026	677
30402027	678
30402028	679
30402029	680
30402030	681
30402031	682
30402032	683
30402033	684
30402034	685
30402035	686
30402036	687
30402037	688
30402038	689
30402039	690
30402040	691
30402041	692
30402042	693
30402043	694
30402044	695
30402045	696
30402046	697
30402047	698
30402048	699
30402049	700
30402050	701
30402051	702
30402052	703
30402053	704
30402054	705
30402055	706
30402056	707
30402057	708
30402058	709
30402059	710
30402060	711
30402061	712
30402062	713
30402063	714
30402064	715
30402065	716
30402066	717
30402067	718
30402068	719
30402069	720
30402070	721
30402071	722
30402072	723
30402073	724
30402074	725
30402075	730
30402076	731
30402077	732
30402078	733
30402079	734
30402080	735
30402081	736
30402082	737
30402083	738
30402084	739
30402085	740
30402086	741
30402087	742
30402088	743
30402089	744
30402090	745
30402091	726
30402092	727
30402093	728
30402094	729
30402095	747
30402096	752
30402097	753
30402098	754
30402099	755
