INT	INT	INT	INT	STRING	INT	STRING	STRING
ID(递增)	CLASS	LEVEL	槽位（未实现）	称号（限长20个CHAR）$1$	有效期（小时，未实现）	COLOR	描述$1$
0	0	1	-1	天灵兽	-1	#e195e1a#c72d27c	[已废弃]珍兽初级悟性称号#r天御之息，皎皎圣灵。
1	0	2	-1	天灵兽	-1	#e195e1a#c72d27c	[已废弃]珍兽初级悟性称号#r天御之息，皎皎圣灵。
2	0	3	-1	天灵兽	-1	#e195e1a#c72d27c	[已废弃]珍兽初级悟性称号#r天御之息，皎皎圣灵。
3	0	4	-1	天灵兽	-1	#e195e1a#c72d27c	[已废弃]珍兽初级悟性称号#r天御之息，皎皎圣灵。
4	0	5	-1	天灵兽	-1	#e195e1a#c72d27c	[已废弃]珍兽初级悟性称号#r天御之息，皎皎圣灵。
5	0	6	-1	天灵兽	-1	#e195e1a#c72d27c	[已废弃]珍兽初级悟性称号#r天御之息，皎皎圣灵。
6	0	7	-1	神噬仙兽	-1	#ebb3e9f#cfd94b0	[已废弃]珍兽高级悟性称号#r圣霄惊鸿，仙魂庇护。
7	0	8	-1	神噬仙兽	-1	#ebb3e9f#cfd94b0	[已废弃]珍兽高级悟性称号#r圣霄惊鸿，仙魂庇护。
8	0	9	-1	神噬仙兽	-1	#ebb3e9f#cfd94b0	[已废弃]珍兽高级悟性称号#r圣霄惊鸿，仙魂庇护。
9	0	10	-1	神噬仙兽	-1	#ebb3e9f#cfd94b0	[已废弃]珍兽高级悟性称号#r圣霄惊鸿，仙魂庇护。
10	1	0	-1	风灵兽	-1	#e195e1a#c72d27c	[已废弃]珍兽初级资质称号#r闻风而行，心有灵犀。
11	1	1	-1	风灵兽	-1	#e195e1a#c72d27c	[已废弃]珍兽初级资质称号#r闻风而行，心有灵犀。
12	1	2	-1	风灵兽	-1	#e195e1a#c72d27c	[已废弃]珍兽初级资质称号#r闻风而行，心有灵犀。
13	1	3	-1	风灵兽	-1	#e195e1a#c72d27c	[已废弃]珍兽初级资质称号#r闻风而行，心有灵犀。
14	1	4	-1	风灵兽	-1	#e195e1a#c72d27c	[已废弃]珍兽初级资质称号#r闻风而行，心有灵犀。
15	1	5	-1	风灵兽	-1	#e195e1a#c72d27c	[已废弃]珍兽初级资质称号#r闻风而行，心有灵犀。
16	1	6	-1	云荒神兽	-1	#ebb3e9f#cfd94b0	[已废弃]珍兽高级资质称号#r腾云飘渺，八荒之神。
17	1	7	-1	云荒神兽	-1	#ebb3e9f#cfd94b0	[已废弃]珍兽高级资质称号#r腾云飘渺，八荒之神。
18	1	8	-1	云荒神兽	-1	#ebb3e9f#cfd94b0	[已废弃]珍兽高级资质称号#r腾云飘渺，八荒之神。
19	1	9	-1	云荒神兽	-1	#ebb3e9f#cfd94b0	[已废弃]珍兽高级资质称号#r腾云飘渺，八荒之神。
20	2	1	-1	地灵兽	-1	#e195e1a#c72d27c	[已废弃]珍兽初级成长率称号#r地藏慈悲，纯灵之善。
21	2	2	-1	地灵兽	-1	#e195e1a#c72d27c	[已废弃]珍兽初级成长率称号#r地藏慈悲，纯灵之善。
22	2	3	-1	地灵兽	-1	#e195e1a#c72d27c	[已废弃]珍兽初级成长率称号#r地藏慈悲，纯灵之善。
23	2	4	-1	神殇仙兽	-1	#ebb3e9f#cfd94b0	[已废弃]珍兽高级成长率称号#r苍穹九魄，神赐之兽。
24	2	5	-1	神殇仙兽	-1	#ebb3e9f#cfd94b0	[已废弃]珍兽高级成长率称号#r苍穹九魄，神赐之兽。
100001	3	100	-1	灵兽	-1	#e195e1a#c72d27c	#Y资质#G卓尔不群#Y的珍兽才能获得此称号。
100002	3	200	-1	圣兽	-1	#e195e1a#c72d27c	#Y资质#G超凡脱俗#Y的珍兽才能获得此称号。
100003	3	300	-1	仙兽	-1	#e195e1a#c72d27c	#Y资质#G天下无双#Y的珍兽才能获得此称号。
100004	3	400	-1	神兽	-1	#ebb3e9f#cfd94b0	#Y资质#G震古烁今#Y的珍兽才能获得此称号。
100010	3	111	-1	地兽	-1	#e195e1a#c72d27c	#Y成长#G卓尔不群#Y的珍兽才能获得此称号。
100011	3	211	-1	地灵兽	-1	#e195e1a#c72d27c	#Y成长、资质#G卓尔不群#Y的珍兽才能获得此称号。
100012	3	311	-1	地圣兽	-1	#e195e1a#c72d27c	#Y成长#G卓尔不群#Y，资质#G超凡脱俗#Y的珍兽才能获得此称号。
100013	3	411	-1	地仙兽	-1	#ebb3e9f#cfd94b0	#Y成长#G卓尔不群#Y，资质#G天下无双#Y的珍兽才能获得此称号。
100014	3	511	-1	地神兽	-1	#ebb3e9f#cfd94b0	#Y成长#G卓尔不群#Y，资质#G震古烁今#Y的珍兽才能获得此称号。
100020	3	222	-1	天兽	-1	#e195e1a#c72d27c	#Y成长#G超凡脱俗#Y的珍兽才能获得此称号。
100021	3	322	-1	天灵兽	-1	#e195e1a#c72d27c	#Y成长#G超凡脱俗#Y，资质#G卓尔不群#Y的珍兽才能获得此称号。
