INT	INT	INT	INT
index	classID（和RecycleItemClass.txt里id对应）	typeID（和RecycleItemType.txt里typeid对应）	物品id(commonitem表的id)
0	1	1	20103001
1	1	1	20103002
2	1	1	20103003
3	1	1	20103004
4	1	1	20103005
5	1	1	20103006
6	1	1	20103007
7	1	1	20103008
8	1	1	20103009
9	1	1	20103118
10	1	1	20103010
11	1	1	20103119
12	1	1	20103011
13	1	1	20103120
14	1	1	20103012
15	1	1	20103121
16	1	2	20103061
17	1	2	20103062
18	1	2	20103063
19	1	2	20103064
20	1	2	20103065
21	1	2	20103066
22	1	2	20103067
23	1	2	20103068
24	1	2	20103069
25	1	2	20103070
26	1	2	20103071
27	1	2	20103072
28	1	3	20103097
29	1	3	20103098
30	1	3	20103099
31	2	1	20102001
32	2	1	20102002
33	2	1	20102003
34	2	1	20102004
35	2	1	20102005
36	2	1	20102006
37	2	1	20102007
38	2	1	20102008
39	2	1	20102009
40	2	1	20102040
41	2	1	20102010
42	2	1	20102041
43	2	1	20102011
44	2	1	20102042
45	2	1	20102012
46	2	1	20102043
47	2	1	20102013
48	2	1	20102014
49	2	1	20102015
50	2	1	20102016
51	2	1	20102017
52	2	1	20102018
53	2	1	20102019
54	2	1	20102020
55	2	1	20102021
56	2	1	20102044
57	2	1	20102022
58	2	1	20102045
59	2	1	20102023
60	2	1	20102046
61	2	1	20102024
62	2	1	20102047
63	2	2	20104001
64	2	2	20104002
65	2	2	20104003
66	2	2	20104004
67	2	2	20104005
68	2	2	20104006
69	2	2	20104007
70	2	2	20104008
71	2	2	20104009
72	2	2	20104010
73	2	2	20104011
74	2	2	20104012
75	2	3	20106001
76	2	3	20106002
77	2	3	20106003
78	2	3	20106004
79	2	3	20106005
80	2	3	20106006
81	2	3	20106007
82	2	3	20106008
83	2	3	20106009
84	2	3	20106010
85	2	3	20106011
86	2	3	20106012
87	2	4	20105013
88	2	4	20105014
89	2	4	20105015
90	2	4	20105016
91	2	4	20105017
92	2	4	20105018
93	2	4	20105019
94	2	4	20105020
95	2	4	20105021
96	2	4	20105022
97	2	4	20105023
98	2	4	20105024
99	2	5	20102025
100	2	5	20102026
101	2	5	20102027
102	2	5	20102028
103	2	5	20102029
104	2	5	20102030
105	2	5	20102031
106	2	5	20102032
107	2	5	20102033
108	2	5	20102048
109	2	5	20102034
110	2	5	20102049
111	2	5	20102035
112	2	5	20102050
113	2	5	20102036
114	2	5	20102051
115	3	1	20101001
116	3	1	20101002
117	3	1	20101003
118	3	1	20101004
119	3	1	20101005
120	3	1	20101006
121	3	1	20101007
122	3	1	20101008
123	3	1	20101009
124	3	1	20101010
125	3	1	20101011
126	3	1	20101012
127	3	1	20101013
128	3	1	20101014
129	3	1	20101015
130	3	1	20101016
131	3	1	20101017
132	3	1	20101018
133	3	1	20101019
134	3	1	20101020
135	3	1	20101021
136	3	1	20101022
137	3	1	20101023
138	3	1	20101024
139	3	1	20101025
140	3	1	20101026
141	3	1	20101027
142	3	1	20101028
143	3	1	20101029
144	3	1	20101030
145	3	2	20304005
146	3	2	20304006
147	3	2	20304007
148	3	2	20304008
149	3	2	20304009
150	3	2	20304010
151	3	2	20304011
152	3	2	20304012
153	3	2	20304013
154	3	2	20304014
155	3	2	20304015
156	3	2	20304016
157	3	3	20108169
158	3	3	20108170
159	3	3	20108171
160	3	3	20108172
161	3	3	20108173
162	3	3	20108174
163	3	3	20108175
164	3	3	20108176
165	3	3	20108177
166	3	3	20108178
167	3	3	20108179
168	3	3	20108180
169	3	4	20108157
170	3	4	20108158
171	3	4	20108159
172	3	4	20108160
173	3	4	20108161
174	3	4	20108162
175	3	4	20108163
176	3	4	20108164
177	3	4	20108165
178	3	4	20108166
179	3	4	20108167
180	3	4	20108168
181	4	1	20105001
182	4	1	20105002
183	4	1	20105003
