INT	INT	INT	STRING
index	classID（和RecycleItemClass.txt里id对应）	typeID（自己定）	描述$1$
0	1	1	矿石
1	1	2	锻石
2	1	3	铸铁
3	2	1	鱼类
4	2	2	粮食
5	2	3	肉类
6	2	4	调料
7	2	5	烹饪辅料
8	3	1	药材
9	3	2	药引
10	3	3	药品辅料
11	3	4	药品配料
12	4	1	织物
13	4	2	纫革
14	4	3	布片
15	4	4	时装材料
16	5	1	矿石
17	5	2	炼玉
18	6	1	刀斧打造图
19	6	2	枪棒打造图
20	6	3	单短打造图
21	6	4	双短打造图
22	6	5	扇打造图
23	6	6	环打造图
24	6	7	帽子打造图
25	6	8	衣服打造图
26	6	9	手套打造图
27	6	10	鞋子打造图
28	6	11	项链打造图
29	6	12	戒指打造图
30	6	13	护符打造图
31	6	14	护腕打造图
32	6	15	护肩打造图
33	6	16	腰带打造图
34	7	1	万灵石
35	7	2	打孔材料
36	7	3	杂物
37	2	6	食材
