INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
ID	势力名称$1$	是否显示	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	"DESC,内部注释用"
0	新手	1	275000	80000	80000	80000	80000	80000	80000	80000	80000	80000	30000	30000	80000	0	0	80000	0	0	-160000	0	0	30000	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	275000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC0
1	少林	1	80000	275000	-80000	-30000	0	0	-30000	30000	80000	30000	30000	-30000	30000	-30000	30000	30000	-30000	30000	-160000	0	0	0	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC1
2	明教	1	80000	-80000	275000	0	80000	-80000	80000	-30000	0	30000	-30000	-30000	30000	30000	30000	30000	30000	30000	-160000	0	0	0	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC2
3	丐帮	1	80000	-30000	0	275000	-80000	0	0	80000	30000	0	30000	30000	30000	30000	30000	30000	-60000	30000	-160000	0	0	0	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC3
4	武当	1	80000	0	80000	-80000	275000	0	0	0	0	0	0	0	30000	0	30000	30000	0	30000	-160000	0	0	0	0	-160000	0	0	0	-160000	-160000	-160000	-160000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC4
5	峨嵋	1	80000	0	-80000	0	0	275000	0	0	80000	0	-30000	30000	30000	30000	30000	30000	30000	30000	-160000	0	0	0	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC5
6	星宿	1	80000	-30000	80000	0	0	0	275000	0	0	-80000	30000	30000	-30000	30000	-30000	30000	30000	30000	-160000	0	0	0	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC6
7	天龙	1	80000	30000	-30000	80000	0	0	0	275000	-30000	0	30000	30000	30000	30000	30000	80000	30000	30000	-160000	0	0	0	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC7
8	天山	1	80000	80000	0	30000	0	80000	0	-30000	275000	0	30000	30000	30000	30000	30000	30000	30000	30000	-160000	0	0	0	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC8
