INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
ID	NUM	ItemIndex	Contribution	MaxNum	Price	Condition	TicketPrice	AlreadyIn	ItemIndex	Contribution	MaxNum	Price	Condition	TicketPrice	AlreadyIn	ItemIndex	Contribution	MaxNum	Price	Condition	TicketPrice	AlreadyIn	ItemIndex	Contribution	MaxNum	Price	Condition	TicketPrice	AlreadyIn	ItemIndex	Contribution	MaxNum	Price	Condition	TicketPrice	AlreadyIn	ItemIndex	Contribution	MaxNum	Price	Condition	TicketPrice	AlreadyIn	ItemIndex	Contribution	MaxNum	Price	Condition	TicketPrice	AlreadyIn	ItemIndex	Contribution	MaxNum	Price	Condition	TicketPrice	AlreadyIn	ItemIndex	Contribution	MaxNum	Price	Condition	TicketPrice	AlreadyIn	ItemIndex	Contribution	MaxNum	Price	Condition	TicketPrice	AlreadyIn	ItemIndex	Contribution	MaxNum	Price	Condition	TicketPrice	AlreadyIn	ItemIndex	Contribution	MaxNum	Price	Condition	TicketPrice	AlreadyIn	ItemIndex	Contribution	MaxNum	Price	Condition	TicketPrice	AlreadyIn	ItemIndex	Contribution	MaxNum	Price	Condition	TicketPrice	AlreadyIn	ItemIndex	Contribution	MaxNum	Price	Condition	TicketPrice	AlreadyIn	ItemIndex	Contribution	MaxNum	Price	Condition	TicketPrice	AlreadyIn	ItemIndex	Contribution	MaxNum	Price	Condition	TicketPrice	AlreadyIn	ItemIndex	Contribution	MaxNum	Price	Condition	TicketPrice	AlreadyIn	ItemIndex	Contribution	MaxNum	Price	Condition	TicketPrice	AlreadyIn	ItemIndex	Contribution	MaxNum	Price	Condition	TicketPrice	AlreadyIn	ItemIndex	Contribution	MaxNum	Price	Condition	TicketPrice	AlreadyIn	ItemIndex	Contribution	MaxNum	Price	Condition	TicketPrice	AlreadyIn	ItemIndex	Contribution	MaxNum	Price	Condition	TicketPrice	AlreadyIn	ItemIndex	Contribution	MaxNum	Price	Condition	TicketPrice	AlreadyIn	ItemIndex	Contribution	MaxNum	Price	Condition	TicketPrice	AlreadyIn	ItemIndex	Contribution	MaxNum	Price	Condition	TicketPrice	AlreadyIn	ItemIndex	Contribution	MaxNum	Price	Condition	TicketPrice	AlreadyIn	ItemIndex	Contribution	MaxNum	Price	Condition	TicketPrice	AlreadyIn	ItemIndex	Contribution	MaxNum	Price	Condition	TicketPrice	AlreadyIn	ItemIndex	Contribution	MaxNum	Price	Condition	TicketPrice	AlreadyIn	ItemIndex	Contribution	MaxNum	Price	Condition	TicketPrice	AlreadyIn	ItemIndex	Contribution	MaxNum	Price	Condition	TicketPrice	AlreadyIn	ItemIndex	Contribution	MaxNum	Price	Condition	TicketPrice	AlreadyIn	ItemIndex	Contribution	MaxNum	Price	Condition	TicketPrice	AlreadyIn	ItemIndex	Contribution	MaxNum	Price	Condition	TicketPrice
1	18	30302006	30	1	3000	56	0	0	30302016	30	1	3000	56	0	0	30302026	30	1	3000	56	0	0	30301006	30	1	3000	56	0	0	30301016	30	1	3000	56	0	0	30301026	30	1	3000	56	0	0	30301036	30	1	3000	56	0	0	30301046	30	1	3000	56	0	0	30301056	30	1	3000	56	0	0	30301066	30	1	3000	56	0	0	30301076	30	1	3000	56	0	0	30301086	30	1	3000	56	0	0	30301096	30	1	3000	56	0	0	30301106	30	1	3000	56	0	0	30301116	30	1	3000	56	0	0	30301126	30	1	3000	56	0	0	30301136	30	1	3000	56	0	0	30301146	30	1	3000	56	0	0	0	30	1	3000	56	0	0	0	30	1	3000	56	0	0	0	30	1	3000	56	0	0	0	30	1	3000	56	0	0	0	30	1	3000	56	0	0	0	30	1	3000	56	0	0	0	30	1	3000	56	0	0	0	30	1	3000	56	0	0	0	30	1	3000	56	0	0	0	30	1	3000	56	0	0	0	30	1	3000	56	0	0	0	30	1	3000	56	0	0	0	30	1	3000	56	0	0	0	30	1	3000	56	0	0	0	30	1	3000	56	0	0	0	30	1	3000	56	0	0	0	30	1	3000	56	0
2	18	30302007	42	1	4200	57	0	0	30302017	42	1	4200	57	0	0	30302027	42	1	4200	57	0	0	30301007	42	1	4200	57	0	0	30301017	42	1	4200	57	0	0	30301027	42	1	4200	57	0	0	30301037	42	1	4200	57	0	0	30301047	42	1	4200	57	0	0	30301057	42	1	4200	57	0	0	30301067	42	1	4200	57	0	0	30301077	42	1	4200	57	0	0	30301087	42	1	4200	57	0	0	30301097	42	1	4200	57	0	0	30301107	42	1	4200	57	0	0	30301117	42	1	4200	57	0	0	30301127	42	1	4200	57	0	0	30301137	42	1	4200	57	0	0	30301147	42	1	4200	57	0	0	0	42	1	4200	57	0	0	0	42	1	4200	57	0	0	0	42	1	4200	57	0	0	0	42	1	4200	57	0	0	0	42	1	4200	57	0	0	0	42	1	4200	57	0	0	0	42	1	4200	57	0	0	0	42	1	4200	57	0	0	0	42	1	4200	57	0	0	0	42	1	4200	57	0	0	0	42	1	4200	57	0	0	0	42	1	4200	57	0	0	0	42	1	4200	57	0	0	0	42	1	4200	57	0	0	0	42	1	4200	57	0	0	0	42	1	4200	57	0	0	0	42	1	4200	57	0
3	18	30302008	56	1	5600	58	0	0	30302018	56	1	5600	58	0	0	30302028	56	1	5600	58	0	0	30301008	56	1	5600	58	0	0	30301018	56	1	5600	58	0	0	30301028	56	1	5600	58	0	0	30301038	56	1	5600	58	0	0	30301048	56	1	5600	58	0	0	30301058	56	1	5600	58	0	0	30301068	56	1	5600	58	0	0	30301078	56	1	5600	58	0	0	30301088	56	1	5600	58	0	0	30301098	56	1	5600	58	0	0	30301108	56	1	5600	58	0	0	30301118	56	1	5600	58	0	0	30301128	56	1	5600	58	0	0	30301138	56	1	5600	58	0	0	30301148	56	1	5600	58	0	0	0	56	1	5600	58	0	0	0	56	1	5600	58	0	0	0	56	1	5600	58	0	0	0	56	1	5600	58	0	0	0	56	1	5600	58	0	0	0	56	1	5600	58	0	0	0	56	1	5600	58	0	0	0	56	1	5600	58	0	0	0	56	1	5600	58	0	0	0	56	1	5600	58	0	0	0	56	1	5600	58	0	0	0	56	1	5600	58	0	0	0	56	1	5600	58	0	0	0	56	1	5600	58	0	0	0	56	1	5600	58	0	0	0	56	1	5600	58	0	0	0	56	1	5600	58	0
4	18	30302009	72	1	7200	59	0	0	30302019	72	1	7200	59	0	0	30302029	72	1	7200	59	0	0	30301009	72	1	7200	59	0	0	30301019	72	1	7200	59	0	0	30301029	72	1	7200	59	0	0	30301039	72	1	7200	59	0	0	30301049	72	1	7200	59	0	0	30301059	72	1	7200	59	0	0	30301069	72	1	7200	59	0	0	30301079	72	1	7200	59	0	0	30301089	72	1	7200	59	0	0	30301099	72	1	7200	59	0	0	30301109	72	1	7200	59	0	0	30301119	72	1	7200	59	0	0	30301129	72	1	7200	59	0	0	30301139	72	1	7200	59	0	0	30301149	72	1	7200	59	0	0	0	72	1	7200	59	0	0	0	72	1	7200	59	0	0	0	72	1	7200	59	0	0	0	72	1	7200	59	0	0	0	72	1	7200	59	0	0	0	72	1	7200	59	0	0	0	72	1	7200	59	0	0	0	72	1	7200	59	0	0	0	72	1	7200	59	0	0	0	72	1	7200	59	0	0	0	72	1	7200	59	0	0	0	72	1	7200	59	0	0	0	72	1	7200	59	0	0	0	72	1	7200	59	0	0	0	72	1	7200	59	0	0	0	72	1	7200	59	0	0	0	72	1	7200	59	0
5	18	30302010	90	1	9000	60	0	0	30302020	90	1	9000	60	0	0	30302030	90	1	9000	60	0	0	30301010	90	1	9000	60	0	0	30301020	90	1	9000	60	0	0	30301030	90	1	9000	60	0	0	30301040	90	1	9000	60	0	0	30301050	90	1	9000	60	0	0	30301060	90	1	9000	60	0	0	30301070	90	1	9000	60	0	0	30301080	90	1	9000	60	0	0	30301090	90	1	9000	60	0	0	30301100	90	1	9000	60	0	0	30301110	90	1	9000	60	0	0	30301120	90	1	9000	60	0	0	30301130	90	1	9000	60	0	0	30301140	90	1	9000	60	0	0	30301150	90	1	9000	60	0	0	0	90	1	9000	60	0	0	0	90	1	9000	60	0	0	0	90	1	9000	60	0	0	0	90	1	9000	60	0	0	0	90	1	9000	60	0	0	0	90	1	9000	60	0	0	0	90	1	9000	60	0	0	0	90	1	9000	60	0	0	0	90	1	9000	60	0	0	0	90	1	9000	60	0	0	0	90	1	9000	60	0	0	0	90	1	9000	60	0	0	0	90	1	9000	60	0	0	0	90	1	9000	60	0	0	0	90	1	9000	60	0	0	0	90	1	9000	60	0	0	0	90	1	9000	60	0
6	6	30300006	30	1	3000	61	0	0	30300016	30	1	3000	61	0	0	30300026	30	1	3000	61	0	0	30300036	30	1	3000	61	0	0	30300046	30	1	3000	61	0	0	30300056	30	1	3000	61	0	0	0	30	1	3000	61	0	0	0	30	1	3000	61	0	0	0	30	1	3000	61	0	0	0	30	1	3000	61	0	0	0	30	1	3000	61	0	0	0	30	1	3000	61	0	0	0	30	1	3000	61	0	0	0	30	1	3000	61	0	0	0	30	1	3000	61	0	0	0	30	1	3000	61	0	0	0	30	1	3000	61	0	0	0	30	1	3000	61	0	0	0	30	1	3000	61	0	0	0	30	1	3000	61	0	0	0	30	1	3000	61	0	0	0	30	1	3000	61	0	0	0	30	1	3000	61	0	0	0	30	1	3000	61	0	0	0	30	1	3000	61	0	0	0	30	1	3000	61	0	0	0	30	1	3000	61	0	0	0	30	1	3000	61	0	0	0	30	1	3000	61	0	0	0	30	1	3000	61	0	0	0	30	1	3000	61	0	0	0	30	1	3000	61	0	0	0	30	1	3000	61	0	0	0	30	1	3000	61	0	0	0	30	1	3000	61	0
7	6	30300007	42	1	4200	62	0	0	30300017	42	1	4200	62	0	0	30300027	42	1	4200	62	0	0	30300037	42	1	4200	62	0	0	30300047	42	1	4200	62	0	0	30300057	42	1	4200	62	0	0	0	42	1	4200	62	0	0	0	42	1	4200	62	0	0	0	42	1	4200	62	0	0	0	42	1	4200	62	0	0	0	42	1	4200	62	0	0	0	42	1	4200	62	0	0	0	42	1	4200	62	0	0	0	42	1	4200	62	0	0	0	42	1	4200	62	0	0	0	42	1	4200	62	0	0	0	42	1	4200	62	0	0	0	42	1	4200	62	0	0	0	42	1	4200	62	0	0	0	42	1	4200	62	0	0	0	42	1	4200	62	0	0	0	42	1	4200	62	0	0	0	42	1	4200	62	0	0	0	42	1	4200	62	0	0	0	42	1	4200	62	0	0	0	42	1	4200	62	0	0	0	42	1	4200	62	0	0	0	42	1	4200	62	0	0	0	42	1	4200	62	0	0	0	42	1	4200	62	0	0	0	42	1	4200	62	0	0	0	42	1	4200	62	0	0	0	42	1	4200	62	0	0	0	42	1	4200	62	0	0	0	42	1	4200	62	0
8	6	30300008	56	1	5600	63	0	0	30300018	56	1	5600	63	0	0	30300028	56	1	5600	63	0	0	30300038	56	1	5600	63	0	0	30300048	56	1	5600	63	0	0	30300058	56	1	5600	63	0	0	0	56	1	5600	63	0	0	0	56	1	5600	63	0	0	0	56	1	5600	63	0	0	0	56	1	5600	63	0	0	0	56	1	5600	63	0	0	0	56	1	5600	63	0	0	0	56	1	5600	63	0	0	0	56	1	5600	63	0	0	0	56	1	5600	63	0	0	0	56	1	5600	63	0	0	0	56	1	5600	63	0	0	0	56	1	5600	63	0	0	0	56	1	5600	63	0	0	0	56	1	5600	63	0	0	0	56	1	5600	63	0	0	0	56	1	5600	63	0	0	0	56	1	5600	63	0	0	0	56	1	5600	63	0	0	0	56	1	5600	63	0	0	0	56	1	5600	63	0	0	0	56	1	5600	63	0	0	0	56	1	5600	63	0	0	0	56	1	5600	63	0	0	0	56	1	5600	63	0	0	0	56	1	5600	63	0	0	0	56	1	5600	63	0	0	0	56	1	5600	63	0	0	0	56	1	5600	63	0	0	0	56	1	5600	63	0
9	6	30300009	72	1	7200	64	0	0	30300019	72	1	7200	64	0	0	30300029	72	1	7200	64	0	0	30300039	72	1	7200	64	0	0	30300049	72	1	7200	64	0	0	30300059	72	1	7200	64	0	0	0	72	1	7200	64	0	0	0	72	1	7200	64	0	0	0	72	1	7200	64	0	0	0	72	1	7200	64	0	0	0	72	1	7200	64	0	0	0	72	1	7200	64	0	0	0	72	1	7200	64	0	0	0	72	1	7200	64	0	0	0	72	1	7200	64	0	0	0	72	1	7200	64	0	0	0	72	1	7200	64	0	0	0	72	1	7200	64	0	0	0	72	1	7200	64	0	0	0	72	1	7200	64	0	0	0	72	1	7200	64	0	0	0	72	1	7200	64	0	0	0	72	1	7200	64	0	0	0	72	1	7200	64	0	0	0	72	1	7200	64	0	0	0	72	1	7200	64	0	0	0	72	1	7200	64	0	0	0	72	1	7200	64	0	0	0	72	1	7200	64	0	0	0	72	1	7200	64	0	0	0	72	1	7200	64	0	0	0	72	1	7200	64	0	0	0	72	1	7200	64	0	0	0	72	1	7200	64	0	0	0	72	1	7200	64	0
