INT	INT	INT	INT	INT	INT	INT
INDEX(Level*100+孔数)	耗钱	物品1	消耗数1	耗钱2	物品2	消耗数2
101	3000	20109001	1	-1	-1	-1
102	3600	20109001	1	-1	-1	-1
103	4200	20109001	1	-1	-1	-1
104	20000000	20109101	1	3000000	20310111	1
201	3120	20109001	1	-1	-1	-1
202	3744	20109001	1	-1	-1	-1
203	4368	20109001	1	-1	-1	-1
204	20000000	20109101	1	3000000	20310111	1
301	3244.8	20109001	1	-1	-1	-1
302	3893.76	20109001	1	-1	-1	-1
303	4542.72	20109001	1	-1	-1	-1
304	20000000	20109101	1	3000000	20310111	1
401	3374.592	20109001	1	-1	-1	-1
402	4049.5104	20109001	1	-1	-1	-1
403	4724.4288	20109001	1	-1	-1	-1
404	20000000	20109101	1	3000000	20310111	1
501	3509.57568	20109001	1	-1	-1	-1
502	4211.490816	20109001	1	-1	-1	-1
503	4913.405952	20109001	1	-1	-1	-1
504	20000000	20109101	1	3000000	20310111	1
601	3649.958707	20109001	1	-1	-1	-1
602	4379.950449	20109001	1	-1	-1	-1
603	5109.94219	20109001	1	-1	-1	-1
604	20000000	20109101	1	3000000	20310111	1
701	3795.957055	20109001	1	-1	-1	-1
702	4555.148467	20109001	1	-1	-1	-1
703	5314.339878	20109001	1	-1	-1	-1
704	20000000	20109101	1	3000000	20310111	1
801	3947.795338	20109001	1	-1	-1	-1
802	4737.354405	20109001	1	-1	-1	-1
803	5526.913473	20109001	1	-1	-1	-1
804	20000000	20109101	1	3000000	20310111	1
901	4105.707151	20109001	1	-1	-1	-1
902	4926.848581	20109001	1	-1	-1	-1
903	5747.990012	20109001	1	-1	-1	-1
904	20000000	20109101	1	3000000	20310111	1
1001	4269.935437	20109001	1	-1	-1	-1
1002	5123.922525	20109001	1	-1	-1	-1
1003	5977.909612	20109001	1	-1	-1	-1
1004	20000000	20109101	1	3000000	20310111	1
1101	4440.732855	20109002	1	-1	-1	-1
1102	5328.879426	20109002	1	-1	-1	-1
1103	6217.025997	20109002	1	-1	-1	-1
1104	20000000	20109101	1	3000000	20310111	1
1201	4618.362169	20109002	1	-1	-1	-1
1202	5542.034603	20109002	1	-1	-1	-1
1203	6465.707037	20109002	1	-1	-1	-1
1204	20000000	20109101	1	3000000	20310111	1
1301	4803.096656	20109002	1	-1	-1	-1
1302	5763.715987	20109002	1	-1	-1	-1
1303	6724.335318	20109002	1	-1	-1	-1
1304	20000000	20109101	1	3000000	20310111	1
1401	4995.220522	20109002	1	-1	-1	-1
1402	5994.264626	20109002	1	-1	-1	-1
