INT	STRING	STRING	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING
ID	名称$1$	ToolTips$1$	类别	逻辑ID	隐形级别	陷阱专用标记	可激活次数	生存期持续特效	生存期持续音效	激发特效	激发音效	死亡特效	死亡音效	预留	预留	预留	 子弹ID	持续时间	激活或触发时间间隔	触发半径	影响半径	影响个体数目	预留	预留	预留	预留	预留	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	详细说明(内部使用)
1	漫天花雨	漫天花雨	0	1	0	0	0	漫天花雨3	-1									125000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
2	飞火流星	飞火流星	0	1	0	0	0	yanhuo19	-1									30000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
3	八面玲珑	八面玲珑	0	1	0	0	0	yanhuo20	-1									30000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
4	雪落无声	雪落无声	0	1	0	0	0	yanhuo31	-1									30000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
5	落英缤纷	落英缤纷	0	1	0	0	0	yanhuo32	-1									30000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
6	舞榭歌台	舞榭歌台	0	1	0	0	0	yanhuo33	-1									30000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
7	剑雨飘香	剑雨飘香	0	1	0	0	0	yanhuo099	-1									30000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
8	九曲连环	九曲连环	0	1	0	0	0	yanhuo199	-1									30000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
9	紫气东来	紫气东来	0	1	0	0	0	yanhuo201	-1									30000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
10	萤火虫	萤火虫	0	1	0	0	0	萤火虫烟花	-1									30000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
11	怒海狂涛	怒海狂涛	0	1	0	0	0	yanhuo_RMB01	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
12	龙潜于渊	龙潜于渊	0	1	0	0	0	yanhuo_RMB02	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
13	经天纬地	经天纬地	0	1	0	0	0	yanhuo_RMB03	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
14	岸芷汀兰	岸芷汀兰	0	1	0	0	0	yanhuo_RMB04	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
15	流光溢彩	流光溢彩	0	1	0	0	0	yanhuo_RMB06	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
16	天舞宝轮	天舞宝轮	0	1	0	0	0	yanhuo_RMB07	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
17	天若有情	天若有情	0	1	0	0	0	yanhuo_RMB08	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
18	烈火飞旋	烈火飞旋	0	1	0	0	0	yanhuo_RMB09	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
19	五星连珠	五星连珠	0	1	0	0	0	yanhuo_RMB10	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
20	人生如梦	人生如梦	0	1	0	0	0	yanhuo_RMB11	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
21	ILOVEYOU	ILOVEYOU	0	1	0	0	0	yanhuo_RMB12	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
22	喜欢你	喜欢你	0	1	0	0	0	yanhuo_RMB13	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
23	发财了	发财了	0	1	0	0	0	yanhuo_RMB14	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
24	我结婚了	我结婚了	0	1	0	0	0	yanhuo_RMB15	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
25	国庆快乐	国庆快乐	0	1	0	0	0	yanhuo_国庆快乐	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
26	欢度新春	欢度新春	0	1	0	0	0	yanhuo_欢度新春	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
27	六一快乐	六一快乐	0	1	0	0	0	yanhuo_六一快乐	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
28	情人节快乐	情人节快乐	0	1	0	0	0	yanhuo情人节快乐	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
29	圣诞快乐	圣诞快乐	0	1	0	0	0	yanhuo_圣诞快乐	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
30	五一快乐	五一快乐	0	1	0	0	0	yanhuo_五一快乐	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
31	元旦快乐	元旦快乐	0	1	0	0	0	yanhuo_元旦快乐	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
32	中秋快乐	中秋快乐	0	1	0	0	0	yanhuo_中秋快乐	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
33	光棍行我看行	光棍行我看行	0	1	0	0	0	yanhuo_RMB21	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
34	我自由我快乐	我自由我快乐	0	1	0	0	0	yanhuo_RMB22	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
35	圣诞快乐	圣诞快乐	0	1	0	0	0	yanhuo_RMB24	-1									35000	500	0	0	0						效果2	-1	效果3	-1	效果4几率	-1	效果4	-1																									
36	元旦快乐	元旦快乐	0	1	0	0	0	yanhuo_RMB25	-1									35000	500	0	0	0						效果3	-1	效果4	-1	效果5几率	-1	效果5	-1																									
37	HAPPYNEWYEAR	HAPPYNEWYEAR	0	1	0	0	0	yanhuo_RMB23	-1									35000	500	0	0	0						效果4	-1	效果5	-1	效果6几率	-1	效果6	-1																									
38	千寻场景特效	千寻	0	1	0	0	0	yanhuo_节日快乐	-1									20000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
39	春节快乐	春节快乐	0	1	0	0	0	yanhuo_RMB30	-1									35000	500	0	0	0						效果4	-1	效果5	-1	效果6几率	-1	效果6	-1																									
40	拜大年	拜大年	0	1	0	0	0	yanhuo_RMB26	-1									35000	500	0	0	0						效果4	-1	效果5	-1	效果6几率	-1	效果6	-1																									
41	过年好	过好年	0	1	0	0	0	yanhuo_RMB27	-1									35000	500	0	0	0						效果4	-1	效果5	-1	效果6几率	-1	效果6	-1																									
42	万事如意	万事如意	0	1	0	0	0	yanhuo_RMB29	-1									35000	500	0	0	0						效果4	-1	效果5	-1	效果6几率	-1	效果6	-1																									
43	吉祥如意	吉祥如意	0	1	0	0	0	yanhuo_RMB28	-1									35000	500	0	0	0						效果4	-1	效果5	-1	效果6几率	-1	效果6	-1																									
44	孔明灯升空1	孔明灯升空1	0	1	0	0	0	npc_孔明灯01	-1									40000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
45	孔明灯升空2	孔明灯升空2	0	1	0	0	0	npc_孔明灯03	-1									40000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
46	孔明灯升空3	孔明灯升空3	0	1	0	0	0	npc_孔明灯02	-1									40000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
47	西瓜皮陷阱	西瓜皮陷阱	1	2	150	2	1	g01_西瓜皮摆放	-1	g01_西瓜皮触发								30000	500	3	3	1						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1	脚本	808089	影响性质	0																					
48	捕兽夹陷阱	捕兽夹陷阱	1	2	150	2	1	g01_捕兽夹摆放	-1	g01_捕兽夹触发								30000	500	3	3	1						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1	脚本	808089	影响性质	0																					
49	XXX	XXX	0	1	0	0	0	yanhuo_RMB17	-1									35000	500	0	0	0						效果4	-1	效果5	-1	效果6几率	-1	效果6	-1																									
50	XXX	XXX	0	1	0	0	0	yanhuo_RMB18	-1									35000	500	0	0	0						效果4	-1	效果5	-1	效果6几率	-1	效果6	-1																									
51	XXX	XXX	0	1	0	0	0	yanhuo_RMB19	-1									35000	500	0	0	0						效果4	-1	效果5	-1	效果6几率	-1	效果6	-1																									
52	XXX	XXX	0	1	0	0	0	yanhuo_RMB20	-1									35000	500	0	0	0						效果4	-1	效果5	-1	效果6几率	-1	效果6	-1																									
53	劳动最光荣	劳动最光荣	0	1	0	0	0	yanhuo_劳动最光荣	-1									35000	500	0	0	0						效果4	-1	效果5	-1	效果6几率	-1	效果6	-1																									
54	绿波香露	绿波香露	3	0	0	1	1		-1	boss_飘渺峰乌老大03_zdo								4000	3000	0	5	12						效果1	10250	效果2	-1	效果3几率	-1	效果3	-1																									
