INT	STRING
对话序号	对话内容$1$
0	空着就好了
1	    前一段听说世子还在大理城，后来听说是去了中原了。
2	    听从中原回来的朋友说，镇南王府世子曾在苏州一带出现过。
3	    镇南王府世子喜爱游历天下，一时要问消息，却也不太准确，据说他曾去了苏州。
4	    别的不知，只是听无锡的好友说，曾见镇南王世子与个大汉在酒肆中饮酒。
5	    嘘，此事万万不可与别人知道，听说镇南王世子是被一个胡僧掳走了。
6	    哦哦，世子的文采惊人，佳文一定转交给孟先生。
7	    阿弥陀佛，善哉善哉，大理镇南王的世子聪慧过人，与我佛颇为有缘，长此精研佛理，功莫大矣。
8	    善哉善哉，贫僧先拜读了。
9	    阿弥陀佛，多谢%R奔波之劳，贫僧这里揖手了。
10	    无量天尊，大理镇南王的世子聪慧过人，道家经文研习颇有造诣，长此精研道理，功莫大矣。
11	    甚好甚好，贫道先拜读了。
12	    无量天尊，多谢%R奔波之劳，贫道这里揖手了。
13	    妙哉妙哉，真是绝妙好文，镇南王世子聪慧过人，文理精深，令吾佩服不已。
14	    甚好甚好，待吾先拜读拜读。
15	    甚好，有劳%R代送文章。
16	    哼，请转告那个大理的世子，我表妹的事不用他多管闲事。
17	    非也非也，非礼勿问才是君子之道，大理的世子莫非不是君子？
18	    王姑娘一直跟随着公子爷，问她的消息告诉你却也无妨。
19	    王姑娘一直跟随着公子爷，问她的消息告诉你却也无妨。
20	    王姑娘一直跟随着公子爷，问她的消息告诉你却也无妨。
21	    啊唷！信上是问王姑娘的消息？王姑娘一直跟着公子呢！
22	    信中居然是问嫣儿的消息，这孩子背着我偷偷的离开了曼陀山庄，我却也不知道她的消息，想来跟着慕容家那小子了。
23	    公子的意思，我明白，我会替他打听王……哦，打听这个人的消息的。
24	    乔帮主……萧大王……的盛情心领了，我们丐帮不受辽国人的恩惠。
25	    你竟然为辽国人送信，唉，可惜，可惜。
26	    我平生就佩服乔大哥一个人，唉，不想他却是辽人。
27	    请转告乔……萧大哥，至少丐帮中我是不会忘了他的大恩大德的。
28	    我已听说此事，事已至此，萧兄又是出于无心，不必太过自责。
29	    我已听正淳所说此事，唉，转告贵王，既是无心，生死有命，不必自责了。
