INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	9	191.62	223.0763
2	9	192.2045	217.7621
3	9	191.4581	210.9671
4	9	179.8189	214.786
5	9	179.112	221.8605
6	9	166.0161	210.1956
7	9	208.8715	225.1749
8	9	223.1169	210.0229
9	9	231.1322	189.5713
10	9	231.436	175.7053
11	9	232.3553	165.2619
12	9	230.8916	146.4916
13	9	230.996	135.4344
14	9	231.9551	121.0936
15	9	228.8344	126.1371
16	9	230.8275	107.5839
17	9	228.7607	97.9648
18	9	206.1188	55.3622
19	9	177.0464	48.8553
20	9	183.9843	56.7447
21	9	176.9939	66.623
22	9	161.4319	68.9055
23	9	157.0577	56.2998
24	9	154.1225	45.192
25	9	140.7035	28.0659
26	9	121.2137	33.9284
27	9	120.0124	41.7373
28	9	108.06	37.1841
29	9	113.483	32.2033
30	9	96.3547	38.1453
31	9	86.8357	42.3547
32	9	79.676	35.7906
33	9	51.899	28.0115
34	9	46.6458	35.8614
35	9	49.441	53.7712
36	9	58.4459	64.817
37	9	43.9522	76.9638
38	9	34.9364	73.8451
39	9	23.559	62.0466
40	9	29.8301	44.5157
41	9	24.7217	94.1852
42	9	41.6246	107.1975
43	9	24.4826	119.7678
44	9	35.1292	134.4019
45	9	43.3205	154.3094
46	9	33.2249	157.1485
47	9	34.8654	166.2209
48	9	36.4329	182.4235
49	9	39.8432	198.7572
50	9	38.0035	219.25
51	9	47.8144	204.984
52	10	79.6861	186.8673
53	10	83.3648	200.221
54	10	98.4409	203.8208
55	10	122.851	200.0903
56	10	128.1924	192.5118
57	10	124.6866	187.5968
58	10	125.7069	167.6549
59	10	113.9997	172.1768
60	10	96.9777	166.6176
61	10	82.3811	167.1745
62	10	84.6188	176.9591
63	10	75.9306	174.3452
64	10	43.7785	172.1985
65	10	49.7765	138.1422
66	10	61.7768	133.6998
67	10	62.7233	125.5212
68	10	97.5998	119.317
69	10	111.7581	106.42
70	10	104.3789	104.0341
71	10	122.4201	133.5222
72	10	145.4209	125.4333
73	10	154.9578	139.6166
74	10	153.8688	144.8956
75	10	176.0376	161.0037
76	10	195.1697	138.5608
77	10	208.1161	148.6728
78	10	204.9402	124.8771
79	10	203.2753	95.8004
80	10	202.7126	84.6233
81	10	208.7206	76.642
82	10	205.1202	73.6287
83	10	218.3379	57.2724
84	10	231.4167	44.5156
85	10	215.3861	26.0452
86	10	185.5187	24.2497
87	10	195.0057	26.9741
88	10	190.918	43.8672
89	10	197.9547	190.9238
90	10	194.265	180.3079
91	10	230.9661	204.3544
92	10	232.5143	225.0537
93	10	155.8733	226.1317
94	10	142.6533	223.3668
95	10	150.2467	167.5204
96	10	132.9582	155.4621
97	10	106.3887	138.7929
98	10	79.7198	121.885
99	10	50.8738	80.4437
100	10	71.5266	54.2788
101	10	83.2384	70.7351
102	123	111.423	79.9829
103	123	123.0719	76.3888
104	123	123.2311	61.7511
105	123	109.4174	61.2827
106	123	123.7341	29.7326
107	123	198.6045	24.9267
108	123	233.2695	40.4914
109	123	234.7131	45.9954
110	123	232.9903	69.4977
111	123	232.627	84.7011
112	123	212.2149	82.2804
113	123	207.5341	87.7182
114	123	215.3573	103.4571
115	123	198.2226	103.1968
116	123	202.1025	134.1337
117	123	196.2302	130.1484
118	123	198.3726	158.3095
119	123	190.4097	153.2235
120	123	177.2771	156.0138
121	123	179.157	164.4773
122	123	181.3759	186.2953
123	123	177.2624	196.6381
124	123	180.1673	201.9856
125	123	177.1755	220.1497
126	123	168.1535	226.5737
127	123	132.2044	222.158
128	123	91.8249	205.0082
129	123	92.8346	187.2134
130	123	112.818	163.5521
131	123	37.915	209.6399
132	123	35.5683	193.1929
133	123	31.4704	174.5832
134	123	42.2776	157.2805
135	123	34.1711	153.0156
136	123	61.4525	130.1478
137	123	31.8763	136.1319
138	123	24.7151	125.261
139	123	23.2942	100.426
140	123	23.284	82.0903
141	123	25.749	57.0049
142	123	37.0263	37.7228
143	123	59.6019	23.9046
144	123	89.1964	35.2284
145	123	95.4321	24.5827
146	123	130.805	24.815
147	123	149.8	23.0064
148	123	159.3347	41.0652
149	123	174.5149	44.1413
150	123	231.7212	27.2389
151	123	210.691	46.7186
152	126	158.0523	40.1648
153	126	141.2916	23.881
154	126	102.8167	23.2875
155	126	75.2747	33.4335
156	126	39.6857	34.6442
157	126	53.1477	58.6993
158	126	47.1348	70.3114
159	126	40.7076	76.1459
160	126	61.4866	107.7576
161	126	72.34	124.2555
162	126	76.9378	138.7162
163	126	72.0798	136.0564
164	126	95.2958	135.9245
165	126	119.167	137.2949
166	126	162.1946	126.1983
167	126	187.9303	127.8564
168	126	227.2802	119.8369
169	126	231.1693	94.3198
170	126	232.9412	83.2547
171	126	213.4607	58.9682
172	126	218.9027	47.6246
173	126	233.5217	31.3369
174	126	210.7078	24.5425
175	126	141.6092	101.7304
176	126	140.065	94.9178
177	126	150.3873	95.166
178	126	172.2516	106.1739
179	126	175.0086	129.7965
180	126	169.7822	192.0348
181	126	168.2506	185.1519
182	126	135.8936	180.1022
183	126	132.9463	169.4844
184	126	47.8049	197.4865
185	126	43.6998	185.7453
186	126	66.8419	146.2244
187	126	83.7235	134.7804
188	126	111.0318	143.0678
189	126	117.7412	126.7352
190	126	150.1748	125.4576
191	126	155.4877	118.4798
192	126	153.7553	108.9904
193	126	152.2239	98.7016
194	126	180.9286	111.8933
195	126	228.3841	216.8937
196	126	211.7952	220.4715
197	126	229.8949	222.0983
198	126	216.8827	211.9912
199	126	199.9059	216.8512
200	126	164.5771	215.165
201	126	145.2744	216.7786
202	621	137.2679	219.4695
203	621	144.3671	211.0051
204	621	140.9982	198.5562
205	621	139.7399	191.5906
206	621	140.7984	185.7758
207	621	132.2407	177.3138
208	621	144.9569	171.3292
209	621	141.6063	162.6839
210	621	160.8026	149.1381
211	621	149.669	154.2305
212	621	146.8281	139.7026
213	621	168.1562	103.1374
214	621	199.9386	88.4475
215	621	228.2126	91.1901
216	621	217.8018	72.7737
217	621	208.2373	69.8441
218	621	209.5088	43.329
219	621	185.1577	48.6478
220	621	130.6913	31.572
221	621	116.196	34.8256
222	621	100.8229	29.8628
223	621	103.2465	38.4181
224	621	70.1123	50.5756
225	621	49.6347	44.6389
226	621	47.2436	30.8268
227	621	39.2627	67.471
228	621	32.7562	126.9592
229	621	38.5699	122.371
230	621	75.5184	118.0174
231	621	126.9783	161.887
232	621	164.0857	177.2242
233	621	173.4992	182.1135
234	621	163.4266	190.3093
235	621	199.7503	184.2378
236	621	196.3864	199.4452
237	621	210.6227	187.0274
238	621	211.4885	214.7808
239	621	223.2889	219.5509
240	621	228.7779	195.4275
241	621	228.9065	172.7982
242	621	207.0365	158.1319
243	621	213.4348	148.5563
244	621	204.7132	141.3894
245	621	211.2704	134.4857
246	621	225.9439	117.6609
247	621	204.7859	101.5911
248	621	214.1013	82.9998
249	621	200.5535	79.3446
250	621	175.7954	56.5177
