INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	6	35	54
2	6	45.2118	44.0319
3	6	57.1805	44.8555
4	6	35.2667	81.8907
5	6	80.0275	48.1023
6	6	87.8534	48.2037
7	6	93.3505	97.0259
8	6	97.1025	100.3444
9	6	107.0595	85.3439
10	6	125.5458	79.2592
11	6	134.654	54.8487
12	6	117.0725	46.6928
13	6	147.2562	51.6389
14	6	211.0805	63.8205
15	6	232.8621	63.9117
16	6	245.5268	55.1775
17	6	268.3226	38.459
18	6	263.8866	59.0984
19	6	265	76
20	6	269.4265	109.7413
21	6	285.4479	137.23
22	6	281.2422	162.361
23	6	262.4617	160.9653
24	6	230.1599	177.1911
25	6	225.0061	179.5167
26	6	196.3907	186.0052
27	6	201.2059	189.7834
28	6	181.3191	218.7651
29	6	179.3702	232.7394
30	6	223.7178	238.531
31	6	275.0751	264.7725
32	6	284.1747	277.6553
33	6	256.1498	281.5999
34	6	238.5542	282.8827
35	6	192.8527	279.6163
36	6	187.1386	273.9421
37	6	179.7308	244.5173
38	6	133.007	287.6465
39	6	118	285
40	6	32.6035	225.8063
41	6	42.7309	222.707
42	6	65.4076	208.2259
43	6	53.2261	197.8139
44	6	46.7865	142.914
45	6	51.8163	133.6006
46	6	34.0646	137.5453
47	6	37.8696	134.8862
48	6	68.666	119.9474
49	6	74.5665	116.7984
50	6	34.9288	97.27
51	6	141.5027	133.8632
52	6	95.1928	163.552
53	6	82.9243	140.3034
54	6	160.7045	107.6526
55	6	193.6098	84.7226
56	6	209.0576	153.7018
57	6	170.5598	155.5396
58	6	224.0211	152.805
59	6	221	128
60	6	255.6113	236.4496
61	6	251.3743	238.0119
62	6	270.713	237.2028
63	6	274.7408	240.1944
64	6	253.9089	247.2705
65	6	275.0142	256.7392
66	6	183.9767	272.5673
67	6	152.2988	157.8039
68	6	139.4742	152.6041
69	6	132.3859	199.954
70	6	95.6515	213.8155
71	6	156.7387	66.9959
72	6	126.1873	151.5934
73	6	99.004	112.9737
74	6	88.5648	118.864
75	6	208.4494	42.8237
76	6	54.127	196.4355
77	6	56.3671	218.1405
78	6	78.3072	195.1075
79	6	92.4837	204.259
80	6	109.5699	193.5986
81	6	97.4876	175.5279
82	6	49.4045	154.743
83	6	177.2558	139.2545
84	6	183.7863	119.7242
85	6	239.1876	115.8463
86	6	219.9558	112.4289
87	6	167.802	87.0255
88	6	141.6122	169.8758
89	6	139.555	171.1946
90	6	182.3107	169.6647
91	6	182.0007	159.4579
92	6	174.5719	161.3258
93	6	183.7957	210.3568
94	6	187.5194	202.2714
95	6	221.5305	223.2307
96	6	229.4037	224.8167
97	6	216.7397	213.4374
98	6	220.7069	194.3572
99	6	223.4851	186.475
100	6	219.6174	191.9906
101	114	265.7746	176.4644
102	114	268.4649	182.4771
103	114	272.9108	202.249
104	114	258.3563	208.146
105	114	240.1348	188.2345
106	114	229.3671	203.2398
107	114	251	231
108	114	276.6812	251.2657
109	114	273.6892	247.2149
110	114	227.7301	279.5518
111	114	223.6375	276.3745
112	114	221.7203	264.7581
113	114	194.8008	272.005
114	114	193.1494	262.9347
115	114	184.1938	266.5999
116	114	161.4122	214.053
117	114	164.4395	211.4768
118	114	141.5495	212.306
119	114	141.7808	208.8175
120	114	138.2776	196.793
121	114	139.8131	175.9857
122	114	140.9492	173.4169
123	114	156.8614	173.0334
124	114	155.3795	166.8479
125	114	157.6513	166.9277
126	114	166.75	165.1886
127	114	194.7125	148.8933
128	114	190.1238	145.2718
129	114	188	144
130	114	183.8079	140.3833
131	114	179.8275	132.7169
132	114	181	128
133	114	148.9267	153.5061
134	114	141.573	151.6479
135	114	145.7344	146.6736
136	114	56.5417	47.8604
137	114	53.1325	47.2896
138	114	55.2001	53.2281
139	114	60.0048	52.7519
140	114	63.5608	44.0184
141	115	63.6847	48.4819
142	115	70.2988	59.5847
143	115	85.551	69.3666
144	115	86.2592	62.9797
145	115	88.312	62.8547
146	115	88.5392	68.6542
147	115	92.513	72.5465
148	115	110.9072	60.7577
149	115	116.8719	62.3821
150	115	141.5359	112.3051
151	115	136.5289	115.182
152	115	152.4326	47.654
153	115	162.9106	50.342
154	115	160.8715	54.2986
155	115	276.6595	40.7071
156	115	279.5722	36.2732
157	115	281.3396	41.4254
158	115	205.0996	101.3368
159	115	204.5255	106.5786
160	115	198.7377	100.7046
161	115	52.3339	128.1492
162	115	63.5641	125.6225
163	115	54.684	95.4787
164	115	92.2517	85.1869
165	115	86.2054	109.7939
166	115	70.8227	195.8124
167	115	142.6836	227.6577
168	115	157.5346	226.3625
169	115	232.1141	241.4507
170	115	205.399	188.218
171	115	247.4649	218.451
172	115	281.5454	144.1921
173	115	219.0376	156.3964
174	115	173.8142	133.4545
175	115	189.9111	104.432
176	115	115.2748	195.8895
177	115	110.8294	164.3198
178	115	233.8206	152.5514
179	115	258.1369	177.8897
180	115	263.1224	119.715
181	116	126.1251	63.1795
182	116	97.0237	51.5108
183	116	35.0487	58.1968
184	116	50.4224	117.0211
185	116	66.944	160.8282
186	116	112.8322	207.3931
187	116	94.5774	270.7194
188	116	163.1538	269.5738
189	116	131.4198	277.1538
190	116	202.6137	260.7338
