INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	10	220.642	43.4975
2	10	194.5307	55.2108
3	10	220.9992	51.1239
4	10	239.8504	53.9725
5	10	237	55
6	10	240	69
7	10	235	55
8	10	259.3476	58.306
9	10	247.4808	70.8368
10	10	249.2985	79.973
11	10	258.808	138.4491
12	10	259.4163	135.9241
13	10	252.2027	109.3596
14	10	276.4425	221.2596
15	10	267.1333	227.5228
16	10	168.5148	267.275
17	10	182.5347	242.7949
18	10	143.0653	256.5909
19	10	47	208
20	10	43	218
21	10	58.2548	216.5857
22	10	62.536	213.2025
23	10	57	198
24	10	69	180
25	10	45	183
26	10	37	120
27	10	37	108
28	10	48.5834	112.9402
29	10	47.6748	101.427
30	10	60.9089	96.9832
31	10	37	101
32	10	49.6543	71.6909
33	10	52.4409	61.5985
34	10	79.492	46.002
35	10	87.3208	54.7223
36	10	54.8219	36.5334
37	10	60.0941	35.6102
38	10	86.6844	34.6017
39	10	92	39
40	10	99.8052	43.3214
41	10	80.3594	73.1206
42	10	104.9	109.6802
43	10	184.6864	119.092
44	10	136.9369	115.1464
45	10	168.1893	85.9267
46	10	211.3832	129.8463
47	10	272.7602	87.0259
48	10	268.1445	118.3936
49	10	280.2806	144.8031
50	10	216.4437	191.1015
51	10	242.3766	193.6438
52	10	267.0736	203.6385
53	10	252.4744	227.0784
54	10	228.5769	230.8786
55	10	280.1128	279.6868
56	10	256.3297	287.9568
57	10	225.8094	283.6129
58	10	194.175	283.4294
59	10	198.7196	261.3039
60	10	159.0624	290.6772
61	10	119.4391	277.3938
62	10	48.1214	273.2731
63	10	79.7595	236.5712
64	10	84.7271	213.4224
65	10	110.5804	190.169
66	10	219.5379	275.7644
67	10	223.0883	269.9833
68	10	199.7323	80.5879
69	10	139.8732	79.0193
70	10	114.5578	67.1322
71	49	173.4331	249.3927
72	125	223.7853	131.7941
73	125	283.3079	103.7463
74	125	282.2179	123.8279
75	125	271.0839	152.8085
76	125	270	38
77	125	243.4064	52.8631
78	125	214.6626	52.056
79	125	152.1518	57.5373
80	125	93.059	53.5494
81	125	50.1596	69.3709
82	125	63.211	89.709
83	125	37.2589	106.2283
84	125	78.4755	165.0695
85	125	52.3009	178.688
86	125	40.0898	223.4847
87	125	112.281	272.4919
88	125	130.0001	280.4121
89	125	256	298
90	125	254	298
91	125	281	298
92	125	278	271
93	125	257	263
94	125	283.1322	225.1556
95	125	280	70
96	125	235.9706	49.5736
97	125	225.629	102.4046
98	125	165.146	83.2139
99	125	180.3982	112.3966
100	125	136.3618	120.3031
101	125	104.7975	105.4413
102	125	73.5999	96.8928
103	125	86.3797	60.4571
104	125	41.9391	52.8238
105	125	45.828	112.8833
106	125	42	188
107	125	81.1539	175.3323
108	125	42.597	225.6087
109	125	39.961	283.1307
110	125	72.2453	284.685
111	125	128.3497	275.8633
112	125	81.9715	44.3917
113	125	88.3771	69.5849
114	125	68.7225	83.1426
115	125	81.0267	85.0927
116	125	77.5937	95.5007
117	125	48.4615	82.2117
118	125	38.0544	56.6943
119	125	45.6631	85.9531
120	125	39	127
121	125	57.9005	181.1781
122	125	46.8744	182.7681
123	125	35.6689	281.3179
124	125	86.8791	165.7065
125	125	74.5081	168.7802
126	125	77.1759	149.3366
127	125	132.7027	43.6921
128	125	205.3999	51.7688
129	125	236.7266	52.1093
130	125	254.6684	58.2255
131	126	279.9574	49.4314
132	126	274	61
133	126	266.009	71.5439
134	126	245.3887	76.2828
135	126	257.3619	131.9285
136	126	275.2758	216.4443
137	126	264.7223	211.8703
138	126	270.1929	211.862
139	126	279.6393	258.6295
140	126	270.813	256.0078
141	126	251.0978	257.6693
142	126	254	257
143	126	261	264
144	126	260	263
145	126	171.9573	252.4291
146	126	175.6435	251.1383
147	126	140.4208	254.7966
148	126	62.0831	91.5527
149	126	51.0304	95.0105
150	126	164.9402	128.6892
151	126	145.5666	134.2011
152	126	146.0233	133.6378
153	126	133.1623	129.9792
154	126	133.7643	129.5936
155	126	127.3047	159.7232
156	126	128.1822	158.7405
157	126	148.215	67.8469
158	126	149.4416	67.6127
159	126	91.3321	58.9266
160	126	91.9997	58.5956
161	126	97.8707	53.9905
162	126	99.5262	54.1545
163	126	61.2953	75.7058
164	126	61.7374	75.3152
165	126	38.4191	56.314
166	126	39.0618	41.0111
167	126	44	40
168	126	173.7847	59.2746
169	126	174.5149	59.1565
170	126	163.3182	55.4678
171	126	222.385	131.3069
172	210	216.87	169.66
173	210	217.82	169.48
174	210	217.57	170.57
175	210	218.4	170.37
176	210	221.51	172.98
177	210	225.16	174.57
178	210	224.79	173.72
179	210	226.25	174.58
180	210	229.13	71.59
181	210	228.56	72.08
182	210	217.94	168.28
183	210	218.03	165.28
184	210	218.51	162.5
185	210	220.26	169.52
186	222	218.11	171.4
187	222	219.18	171.21
188	222	220.02	171.99
189	222	220.77	172.34
190	222	227.86	174.92
191	222	230.1	72.56
192	222	230.84	72.36
193	222	229.45	72.44
194	610	45	41
195	610	65.6552	48.0017
196	610	111	37
197	610	90.5209	52.4452
198	610	81.0469	70.2759
199	610	47.6805	70.0639
200	610	55.867	90.6776
201	610	42.1273	134.0298
202	610	77.3282	124.5006
203	610	59.4784	149.7869
204	610	44.669	172.089
205	610	36.1745	185.1591
206	610	49	181
207	610	76.5157	164.7608
208	610	92.1876	169.1748
209	610	61.5527	197.5421
210	610	41.9396	220.446
211	610	42.7018	238.1095
212	610	63.8215	255.5464
213	610	44.0475	261.0478
214	610	62.53	284.6732
215	610	83.763	276.2551
216	610	115.8482	277.0836
217	610	138.7612	261.4398
218	610	154.9313	294.5792
219	610	181.9448	285.9835
220	610	184.4208	269.5038
221	610	221.5372	291.6548
222	610	263.9544	297.229
223	610	269.2439	266.6171
224	610	291.6821	290.4625
225	610	269.3634	231.2399
226	610	266.9995	220.9547
227	610	262.5314	194.4633
228	610	203.266	195.9686
229	610	188.0994	190.1276
230	610	168.169	174.4561
231	610	159.7392	139.7532
232	610	138.9305	120.8118
233	610	111.0183	104.1187
234	610	162.3479	72.5655
235	610	153.727	49.7102
236	610	207.7733	45.6085
237	610	246.8258	47.258
238	610	271	44
239	610	250.0253	66.9049
240	610	277.9118	76.9933
241	610	266.5722	102.3752
242	610	206.4817	118.8965
243	610	197.2293	107.5265
244	610	154.4169	92.0919
245	610	138.9433	102.2124
246	610	108.8764	70.2099
247	610	107.3277	51.668
248	610	142.0846	147.2283
249	610	132.4617	150.7691
250	610	140.3532	169.3214
251	610	129.5896	181.4369
252	610	131.3712	170.911
253	610	145.3282	206.58
