INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	51	115.0517	52.0255
2	51	42.4159	51.5726
3	616	50.1925	43.0417
4	616	41.563	55.9316
5	616	51.2052	73.5885
6	616	43.2671	94.5435
7	616	58.957	107.1499
8	616	77.7281	85.1496
9	616	85.8505	85.1402
10	616	83.2904	63.3099
11	616	101.491	41.9282
12	616	108.4821	59.8949
13	616	104.4602	73.5194
14	616	99.678	92.2245
15	616	124.9596	71.5215
16	616	135.6079	44.1938
17	616	162.5559	43.0929
18	616	169.8313	58.9378
19	616	183.6161	60.9099
20	616	171.8825	69.3965
21	616	164.9728	79.5095
22	616	153.6102	86.9865
23	616	154.718	112.0929
24	616	189.7779	103.1296
25	616	213.3465	120.0517
26	616	217.3689	102.6629
27	616	239.4442	84.1814
28	616	232.6745	51.8814
29	616	265.8766	52.8423
30	616	278.4196	49.3547
31	616	278.6178	64.2512
32	616	266.7773	83.6799
33	616	278.8228	88.1869
34	616	277.7637	103.3693
35	616	263.4713	100.8817
36	616	258.5772	124.8387
37	616	263.9212	145.4304
38	616	250.0578	167.3901
39	616	221.4108	163.1753
40	616	205.0346	180.2367
41	616	187.1721	199.7906
42	616	216.8892	205.9297
43	616	234.7608	207.052
44	616	266.6077	238.209
45	616	270.9496	252.5237
46	616	251.9465	262.0449
47	616	266.33	277.2
48	616	223.443	273.4533
49	616	216.6523	280.0328
50	616	191.2555	271.0152
51	616	164.6717	268.2143
52	616	178.5737	256.4563
53	616	155.9614	247.1427
54	616	133.9449	277.682
55	616	109.7785	278.0464
56	616	81.3837	269.9994
57	616	55.4558	274.6942
58	616	61.2112	258.2891
59	616	110.3126	245.3856
60	616	109.7497	216.3783
61	616	77.3138	213.018
62	616	63.9614	187.8054
