INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	573	154.6819	168.2003
2	573	156.6838	171.8661
3	573	164.7595	167.0479
4	573	166.7366	173.1879
5	573	144.7683	131.6626
6	573	163.4440	132.3769
7	573	180.7908	131.9861
8	573	171.3589	151.0820
9	573	155.2903	150.7597
10	573	216.0913	151.6666
11	573	240.9404	147.7616
12	573	270.7980	149.6536
13	573	280.5063	154.0470
14	573	157.3382	111.9919
15	573	161.0951	100.9936
16	573	160.1843	81.3822
17	573	157.3698	68.0627
18	573	137.5084	40.6168
19	573	159.4685	43.6697
20	573	189.2211	40.9256
21	573	140.0936	178.3291
22	573	159.9170	185.2130
23	573	181.3074	173.6865
24	573	159.2703	202.5219
25	573	144.3432	203.4235
26	573	179.3452	203.1237
27	573	159.1297	230.1849
28	573	157.7424	253.4250
29	573	158.8740	273.1566
30	573	89.0976	219.6365
31	573	112.5976	233.9140
32	573	88.9010	258.6133
33	573	115.1545	153.7848
34	573	94.9629	149.5460
35	573	46.2025	152.5045
36	573	65.3017	180.8053
37	573	75.0759	96.5354
38	573	74.8012	54.3380
39	573	239.7367	54.0638
40	573	241.8103	106.1274
41	573	223.7854	111.3985
42	573	232.0426	154.2306
43	573	252.9413	135.6436
44	573	282.3529	178.5875
45	573	279.0515	161.5847
46	573	235.7209	235.8981
47	573	217.1018	239.8240
48	573	138.6917	144.3372
49	573	131.4442	124.3154
50	573	189.5430	125.6561
51	573	131.8761	82.9605
52	573	211.6785	84.1068
53	573	42.1843	128.7237
54	573	37.2879	150.7943
55	573	80.4374	152.1132
56	573	99.4740	219.2617
57	573	168.9849	252.1810
58	573	217.9055	276.0480
59	573	212.8484	195.7608
60	573	244.0718	196.7530
