INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	249	130.6365	75.7426
2	249	131.3312	75.4556
3	249	130.9511	75.1484
4	249	130.4268	75.2508
5	249	130.9427	75.5645
6	253	124.1301	124.2514
7	253	124.5186	124.0154
8	253	124.8268	123.4561
9	253	124.1969	123.6076
10	253	123.7070	123.9763
11	9	48.4439	155.1412
12	9	36.7256	218.0549
13	9	53.9535	208.0901
14	9	83.9108	152.8541
15	9	183.5564	207.8875
16	9	214.1303	167.4810
17	9	223.5382	77.4208
18	9	168.3778	97.6170
19	9	151.1042	110.9115
20	9	133.7480	31.0024
21	9	220.8336	37.7392
22	9	92.7101	171.9583
23	9	208.8270	109.2250
24	9	78.0673	163.2016
25	9	36.7613	188.9498
26	10	145.6960	57.5678
27	10	126.0261	55.2666
28	10	127.4833	39.0552
29	10	48.5447	54.8421
30	10	33.9454	49.7859
31	10	35.6561	76.2968
32	10	38.4830	145.9092
33	10	40.0263	163.1671
34	10	37.9310	194.7011
35	10	31.5206	211.9679
36	10	22.2663	196.3664
37	10	27.7961	135.5227
38	10	88.3384	134.5475
39	10	99.5973	145.4920
40	10	110.2538	132.8484
41	10	119.5136	139.2336
42	10	110.9813	158.3816
43	10	141.6133	223.6213
44	10	201.4661	172.7350
45	10	204.5707	191.2374
46	10	208.8764	117.6724
47	10	182.7488	111.6877
48	10	170.8334	123.0204
49	10	172.3548	147.0090
50	10	199.3264	151.6199
51	10	164.7095	159.4751
52	10	149.9885	140.5814
53	10	136.2472	96.9736
54	10	146.5929	162.3398
55	10	157.6766	179.2727
56	10	218.3879	29.3230
57	10	181.6568	27.3828
58	10	211.0608	79.7879
59	10	132.4160	153.6674
60	10	134.3596	120.9402
61	10	170.4125	201.4824
62	10	101.6606	39.2013
63	10	75.1974	34.7285
64	10	221.7103	68.8300
65	10	200.9184	132.1980
66	13	211.9467	82.7686
67	13	153.8554	73.3460
68	13	179.0119	80.7020
69	13	79.6856	220.4739
70	13	108.1168	121.4602
71	14	194.0100	23.9966
72	14	155.5761	32.9423
73	14	206.8082	72.3948
74	14	106.4226	62.3065
75	14	37.2604	86.5927
76	14	83.4383	184.6935
77	14	74.0490	215.0574
78	14	175.7321	133.3489
79	14	118.2061	165.5246
80	14	19.6666	183.6322
81	125	198.0451	200.0587
82	125	166.8448	188.8931
83	125	152.1884	151.6764
84	125	193.1276	158.7178
85	125	185.8543	124.3414
86	125	91.4654	144.1151
87	125	102.1345	128.2684
88	125	93.1572	137.4199
89	125	45.0672	162.0524
90	125	43.8412	197.1256
91	125	23.5094	171.5032
92	125	33.2956	117.3160
93	125	58.8663	60.7050
94	125	48.1020	71.6954
95	125	138.6349	61.2705
96	125	156.5496	54.8433
97	125	196.2910	43.4994
98	125	216.1804	76.9693
99	125	205.8314	127.0976
100	125	203.7442	161.5298
101	125	205.3421	182.8099
102	125	177.2045	176.6189
103	125	166.0647	189.3603
104	125	136.3372	176.8652
105	125	174.3461	97.7311
106	125	182.7289	84.1151
107	125	130.5043	93.9858
108	125	164.3801	134.7708
109	125	197.7029	31.9794
110	125	115.0749	61.8645
111	125	89.9911	41.7450
112	125	36.5679	55.7238
113	125	31.1000	106.0917
114	125	33.8355	130.7739
115	125	83.6994	213.4695
116	126	38.1558	208.7752
117	126	54.8444	211.5429
118	126	26.0717	195.8017
119	126	78.1630	213.2634
120	126	143.8007	217.8042
121	126	166.1074	206.6207
122	126	176.5642	207.6867
123	126	199.6873	206.3295
124	126	209.0993	168.1596
125	126	192.6114	160.6577
126	126	199.3537	166.4954
127	126	188.0239	182.4205
128	126	172.6983	162.0894
129	126	154.4703	161.3151
130	126	141.5900	158.1099
131	126	178.2688	141.6375
132	126	151.6885	125.6751
133	126	166.1382	116.4891
134	126	177.4525	105.6319
135	126	191.5163	120.3171
136	126	204.4283	118.6910
137	126	214.9933	81.7961
138	126	208.1606	30.4855
139	126	184.5238	45.1481
140	126	164.3911	31.1393
141	126	153.6161	57.8474
142	126	137.7604	58.7150
143	126	116.3532	47.5904
144	126	94.9739	42.6727
145	126	68.0412	34.5830
146	126	54.4186	53.9760
147	126	40.0003	47.0490
148	126	28.9202	100.9892
149	126	25.7347	129.9265
150	126	34.0244	143.8409
151	623	29.8143	180.1806
152	623	203.9816	166.6747
153	623	149.2888	220.2695
154	623	184.8793	221.1405
155	623	172.3909	216.0057
156	623	194.3107	224.8402
157	623	123.6949	184.8994
158	623	103.2136	196.5210
159	623	145.5975	117.6091
160	623	172.3292	112.4240
161	623	191.9787	43.1570
162	623	147.4506	45.8704
163	623	130.5267	61.2494
164	623	98.9592	44.6551
165	623	52.6432	60.8179
